,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 421,realtor,https://krasnogorsk.cian.ru/rent/flat/307776597/,Москва,rent,flat,7,9,1,45.0,30000,0,, Карбышева,29,Красногорская
1,ID 33136713,homeowner,https://krasnogorsk.cian.ru/rent/flat/307760212/,Москва,rent,flat,7,29,1,30.0,60000,0,, Большая Воскресенская,1,Красногорская
2,ОХОТНЫЙ РЯД офис Тверская,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307755880/,Москва,rent,flat,9,14,1,45.0,60000,0,,Дачная ,11,Красногорская
3,Альтернатива,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307750336/,Москва,rent,flat,7,9,1,33.0,32000,0,, Ленина,63,Красногорская
4,Татьяна Иванова,realtor,https://krasnogorsk.cian.ru/rent/flat/307671439/,Москва,rent,flat,13,14,1,35.0,40000,0,,Железнодорожная ,1б,Красногорская
5,ID 22091063,homeowner,https://krasnogorsk.cian.ru/rent/flat/307504397/,Москва,rent,flat,6,30,1,30.0,65000,0,, Большая Воскресенская,1,Красногорская
6,ID 16073,realtor,https://krasnogorsk.cian.ru/rent/flat/306592346/,Москва,rent,flat,7,10,1,40.0,44000,0,, Братьев Горожанкиных,26,Красногорская
7,ID 1572058,homeowner,https://krasnogorsk.cian.ru/rent/flat/305361374/,Москва,rent,flat,17,25,1,45.0,55000,0,, Жуковского,19,Красногорская
8,ПОЙМА24 РУ,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/303108114/,Москва,rent,flat,16,26,1,35.0,45000,0,, Молодежная,3,Красногорская
9,Игорь Ястребов,realtor,https://krasnogorsk.cian.ru/rent/flat/294025551/,Москва,rent,flat,20,24,1,52.4,65000,0,, Жуковского,19,Красногорская
10,ID 15261307,homeowner,https://krasnogorsk.cian.ru/rent/flat/271403774/,Москва,rent,flat,3,5,1,17.4,40500,0,,Вокзальная ,16,Красногорская
11,ID 42380279,realtor,https://krasnogorsk.cian.ru/rent/flat/270180247/,Москва,rent,flat,18,25,1,56.0,65000,0,, Жуковского,19,Красногорская
12,Екатерина Левчук,realtor,https://krasnogorsk.cian.ru/rent/flat/263866846/,Москва,rent,flat,3,5,1,30.0,35000,0,, Кирова,5а,Красногорская
13,Ирада Кадиева,realtor,https://krasnogorsk.cian.ru/rent/flat/258361412/,Москва,rent,flat,11,26,1,27.0,50000,0,, Большая Воскресенская,1,Красногорская
14,ID 12726077,homeowner,https://krasnogorsk.cian.ru/rent/flat/279583876/,Москва,rent,flat,15,17,1,51.0,55000,0,,бульвар Красногорский,14,Пенягино
15,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307129647/,Москва,rent,flat,11,25,1,40.0,35000,0,,бульвар Космонавтов,1,Опалиха
16,ID 93603509,homeowner,https://istra.cian.ru/rent/flat/279371779/,Москва,rent,flat,3,4,1,37.0,30000,0,д. Исаково, Рябиновая,12,
17,Алёна Храпина,realtor,https://krasnogorsk.cian.ru/rent/flat/279944613/,Москва,rent,flat,5,5,2,44.3,45000,0,,Вокзальная ,8,Красногорская
18,ID 67233332,homeowner,https://krasnogorsk.cian.ru/rent/flat/266801178/,Москва,rent,flat,5,6,1,36.4,35000,0,д. Сабурово, Парковая,5,
19,Юрий Исаков,realtor,https://krasnogorsk.cian.ru/rent/flat/307465305/,Москва,rent,flat,1,4,1,21.0,40000,0,, Пришвина,13,Опалиха
20,ID 111991307,homeowner,https://krasnogorsk.cian.ru/rent/flat/299809846/,Москва,rent,flat,7,8,1,32.2,45000,0,д. Сабурово, Парковая,3,
21,ID 117857653,homeowner,https://krasnogorsk.cian.ru/rent/flat/305932877/,Москва,rent,flat,2,5,2,42.0,50000,0,, Военный Городок Павшино,14,Красногорская
22,ID 75686975,homeowner,https://odintsovo.cian.ru/rent/flat/280577675/,Москва,rent,flat,3,36,1,30.3,50000,0,д. Раздоры, Липовой Рощи,2к3,
23,MOTYLEK - департамент недвижимости,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307650127/,Москва,rent,flat,1,9,1,32.0,40000,0,, Пришвина,1к1,Опалиха
24,ID 122104171,homeowner,https://krasnogorsk.cian.ru/rent/flat/307659790/,Москва,rent,flat,1,8,1,33.4,40000,0,, Дежнева,6,Опалиха
