,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Александр Григорьев,realtor,https://www.cian.ru/rent/flat/307675851/,Москва,rent,flat,9,9,1,42.0,100000,0,Пресненский, 1905 года,9С1,Краснопресненская
1,ID 78842172,homeowner,https://www.cian.ru/rent/flat/307652523/,Москва,rent,flat,8,8,1,50.0,100000,0,Пресненский,Рочдельская ,11/5,Краснопресненская
2,Надежда  Новикова,realtor,https://www.cian.ru/rent/flat/307606878/,Москва,rent,flat,4,7,1,36.0,105000,0,Пресненский, Красная Пресня,9,Краснопресненская
3,ID 89410683,unknown,https://www.cian.ru/rent/flat/307578577/,Москва,rent,flat,3,9,1,33.0,75000,0,Пресненский,Звенигородское шоссе,3АС1,Краснопресненская
4,ID 12814438,realtor,https://www.cian.ru/rent/flat/307463358/,Москва,rent,flat,1,9,1,40.0,88000,0,Пресненский, Пресненский Вал,8К2,Краснопресненская
5,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307451997/,Москва,rent,flat,8,12,1,52.0,95000,0,Пресненский,Столярный переулок,18,Краснопресненская
6,Любовь Щербакова,realtor,https://www.cian.ru/rent/flat/307334054/,Москва,rent,flat,9,9,1,34.0,60000,0,Пресненский,Звенигородское шоссе,3АС1,Краснопресненская
7,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307325347/,Москва,rent,flat,8,15,1,38.0,109000,0,Пресненский, 1905 года,15,Краснопресненская
8,Наталья Сухарева,realtor,https://www.cian.ru/rent/flat/307263115/,Москва,rent,flat,3,9,1,33.0,98000,0,Пресненский, Красная Пресня,38,Краснопресненская
9,На Петровке,real_estate_agent,https://www.cian.ru/rent/flat/306977270/,Москва,rent,flat,5,9,1,33.0,95000,0,Пресненский,Звенигородское шоссе,3АС1,Краснопресненская
10,Евгений Гвоздев,realtor,https://www.cian.ru/rent/flat/305929097/,Москва,rent,flat,6,21,1,47.0,230000,0,Пресненский, Костикова,4к3,Краснопресненская
11,Дипломат,real_estate_agent,https://www.cian.ru/rent/flat/305254056/,Москва,rent,flat,14,16,1,40.0,80000,0,Пресненский,Зоологическая ,12К2,Краснопресненская
12,КДК-Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/303225485/,Москва,rent,flat,1,9,1,38.0,75000,0,Пресненский, Пресненский Вал,8К1,Краснопресненская
13,ID 9669670,realtor,https://www.cian.ru/rent/flat/302866142/,Москва,rent,flat,9,10,1,31.7,110000,0,Пресненский,переулок Волков,17,Краснопресненская
14,Кварт-Отель,real_estate_agent,https://www.cian.ru/rent/flat/239258970/,Москва,rent,flat,1,9,1,32.0,79000,0,Пресненский,переулок Волков,5,Краснопресненская
15,ID 225850,realtor,https://www.cian.ru/rent/flat/233124886/,Москва,rent,flat,6,7,1,40.0,100000,0,Пресненский, Заморенова,9С2,Краснопресненская
16,Ася Петросян,realtor,https://www.cian.ru/rent/flat/191982126/,Москва,rent,flat,3,18,1,40.0,100000,0,Пресненский, 1905 года,15,Краснопресненская
17,Вертикаль,real_estate_agent,https://www.cian.ru/rent/flat/307656261/,Москва,rent,flat,2,8,2,40.0,90000,0,Пресненский,Большой Кондратьевский переулок,6,Белорусская
18,Вартан Вартанян,realtor,https://www.cian.ru/rent/flat/307525401/,Москва,rent,flat,12,12,2,49.0,100000,0,Арбат,Староконюшенный переулок,30,Кропоткинская
19,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307537332/,Москва,rent,flat,2,4,1,35.0,110000,0,Тверской,Малый Гнездниковский переулок,10,Тверская
20,ID 421534,unknown,https://www.cian.ru/rent/flat/307553641/,Москва,rent,flat,10,16,1,36.6,75000,0,Марьина роща,Тихвинская ,18/5,Менделеевская
21,ID 53162893,realtor,https://www.cian.ru/rent/flat/240605830/,Москва,rent,flat,5,9,1,32.5,66000,0,Якиманка,Донская ,17,Шаболовская
22,ID 23184073,homeowner,https://www.cian.ru/rent/flat/269988733/,Москва,rent,flat,20,25,1,35.0,85000,0,Филевский парк,Береговой проезд,5Ак7,Фили
23,ID 104761392,homeowner,https://www.cian.ru/rent/flat/289350318/,Москва,rent,flat,4,5,2,31.0,95000,0,Пресненский,Мантулинская ,20,Улица 1905 года
24,ID 69392442,homeowner,https://www.cian.ru/rent/flat/251955241/,Москва,rent,flat,6,8,1,40.0,80000,0,Басманный, Земляной Вал,39/1С1,Чкаловская
