,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307721232/,Москва,rent,flat,7,9,2,50.0,73000,0,Красносельский,Верхняя Красносельская ,24,Красносельская
1,ID 79203211,unknown,https://www.cian.ru/rent/flat/307628946/,Москва,rent,flat,6,10,2,52.0,100000,0,Басманный,Нижняя Красносельская ,35С50,Красносельская
2,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/307592058/,Москва,rent,flat,7,9,2,50.0,73000,0,Красносельский,Верхняя Красносельская ,24,Красносельская
3,Денис Феофанов,realtor,https://www.cian.ru/rent/flat/307590245/,Москва,rent,flat,12,12,2,52.8,75000,0,Сокольники,3-я Рыбинская ,21К3,Красносельская
4,ID 74338273,unknown,https://www.cian.ru/rent/flat/307544373/,Москва,rent,flat,5,16,2,54.0,75000,0,Сокольники,Сокольническая площадь,9,Красносельская
5,ID 79394214,unknown,https://www.cian.ru/rent/flat/307541345/,Москва,rent,flat,3,7,2,56.0,95000,0,Красносельский,Краснопрудная ,3-5С1,Красносельская
6,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307537110/,Москва,rent,flat,4,12,2,76.0,140000,0,Сокольники,2-й Полевой переулок,4,Красносельская
7,ID 100008969,unknown,https://www.cian.ru/rent/flat/307494807/,Москва,rent,flat,3,16,2,54.0,90000,0,Сокольники, Сокольнический Вал,40,Красносельская
8,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307475643/,Москва,rent,flat,4,4,2,45.0,120000,0,Сокольники,2-я Рыбинская ,13,Красносельская
9,ID 25492929,homeowner,https://www.cian.ru/rent/flat/307475592/,Москва,rent,flat,4,4,2,42.0,120000,0,Сокольники,2-я Рыбинская ,13,Красносельская
10,Арманд Риэлти,real_estate_agent,https://www.cian.ru/rent/flat/307366337/,Москва,rent,flat,6,9,2,60.4,75000,0,Красносельский,3-й Красносельский переулок,8,Красносельская
11,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307312885/,Москва,rent,flat,4,12,2,76.0,140000,0,Сокольники,2-й Полевой переулок,4,Красносельская
12,Владис,real_estate_agent,https://www.cian.ru/rent/flat/307303418/,Москва,rent,flat,7,14,2,45.0,115000,0,Красносельский,Верхняя Красносельская ,8К2,Красносельская
13,ID 141331,realtor,https://www.cian.ru/rent/flat/307302607/,Москва,rent,flat,3,3,2,58.0,90000,0,Басманный,Бакунинская ,10-12С1,Красносельская
14,Светлана Захарова,realtor,https://www.cian.ru/rent/flat/307275521/,Москва,rent,flat,8,9,2,50.0,89000,0,Сокольники,Старослободская ,16/17,Красносельская
15,ID 31043,realtor,https://www.cian.ru/rent/flat/307107028/,Москва,rent,flat,13,16,2,60.2,120000,0,Сокольники,2-й Полевой переулок,2,Красносельская
16,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307094552/,Москва,rent,flat,7,14,2,45.0,100000,0,Красносельский,Верхняя Красносельская ,8К2,Красносельская
17,Место,real_estate_agent,https://www.cian.ru/rent/flat/306971106/,Москва,rent,flat,6,10,2,80.0,200000,0,Басманный,Нижняя Красносельская ,35С48,Красносельская
18,Павел Усков,realtor,https://www.cian.ru/rent/flat/306864474/,Москва,rent,flat,3,5,2,75.0,240000,0,Басманный,Нижняя Красносельская ,35С7,Красносельская
19,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/306801303/,Москва,rent,flat,7,14,2,47.0,100000,0,Красносельский,Верхняя Красносельская ,8К2,Красносельская
20,РОДНЫЕ СТЕНЫ,real_estate_agent,https://www.cian.ru/rent/flat/306417887/,Москва,rent,flat,5,9,2,58.0,85000,0,Басманный,Спартаковская площадь,1/2,Красносельская
21,i-deal,real_estate_agent,https://www.cian.ru/rent/flat/306109860/,Москва,rent,flat,9,16,2,56.0,120000,0,Сокольники, Сокольнический Вал,50к2,Красносельская
22,EuroDoma,real_estate_agent,https://www.cian.ru/rent/flat/305670345/,Москва,rent,flat,3,17,2,56.0,100000,0,Басманный,Бакунинская ,17/28,Красносельская
23,ID 10197946,homeowner,https://www.cian.ru/rent/flat/298781668/,Москва,rent,flat,10,15,2,60.0,115000,0,Красносельский,Краснопрудная ,13,Красносельская
24,Максим Зенов,realtor,https://www.cian.ru/rent/flat/294356301/,Москва,rent,flat,4,10,2,75.0,200000,0,Басманный,Нижняя Красносельская ,35С48,Красносельская
25,Шираз Чнаваян,realtor,https://www.cian.ru/rent/flat/293030129/,Москва,rent,flat,5,12,2,50.0,80000,0,Сокольники,Русаковская ,22,Красносельская
26,ID 13346423,homeowner,https://www.cian.ru/rent/flat/278680309/,Москва,rent,flat,5,5,2,44.0,70000,0,Красносельский,Русаковская ,12К3,Красносельская
27,ID 26846928,homeowner,https://www.cian.ru/rent/flat/259326862/,Москва,rent,flat,5,14,2,50.0,85000,0,Сокольники,Русаковская ,22,Красносельская
28,СТОЛИЦА Департамент недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307576555/,Москва,rent,flat,4,5,2,46.0,80000,0,Тверской,Новосущевская ,14,Достоевская
29,Александр Насилевский,realtor,https://www.cian.ru/rent/flat/307099137/,Москва,rent,flat,7,9,1,33.0,65000,0,Басманный,Большая Почтовая ,1/33,Бауманская
30,ID 61405844,homeowner,https://www.cian.ru/rent/flat/307471937/,Москва,rent,flat,5,14,2,56.0,95000,0,Марьина роща,Октябрьская ,37,Марьина Роща
