,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,GardenGoldRealty,real_estate_agent,https://www.cian.ru/rent/flat/307766517/,Москва,rent,flat,5,9,3,49.3,100000,0,Войковский, Зои и Александра Космодемьянских,11,Красный Балтиец
1,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307743700/,Москва,rent,flat,5,9,3,49.3,100000,0,Войковский, Зои и Александра Космодемьянских,11,Красный Балтиец
2,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307738448/,Москва,rent,flat,5,9,3,55.0,100000,0,Войковский, Зои и Александра Космодемьянских,11,Красный Балтиец
3,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307665966/,Москва,rent,flat,9,9,3,60.0,98000,0,Войковский,2-й Новоподмосковный переулок,6,Красный Балтиец
4,Вертикаль,real_estate_agent,https://www.cian.ru/rent/flat/307581589/,Москва,rent,flat,3,33,3,120.0,180000,0,Аэропорт,Кочновский проезд,4к2,Красный Балтиец
5,ID 7144750,homeowner,https://www.cian.ru/rent/flat/307553406/,Москва,rent,flat,4,5,3,55.0,77000,0,Коптево,Большая Академическая ,39А,Красный Балтиец
6,Антон Маслов,realtor,https://www.cian.ru/rent/flat/307547612/,Москва,rent,flat,13,14,3,120.0,160000,0,Коптево,Большая Академическая ,15К1,Красный Балтиец
7,ID 121972692,realtor,https://www.cian.ru/rent/flat/307539391/,Москва,rent,flat,23,25,3,120.0,150000,0,Аэропорт,Ленинградский проспект,76К4,Красный Балтиец
8,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307490035/,Москва,rent,flat,18,32,3,127.0,195000,0,Аэропорт,Кочновский проезд,4к1,Красный Балтиец
9,Ла Терра,real_estate_agent,https://www.cian.ru/rent/flat/307457622/,Москва,rent,flat,4,34,3,119.0,200000,0,Аэропорт,Кочновский проезд,4к2,Красный Балтиец
10,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307447173/,Москва,rent,flat,1,5,3,62.0,120000,0,Аэропорт, Черняховского,13,Красный Балтиец
11,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307432144/,Москва,rent,flat,18,32,3,127.0,195000,0,Аэропорт,Кочновский проезд,4к1,Красный Балтиец
12,Егор Кондрашов,realtor,https://www.cian.ru/rent/flat/307389912/,Москва,rent,flat,18,32,3,127.0,195000,0,Аэропорт,Кочновский проезд,4к1,Красный Балтиец
13,GARUDA РИЭЛТИ,real_estate_agent,https://www.cian.ru/rent/flat/307365414/,Москва,rent,flat,18,34,3,122.0,180000,0,Аэропорт,Кочновский проезд,4к2,Красный Балтиец
14,Smolenka Estate,real_estate_agent,https://www.cian.ru/rent/flat/307264536/,Москва,rent,flat,22,34,3,119.5,200000,0,Аэропорт,Кочновский проезд,4к1,Красный Балтиец
15,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307014824/,Москва,rent,flat,1,5,3,62.7,120000,0,Аэропорт, Черняховского,13,Красный Балтиец
16,ID 116037176,homeowner,https://www.cian.ru/rent/flat/306998788/,Москва,rent,flat,1,5,3,62.7,130000,0,Аэропорт, Черняховского,13,Красный Балтиец
17,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306604130/,Москва,rent,flat,28,34,3,110.0,170000,0,Аэропорт,Кочновский проезд,4к2,Красный Балтиец
18,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306299911/,Москва,rent,flat,3,33,3,119.0,200000,0,Аэропорт,Кочновский проезд,4к2,Красный Балтиец
19,ЛИДЕР Риэлти,real_estate_agent,https://www.cian.ru/rent/flat/306264166/,Москва,rent,flat,4,34,3,120.0,200000,0,Аэропорт,Кочновский проезд,4к2,Красный Балтиец
20,ЛИДЕР Риэлти,real_estate_agent,https://www.cian.ru/rent/flat/306032920/,Москва,rent,flat,15,32,3,100.0,70000,0,Аэропорт,Кочновский проезд,4к1,Красный Балтиец
21,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/306016200/,Москва,rent,flat,18,34,3,125.0,180000,0,Аэропорт,Кочновский проезд,4к2,Красный Балтиец
22,ID 20396705,realtor,https://www.cian.ru/rent/flat/306013931/,Москва,rent,flat,18,32,3,122.0,180000,0,Аэропорт,Кочновский проезд,4к2,Красный Балтиец
23,ID 46159489,homeowner,https://www.cian.ru/rent/flat/305232113/,Москва,rent,flat,1,6,3,66.5,227000,0,Аэропорт, Усиевича,7,Красный Балтиец
24,Наталья Педан,realtor,https://www.cian.ru/rent/flat/303474232/,Москва,rent,flat,2,12,3,62.0,135000,0,Аэропорт, Черняховского,19,Красный Балтиец
25,На Петровке,real_estate_agent,https://www.cian.ru/rent/flat/303338410/,Москва,rent,flat,12,25,3,133.9,165000,0,Аэропорт,Ленинградский проспект,76К1,Красный Балтиец
26,Светлана Исаченкова,realtor,https://www.cian.ru/rent/flat/154327817/,Москва,rent,flat,4,5,3,60.0,96000,0,Аэропорт,Часовая ,10/1,Красный Балтиец
27,Дарья Румянцева,realtor,https://www.cian.ru/rent/flat/307632693/,Москва,rent,flat,2,5,3,68.0,110000,0,Савеловский,1-я Хуторская ,2К2,Дмитровская
28,Максим Костромин,realtor,https://www.cian.ru/rent/flat/307301864/,Москва,rent,flat,3,5,4,100.0,100000,0,Щукино, Маршала Рыбалко,1,Октябрьское поле
29,ID 100465345,homeowner,https://www.cian.ru/rent/flat/307552263/,Москва,rent,flat,3,41,3,82.0,150000,0,Хорошевский,Ленинградский проспект,37/6,Аэропорт
