,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 47658554,unknown,https://www.cian.ru/rent/flat/307658461/,Москва,rent,flat,7,9,1,32.0,80000,0,Дорогомилово, 1812 года,8К2,Кутузовская
1,ID 77276630,unknown,https://www.cian.ru/rent/flat/307459067/,Москва,rent,flat,2,9,1,33.0,75000,0,Дорогомилово, 1812 года,10К2,Кутузовская
2,Наталья Пугачева,realtor,https://www.cian.ru/rent/flat/251949264/,Москва,rent,flat,3,9,1,33.0,75000,0,Дорогомилово, 1812 года,8К2,Кутузовская
3,ID 51007336,homeowner,https://www.cian.ru/rent/flat/273637760/,Москва,rent,flat,14,24,2,43.0,85000,0,Фили-Давыдково, Герасима Курина,20,Славянский бульвар
4,Мой Дом - отделение Добрынинское,real_estate_agent,https://www.cian.ru/rent/flat/307414036/,Москва,rent,flat,4,6,2,54.0,90000,0,Дорогомилово,Кутузовский проспект,24,Москва-Сити
5,Любовь Щербакова,realtor,https://www.cian.ru/rent/flat/307334054/,Москва,rent,flat,9,9,1,34.0,60000,0,Пресненский,Звенигородское шоссе,3АС1,Улица 1905 года
6,Моя Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/304860154/,Москва,rent,flat,7,8,1,34.0,67000,0,Хорошевский, Куусинена,17к1,Зорге
7,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307494461/,Москва,rent,flat,5,5,1,33.0,50000,0,Фили-Давыдково, Алексея Свиридова,3,Кунцевская
8,ID 57471694,unknown,https://www.cian.ru/rent/flat/301801057/,Москва,rent,flat,12,17,1,39.0,55000,0,Филевский парк, Василисы Кожиной,14К2,Багратионовская
9,ID 108462568,homeowner,https://www.cian.ru/rent/flat/293473417/,Москва,rent,flat,12,14,1,42.0,95000,0,Пресненский,Шелепихинское шоссе,13С3,Шелепиха
10,Real Market Estate,real_estate_agent,https://www.cian.ru/rent/flat/295588060/,Москва,rent,flat,4,12,2,46.0,62000,0,Филевский парк,Большая Филевская ,35,Филёвский парк
11,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307553012/,Москва,rent,flat,26,32,1,40.9,78200,0,Очаково-Матвеевское,Большая Очаковская ,2,Аминьевская
12,Оксана Новикова,realtor,https://www.cian.ru/rent/flat/307632968/,Москва,rent,flat,13,13,1,41.2,65000,0,Раменки,проспект Вернадского,10к1,Университет
13,АРМ-Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307548023/,Москва,rent,flat,6,17,1,40.0,70000,0,Раменки,Мичуринский проспект,31К1,Раменки
14,Panorama Realty,real_estate_agent,https://www.cian.ru/rent/flat/307527940/,Москва,rent,flat,1,14,1,45.0,75000,0,Тверской,3-й Самотечный переулок,19,Достоевская
15,Надежда  Новикова,realtor,https://www.cian.ru/rent/flat/307606878/,Москва,rent,flat,4,7,1,36.0,105000,0,Пресненский, Красная Пресня,9,Краснопресненская
16,Павел Смирнов,realtor,https://www.cian.ru/rent/flat/307521527/,Москва,rent,flat,1,5,1,42.0,80000,0,Фили-Давыдково,Минская ,15К2,Филёвский парк
17,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307633367/,Москва,rent,flat,11,19,2,65.0,78000,0,Фили-Давыдково,Малая Филевская ,22,Пионерская
18,Геннадий Гаина,realtor,https://www.cian.ru/rent/flat/251289983/,Москва,rent,flat,3,9,1,38.0,60000,0,Гагаринский, Вавилова,54К2,Академическая
19,Олег Акулов,realtor,https://www.cian.ru/rent/flat/307528085/,Москва,rent,flat,1,17,1,40.0,70000,0,Академический, Дмитрия Ульянова,28К2,Академическая
20,ID 11021399,realtor,https://www.cian.ru/rent/flat/307391375/,Москва,rent,flat,3,5,2,43.6,60000,0,Фили-Давыдково,Большая Филевская ,41К4,Филёвский парк
21,Эльмар Бабаев,realtor,https://www.cian.ru/rent/flat/296307057/,Москва,rent,flat,2,5,2,60.0,73000,0,Пресненский,2-й Красногвардейский проезд,6В,Москва-Сити
22,МСКАГЕНТ,real_estate_agent,https://www.cian.ru/rent/flat/249940577/,Москва,rent,flat,5,21,1,47.0,90000,0,Филевский парк,Береговой проезд,5к2,Фили
23,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307625844/,Москва,rent,flat,6,12,1,40.0,70000,0,Академический, Шверника,7К2,Академическая
24,ID 11269891,realtor,https://www.cian.ru/rent/flat/307135692/,Москва,rent,flat,10,25,2,56.0,85000,0,Фили-Давыдково,Кастанаевская ,44Ак3,Пионерская
