,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 93832972,unknown,https://www.cian.ru/rent/flat/307707202/,Москва,rent,flat,5,9,1,35.0,70000,0,Гагаринский, Косыгина,13,Ленинский проспект
1,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307676686/,Москва,rent,flat,4,4,1,26.0,110000,0,Даниловский,2-я Рощинская ,10,Ленинский проспект
2,Ирина Терезинова,realtor,https://www.cian.ru/rent/flat/307662481/,Москва,rent,flat,6,13,1,39.0,60000,0,Гагаринский,проспект 60-летия Октября,5К4,Ленинский проспект
3,ПАРТНЕР,real_estate_agent,https://www.cian.ru/rent/flat/307661928/,Москва,rent,flat,2,9,1,35.0,80000,0,Донской, Орджоникидзе,6/9,Ленинский проспект
4,ID 93921447,unknown,https://www.cian.ru/rent/flat/307658988/,Москва,rent,flat,4,5,1,32.0,50000,0,Академический, Шверника,6К1,Ленинский проспект
5,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307625844/,Москва,rent,flat,6,12,1,40.0,70000,0,Академический, Шверника,7К2,Ленинский проспект
6,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307605472/,Москва,rent,flat,3,4,1,35.0,65000,0,Академический, Вавилова,35К1,Ленинский проспект
7,ID 92082754,homeowner,https://www.cian.ru/rent/flat/307551654/,Москва,rent,flat,3,4,1,35.0,65000,0,Академический, Вавилова,35К1,Ленинский проспект
8,Надежда Канькова,realtor,https://www.cian.ru/rent/flat/307483523/,Москва,rent,flat,6,8,1,39.0,80000,0,Гагаринский, Губкина,4,Ленинский проспект
9,ID 26886,realtor,https://www.cian.ru/rent/flat/307385396/,Москва,rent,flat,7,16,1,30.0,75000,0,Гагаринский, Вавилова,8,Ленинский проспект
10,Мой Дом - отделение Добрынинское,real_estate_agent,https://www.cian.ru/rent/flat/307022730/,Москва,rent,flat,8,14,1,38.0,75000,0,Гагаринский, Вавилова,44К4,Ленинский проспект
11,ID 56546610,unknown,https://www.cian.ru/rent/flat/306790271/,Москва,rent,flat,6,9,1,40.0,110000,0,Донской,4-й Верхний Михайловский проезд,1,Ленинский проспект
12,Элитный Дом,real_estate_agent,https://www.cian.ru/rent/flat/299402503/,Москва,rent,flat,12,16,1,61.0,119999,0,Даниловский, Серпуховский Вал,21к1,Ленинский проспект
13,Оксана Серафимова,realtor,https://www.cian.ru/rent/flat/224186630/,Москва,rent,flat,6,16,1,43.0,80000,0,Донской, Орджоникидзе,14,Ленинский проспект
14,ID 5677,realtor,https://www.cian.ru/rent/flat/307566563/,Москва,rent,flat,5,5,1,31.0,40000,0,Котловка,Большая Черемушкинская ,15К1,Крымская
15,Виктория Шмакова,realtor,https://www.cian.ru/rent/flat/307605586/,Москва,rent,flat,7,9,1,33.0,58000,0,Черемушки, Архитектора Власова,19К4,Новые Черёмушки
16,ID 23956980,realtor,https://www.cian.ru/rent/flat/307625261/,Москва,rent,flat,1,5,1,33.0,65000,0,Якиманка,2-й Добрынинский переулок,5/9,Добрынинская
17,ID 20510,real_estate_agent,https://www.cian.ru/rent/flat/191432213/,Москва,rent,flat,5,16,1,40.0,60000,0,Академический, Кедрова,3,Академическая
18,ГОРОБМЕН,real_estate_agent,https://www.cian.ru/rent/flat/307458379/,Москва,rent,flat,3,22,1,39.0,65000,0,Ломоносовский, Академика Пилюгина,14К2,Новаторская
19,Мой Дом - отделение Добрынинское,real_estate_agent,https://www.cian.ru/rent/flat/307635931/,Москва,rent,flat,7,9,1,36.0,45000,0,Донской,Загородное шоссе,8кВ,Крымская
20,ID 101776928,homeowner,https://www.cian.ru/rent/flat/296048389/,Москва,rent,flat,4,9,2,50.0,90000,0,Гагаринский,Ленинский проспект,32,Ленинский проспект
21,Оксана Новикова,realtor,https://www.cian.ru/rent/flat/307632968/,Москва,rent,flat,13,13,1,41.2,65000,0,Раменки,проспект Вернадского,10к1,Университет
22,ID 53162893,realtor,https://www.cian.ru/rent/flat/240605830/,Москва,rent,flat,5,9,1,32.5,66000,0,Якиманка,Донская ,17,Шаболовская
23,Любовь Черемисина,realtor,https://www.cian.ru/rent/flat/307413398/,Москва,rent,flat,2,9,2,50.0,80000,0,Даниловский,Мытная ,62,Тульская
24,Геннадий Гаина,realtor,https://www.cian.ru/rent/flat/251289983/,Москва,rent,flat,3,9,1,38.0,60000,0,Гагаринский, Вавилова,54К2,Академическая
