,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Станислав Вейтендорф,realtor,https://www.cian.ru/rent/flat/307772730/,Москва,rent,flat,5,9,1,30.0,40000,0,Дмитровский,Клязьминская ,32,Лианозово
1,Светлана Харина,realtor,https://www.cian.ru/rent/flat/307740715/,Москва,rent,flat,14,16,1,38.0,45000,0,Дмитровский,Лобненская ,12К3,Лианозово
2,Лилия Ильина,realtor,https://www.cian.ru/rent/flat/307728969/,Москва,rent,flat,11,12,1,38.9,50000,0,Бибирево,Мурановская ,6,Лианозово
3,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307723022/,Москва,rent,flat,10,16,1,38.0,75000,0,Дмитровский,Лобненская ,13К2,Лианозово
4,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307723019/,Москва,rent,flat,16,30,1,44.0,60000,0,Дмитровский,Лобненская ,13к4,Лианозово
5,МГЦН - Многофункциональный Городской Центр Недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307721871/,Москва,rent,flat,11,19,1,42.0,55000,0,Лианозово,Псковская ,7К1,Лианозово
6,ID 96503329,unknown,https://www.cian.ru/rent/flat/307721127/,Москва,rent,flat,2,14,1,35.1,48000,0,Восточное Дегунино, 800-летия Москвы,11К10,Лианозово
7,ОГРК,real_estate_agent,https://www.cian.ru/rent/flat/307717019/,Москва,rent,flat,25,34,1,38.8,80000,0,Дмитровский,Лобненская ,13к4,Лианозово
8,Этажи Москва,real_estate_agent,https://www.cian.ru/rent/flat/307716873/,Москва,rent,flat,11,14,1,42.0,60000,0,Дмитровский,Клязьминская ,13,Лианозово
9,ID 47643263,realtor,https://www.cian.ru/rent/flat/307680098/,Москва,rent,flat,1,22,1,40.0,60000,0,Бибирево,Алтуфьевское шоссе,92,Лианозово
10,ИскИн,real_estate_agent,https://www.cian.ru/rent/flat/307658389/,Москва,rent,flat,11,12,1,45.0,65000,0,Лианозово,Абрамцевская ,2,Лианозово
11,ID 122077529,homeowner,https://www.cian.ru/rent/flat/307635937/,Москва,rent,flat,10,16,1,38.2,75000,0,Дмитровский,Лобненская ,13К2,Лианозово
12,Инна Светлова,realtor,https://www.cian.ru/rent/flat/307606665/,Москва,rent,flat,29,33,1,37.0,75000,0,Дмитровский,Лобненская ,13к4,Лианозово
13,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307604218/,Москва,rent,flat,4,5,1,26.0,65000,0,Дмитровский,Икшинская ,6,Лианозово
