,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307724966/,Москва,rent,flat,12,16,1,40.0,60000,0,Люблино,Ставропольская ,36,Люблино
1,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307706361/,Москва,rent,flat,3,12,1,40.0,65000,0,Печатники,Шоссейная ,5,Люблино
2,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307686070/,Москва,rent,flat,12,17,1,46.0,55000,0,Печатники, Гурьянова,2К1,Люблино
3,ОХОТНЫЙ РЯД,real_estate_agent,https://www.cian.ru/rent/flat/307684702/,Москва,rent,flat,1,12,1,42.0,55000,0,Печатники, Полбина,64,Люблино
4,Ася Шаинян,realtor,https://www.cian.ru/rent/flat/307683088/,Москва,rent,flat,12,14,1,43.8,80000,0,Люблино,проспект 40 лет Октября,7,Люблино
5,ID 23992,realtor,https://www.cian.ru/rent/flat/307682697/,Москва,rent,flat,4,9,1,35.0,55000,0,Печатники, Кухмистерова,16,Люблино
6,ИскИн,real_estate_agent,https://www.cian.ru/rent/flat/307656413/,Москва,rent,flat,5,9,1,40.0,60000,0,Текстильщики, Чистова,4А,Люблино
7,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307628872/,Москва,rent,flat,1,25,1,21.0,60000,0,Люблино,Люблинская ,74к3,Люблино
8,ID 13416859,homeowner,https://www.cian.ru/rent/flat/307612716/,Москва,rent,flat,18,25,1,42.0,65000,0,Люблино,Люблинская ,72к3,Люблино
9,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307611583/,Москва,rent,flat,1,25,1,21.0,60000,0,Люблино,Люблинская ,74к3,Люблино
10,ID 1206052,homeowner,https://www.cian.ru/rent/flat/307567163/,Москва,rent,flat,14,25,1,33.5,70000,0,Люблино,Люблинская ,72Ак2,Люблино
11,Антон Глебов,realtor,https://www.cian.ru/rent/flat/307484281/,Москва,rent,flat,13,17,1,40.0,55000,0,Люблино,Люблинская ,59,Люблино
12,ID 24626,realtor,https://www.cian.ru/rent/flat/307364104/,Москва,rent,flat,12,14,1,45.0,60000,0,Люблино,Ставропольская ,62,Люблино
13,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307339353/,Москва,rent,flat,17,25,1,42.4,60000,0,Люблино,Люблинская ,72к3,Люблино
14,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307252476/,Москва,rent,flat,9,17,1,35.6,67900,0,Люблино,Люблинская ,72Ак2,Люблино
15,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307248622/,Москва,rent,flat,8,17,1,21.0,47500,0,Люблино,Люблинская ,72Ак2,Люблино
16,Замоскворечье,real_estate_agent,https://www.cian.ru/rent/flat/307060349/,Москва,rent,flat,9,14,1,40.0,55000,0,Люблино,Ставропольская ,50/22,Люблино
17,ID 50589136,realtor,https://www.cian.ru/rent/flat/307057292/,Москва,rent,flat,14,25,1,35.3,65000,0,Люблино,Люблинская ,72Ак2,Люблино
18,Ольга Троицкая,realtor,https://www.cian.ru/rent/flat/302264640/,Москва,rent,flat,7,14,1,39.0,46000,0,Люблино,проспект 40 лет Октября,23К1,Люблино
19,ID 83840361,homeowner,https://www.cian.ru/rent/flat/292431460/,Москва,rent,flat,9,9,1,35.0,70000,0,Печатники, Полбина,12,Люблино
20,ID 57244895,realtor,https://www.cian.ru/rent/flat/284573533/,Москва,rent,flat,7,11,1,40.0,55000,0,Люблино,Люблинская ,113,Люблино
21,Ольга Сыргий,realtor,https://www.cian.ru/rent/flat/278039674/,Москва,rent,flat,4,16,1,38.0,45000,0,Печатники, Полбина,40,Люблино
22,ID 77807571,unknown,https://www.cian.ru/rent/flat/277108142/,Москва,rent,flat,8,18,1,37.0,65000,0,Текстильщики, Чистова,16к3,Люблино
23,Леонид Васильев,realtor,https://www.cian.ru/rent/flat/307662317/,Москва,rent,flat,3,14,1,38.0,40000,0,Марьино,Братиславская ,6К1,Братиславская
24,ID 23336317,homeowner,https://www.cian.ru/rent/flat/249603821/,Москва,rent,flat,11,17,1,39.0,60000,0,Братеево, Борисовские Пруды,14К2,Борисово
