,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 121296791,homeowner,https://www.cian.ru/rent/flat/307753606/,Москва,rent,flat,17,19,3,78.0,95000,0,Северный,Дмитровское шоссе,169к1,Марк
1,АВАНГАРД,real_estate_agent,https://www.cian.ru/rent/flat/307436321/,Москва,rent,flat,10,17,3,75.0,95000,0,Лианозово,Новгородская ,5,Марк
2,ID 17676061,realtor,https://www.cian.ru/rent/flat/307271818/,Москва,rent,flat,5,12,3,65.0,72000,0,Лианозово,Псковская ,2К2,Марк
3,ID 35800189,homeowner,https://www.cian.ru/rent/flat/307206260/,Москва,rent,flat,9,14,3,72.0,70000,0,Северный,Челобитьевское шоссе,10к2,Марк
4,ID 12878514,homeowner,https://www.cian.ru/rent/flat/307717096/,Москва,rent,flat,5,5,4,74.0,158000,0,Басманный,Плетешковский переулок,3АС1,Бауманская
5,ID 121802023,homeowner,https://www.cian.ru/rent/flat/307664211/,Москва,rent,flat,9,14,3,72.0,90000,0,Строгино, Исаковского,31,Строгино
6,ID 52794570,homeowner,https://www.cian.ru/rent/flat/307718460/,Москва,rent,flat,54,59,2,59.7,125000,0,Ростокино,проспект Мира,188Бк3,Ростокино
7,Циан х ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307358638/,Москва,rent,flat,3,9,3,60.4,70000,0,Бибирево, Корнейчука,47,Бибирево
8,ID 85679984,homeowner,https://www.cian.ru/rent/flat/307696480/,Москва,rent,flat,7,14,2,54.0,75000,0,Митино,Уваровский переулок,3,Пенягино
9,ID 89272103,homeowner,https://www.cian.ru/rent/flat/307704395/,Москва,rent,flat,16,16,2,52.6,75000,0,Южное Тушино, Фабрициуса,18К1,Сходненская
10,Дмитрий Павленко,realtor,https://www.cian.ru/rent/flat/307296897/,Москва,rent,flat,8,20,3,75.0,75000,0,Тимирязевский,Дмитровское шоссе,55,Петровско-Разумовская
11,ID 106808303,homeowner,https://www.cian.ru/rent/flat/307606053/,Москва,rent,flat,5,18,3,75.0,74000,0,Северное Медведково, Грекова,14к1,Медведково
12,Антон Осмелкин,realtor,https://www.cian.ru/rent/flat/307530536/,Москва,rent,flat,4,9,3,60.0,70000,0,Отрадное, Бестужевых,17Б,Отрадное
13,ID 121429968,homeowner,https://www.cian.ru/rent/flat/307536740/,Москва,rent,flat,12,12,3,63.0,75000,0,Коньково, Островитянова,37,Коньково
14,ID 12805888,homeowner,https://www.cian.ru/rent/flat/307659648/,Москва,rent,flat,26,33,1,31.9,79000,0,Западное Дегунино,Базовская ,15Бк3,Грачёвская
15,ID 61568569,homeowner,https://www.cian.ru/rent/flat/307684883/,Москва,rent,flat,7,16,3,65.0,79000,0,Печатники,Шоссейная ,31к2,Люблино
16,ID 109342785,homeowner,https://www.cian.ru/rent/flat/307699013/,Москва,rent,flat,2,22,3,76.0,85000,0,Чертаново Северное,Кировоградская ,2,Чертановская
17,ID 7432610,homeowner,https://www.cian.ru/rent/flat/307671963/,Москва,rent,flat,1,5,3,63.0,85000,0,Перово, Металлургов,3,Перово
18,ID 76871139,homeowner,https://www.cian.ru/rent/flat/307264709/,Москва,rent,flat,10,17,3,77.0,85000,0,Марьино,Братиславская ,15К1,Братиславская
19,Олеся Леонтьева,realtor,https://www.cian.ru/rent/flat/307355522/,Москва,rent,flat,8,16,2,59.0,73000,0,Лианозово,Алтуфьевское шоссе,89А,Алтуфьево
20,ID 53093532,homeowner,https://www.cian.ru/rent/flat/307712629/,Москва,rent,flat,12,16,1,38.2,60000,0,Марьино,Белореченская ,28К1,Братиславская
21,ID 106564716,homeowner,https://www.cian.ru/rent/flat/307708633/,Москва,rent,flat,14,17,3,72.4,85000,0,Восточное Дегунино,Дубнинская ,17К2,Верхние Лихоборы
22,ID 7144750,homeowner,https://www.cian.ru/rent/flat/307553406/,Москва,rent,flat,4,5,3,55.0,77000,0,Коптево,Большая Академическая ,39А,Коптево
23,Алексей Самойлов,realtor,https://www.cian.ru/rent/flat/307633709/,Москва,rent,flat,9,9,3,56.0,80000,0,Южное Тушино,бульвар Яна Райниса,19К2,Сходненская
24,ID 96290085,homeowner,https://www.cian.ru/rent/flat/307633522/,Москва,rent,flat,4,12,3,50.0,120000,0,Останкинский, Цандера,7,Улица Академика Королёва
