,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Дмитрий Михайлович,realtor,https://www.cian.ru/rent/flat/307778009/,Москва,rent,flat,7,13,3,70.0,150000,0,Таганский,Гончарный проезд,8/40,Марксистская
1,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307722990/,Москва,rent,flat,8,8,3,80.0,140000,0,Таганский,Абельмановская ,7,Марксистская
2,EuroDoma,real_estate_agent,https://www.cian.ru/rent/flat/307673434/,Москва,rent,flat,3,17,3,65.0,120000,0,Таганский,Марксистская ,9,Марксистская
3,Александр Тихомиров,realtor,https://www.cian.ru/rent/flat/307632751/,Москва,rent,flat,6,14,3,93.0,150000,0,Южнопортовый,3-й Крутицкий переулок,11,Марксистская
4,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307627932/,Москва,rent,flat,3,17,3,65.0,110000,0,Таганский,Марксистская ,9,Марксистская
5,ID 61079,realtor,https://www.cian.ru/rent/flat/307433905/,Москва,rent,flat,6,9,3,80.1,200000,0,Таганский,Народная ,11С1,Марксистская
6,Светлана Пашатская,realtor,https://www.cian.ru/rent/flat/307423194/,Москва,rent,flat,4,16,3,65.0,92000,0,Таганский,Таганская ,29,Марксистская
7,Елена Деменникова,realtor,https://www.cian.ru/rent/flat/307393381/,Москва,rent,flat,9,12,3,80.0,130000,0,Таганский,Краснохолмская набережная,1/15,Марксистская
8,СТОЛИЦА Департамент недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307387697/,Москва,rent,flat,8,12,3,64.0,120000,0,Таганский,Большой Факельный переулок,24,Марксистская
9,Этажи Москва,real_estate_agent,https://www.cian.ru/rent/flat/307147108/,Москва,rent,flat,5,11,3,110.0,320000,0,Таганский,Котельническая набережная,1/15кВ,Марксистская
10,ID 10760280,unknown,https://www.cian.ru/rent/flat/306361401/,Москва,rent,flat,5,12,3,66.0,142000,0,Таганский,Таганская ,31/22,Марксистская
11,Property Capital,real_estate_agent,https://www.cian.ru/rent/flat/306179167/,Москва,rent,flat,3,16,3,100.0,280000,0,Таганский,Таганская ,36К2,Марксистская
12,GARUDA РИЭЛТИ,real_estate_agent,https://www.cian.ru/rent/flat/305954425/,Москва,rent,flat,8,8,3,245.0,500000,0,Таганский,Таганская ,15С2,Марксистская
13,GardenGoldRealty,real_estate_agent,https://www.cian.ru/rent/flat/305694936/,Москва,rent,flat,8,8,3,220.0,450000,0,Таганский,Таганская ,15,Марксистская
14,Ashtons International Realty,real_estate_agent,https://www.cian.ru/rent/flat/305595911/,Москва,rent,flat,5,33,3,110.0,290000,0,Таганский,Котельническая набережная,1/15кБ,Марксистская
15,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/305578015/,Москва,rent,flat,8,8,3,245.0,450000,0,Таганский,Таганская ,15С2,Марксистская
16,Stapler Estate,real_estate_agent,https://www.cian.ru/rent/flat/305463501/,Москва,rent,flat,5,32,3,96.0,290000,0,Таганский,Котельническая набережная,1/15С7,Марксистская
17,WELHOME,real_estate_agent,https://www.cian.ru/rent/flat/305292244/,Москва,rent,flat,4,24,3,188.0,550000,0,Таганский,Котельническая набережная,1/15кБ,Марксистская
18,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/305015235/,Москва,rent,flat,11,13,3,78.0,286500,0,Таганский,Котельническая набережная,1/15кА,Марксистская
19,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/305005587/,Москва,rent,flat,5,12,3,110.0,290000,0,Таганский,Котельническая набережная,1/15кБ,Марксистская
20,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/rent/flat/304979913/,Москва,rent,flat,5,32,3,95.5,290000,0,Таганский,Котельническая набережная,1/15кВК,Марксистская
21,Chase R.E.S.,real_estate_agent,https://www.cian.ru/rent/flat/304969702/,Москва,rent,flat,5,24,3,110.0,320000,0,Таганский,Котельническая набережная,1/15кВ,Марксистская
22,Point Estate Город,real_estate_agent,https://www.cian.ru/rent/flat/304961347/,Москва,rent,flat,5,24,3,110.0,290000,0,Таганский,Котельническая набережная,1/15кА,Марксистская
23,OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/304943823/,Москва,rent,flat,5,32,3,96.0,320000,0,Таганский,Котельническая набережная,1/15кА,Марксистская
24,ID 131859,homeowner,https://www.cian.ru/rent/flat/298689193/,Москва,rent,flat,3,17,3,65.2,110000,0,Таганский,Марксистская ,9,Марксистская
25,Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307521524/,Москва,rent,flat,14,16,3,88.0,200000,0,Хамовники,Малый Власьевский переулок,3к1,Кропоткинская
26,HOUSE MALL - Городская недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/281836793/,Москва,rent,flat,7,12,3,110.0,300000,0,Якиманка, Серафимовича,2,Боровицкая
27,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/303632194/,Москва,rent,flat,5,5,3,65.2,130000,0,Замоскворечье,Пятницкая ,28,Третьяковская
