,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Антон Репин,realtor,https://www.cian.ru/rent/flat/307738133/,Москва,rent,flat,7,10,2,60.0,65000,0,Марьино,Луговой проезд,10К2,Марьино
1,Александр Евдокимов,realtor,https://www.cian.ru/rent/flat/307726161/,Москва,rent,flat,1,4,2,54.0,70000,0,Капотня,2-й кв-л,12,Марьино
2,ID 395633,realtor,https://www.cian.ru/rent/flat/307725592/,Москва,rent,flat,14,17,2,50.0,80000,0,Марьино,Братиславская ,19К1,Марьино
3,ID 20991572,realtor,https://www.cian.ru/rent/flat/307687057/,Москва,rent,flat,3,12,2,38.2,50000,0,Капотня,4-й кв-л,2,Марьино
4,Самолет Плюс Марьино,real_estate_agent,https://www.cian.ru/rent/flat/307682143/,Москва,rent,flat,10,17,2,58.4,70000,0,Братеево, Борисовские Пруды,34К1,Марьино
5,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/307680366/,Москва,rent,flat,16,23,2,39.0,75000,0,Люблино,Люблинская ,80к6,Марьино
6,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307661492/,Москва,rent,flat,12,17,2,65.0,65000,0,Братеево, Борисовские Пруды,24/2,Марьино
7,ID 59261542,realtor,https://www.cian.ru/rent/flat/307606910/,Москва,rent,flat,7,25,2,48.0,75000,0,Люблино,Люблинская ,78к3,Марьино
8,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307582420/,Москва,rent,flat,2,25,2,36.0,85000,0,Люблино,Люблинская ,76к2,Марьино
9,Елена Стометова,realtor,https://www.cian.ru/rent/flat/307561705/,Москва,rent,flat,3,9,2,45.0,60000,0,Марьино,Новочеркасский бульвар,9,Марьино
10,ID 85886395,homeowner,https://www.cian.ru/rent/flat/307553007/,Москва,rent,flat,2,25,2,36.0,85000,0,Люблино,Люблинская ,76к2,Марьино
11,ID 419424,realtor,https://www.cian.ru/rent/flat/307522861/,Москва,rent,flat,17,26,2,42.0,70000,0,Люблино,Люблинская ,80к6,Марьино
12,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307520894/,Москва,rent,flat,2,25,2,40.0,85000,0,Люблино,Люблинская ,76к2,Марьино
13,ID 27897,realtor,https://www.cian.ru/rent/flat/307432003/,Москва,rent,flat,14,14,2,54.0,63000,0,Марьино,Поречная ,3К1,Марьино
14,ID 121871816,homeowner,https://www.cian.ru/rent/flat/307427012/,Москва,rent,flat,11,23,2,55.0,94000,0,Люблино,Люблинская ,76к5,Марьино
15,Ирина Артамонова,realtor,https://www.cian.ru/rent/flat/307229679/,Москва,rent,flat,9,17,2,53.0,57000,0,Марьино,Новочеркасский бульвар,47,Марьино
16,Циан х ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307023742/,Москва,rent,flat,1,17,2,58.4,67900,0,Братеево, Борисовские Пруды,24/2,Марьино
17,ID 54535854,homeowner,https://www.cian.ru/rent/flat/306421841/,Москва,rent,flat,16,17,2,58.2,70000,0,Марьино, Маршала Голованова,1,Марьино
18,Елена Абрамова,realtor,https://www.cian.ru/rent/flat/296267694/,Москва,rent,flat,4,14,2,55.7,70000,0,Марьино,Поречная ,3К1,Марьино
19,ID 102748459,homeowner,https://www.cian.ru/rent/flat/295059770/,Москва,rent,flat,13,17,2,55.0,75000,0,Марьино,Люблинская ,118,Марьино
20,ID 88099100,homeowner,https://www.cian.ru/rent/flat/292807842/,Москва,rent,flat,16,24,2,39.0,75000,0,Люблино,Люблинская ,80к6,Марьино
21,ID 20831969,homeowner,https://www.cian.ru/rent/flat/273318081/,Москва,rent,flat,12,14,2,60.0,80000,0,Марьино,Новочеркасский бульвар,49,Марьино
22,Антон Репин,realtor,https://www.cian.ru/rent/flat/272325953/,Москва,rent,flat,23,24,2,40.0,60000,0,Люблино,Люблинская ,80к6,Марьино
23,ID 19430,realtor,https://www.cian.ru/rent/flat/209535760/,Москва,rent,flat,1,5,2,46.0,50000,0,Люблино, Верхние Поля,5К1,Марьино
24,ID 7632,realtor,https://www.cian.ru/rent/flat/307603333/,Москва,rent,flat,14,17,1,38.0,36000,0,Марьино, Верхние Поля,42К1,Марьино
