,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ПАРТНЕР,real_estate_agent,https://www.cian.ru/rent/flat/307731934/,Москва,rent,flat,7,9,1,33.0,110000,0,Пресненский,Зоологическая ,32,Маяковская
1,Максим Пашков,realtor,https://www.cian.ru/rent/flat/307724957/,Москва,rent,flat,6,13,1,40.0,130000,0,Тверской, Малая Дмитровка,24/2,Маяковская
2,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307721240/,Москва,rent,flat,14,15,1,33.0,185000,0,Беговой, 1-я Ямского Поля,1к1,Маяковская
3,Парус,real_estate_agent,https://www.cian.ru/rent/flat/307720549/,Москва,rent,flat,8,12,1,48.0,130000,0,Тверской,2-я Брестская ,6,Маяковская
4,Илья Емелин,realtor,https://www.cian.ru/rent/flat/307719574/,Москва,rent,flat,11,17,1,45.2,180000,0,Беговой, 1-я Ямского Поля,1к1,Маяковская
5,Vertex,real_estate_agent,https://www.cian.ru/rent/flat/307714938/,Москва,rent,flat,7,12,1,38.0,150000,0,Тверской,2-я Брестская ,6,Маяковская
6,ПАРТНЕР,real_estate_agent,https://www.cian.ru/rent/flat/307704291/,Москва,rent,flat,5,5,1,30.0,140000,0,Тверской,Старопименовский переулок,8,Маяковская
7,Мозаик Групп,real_estate_agent,https://www.cian.ru/rent/flat/307703033/,Москва,rent,flat,11,12,1,40.0,150000,0,Пресненский,Большой Козихинский переулок,27С2,Маяковская
8,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307686071/,Москва,rent,flat,1,8,1,32.0,55000,0,Тверской, Чаянова,18А,Маяковская
9,Евгений Добромыслов,realtor,https://www.cian.ru/rent/flat/307675603/,Москва,rent,flat,1,5,1,44.0,85000,0,Тверской,Старопименовский переулок,8,Маяковская
10,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307675128/,Москва,rent,flat,7,8,1,34.0,210000,0,Беговой,Ленинградский проспект,вл8,Маяковская
11,Ишен Кулатаев,realtor,https://www.cian.ru/rent/flat/307655716/,Москва,rent,flat,10,15,1,45.2,200000,0,Беговой, 1-я Ямского Поля,1к1,Маяковская
12,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307531012/,Москва,rent,flat,7,12,1,38.0,150000,0,Тверской,2-я Брестская ,6,Маяковская
13,ГОРОБМЕН,real_estate_agent,https://www.cian.ru/rent/flat/307495950/,Москва,rent,flat,6,8,1,70.0,210000,0,Пресненский,Малый Патриарший переулок,3,Маяковская
14,Friends,real_estate_agent,https://www.cian.ru/rent/flat/307480539/,Москва,rent,flat,8,8,1,42.0,200000,0,Беговой, 1-я Ямского Поля,1к1,Маяковская
15,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307416834/,Москва,rent,flat,4,8,1,42.0,159500,0,Тверской,1-я Тверская-Ямская ,20/1,Маяковская
16,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/307403384/,Москва,rent,flat,5,13,1,32.0,150000,0,Беговой, 1-я Ямского Поля,1к1,Маяковская
17,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307391666/,Москва,rent,flat,7,17,1,30.0,150000,0,Беговой, 1-я Ямского Поля,1к1,Маяковская
18,ID 17518411,homeowner,https://www.cian.ru/rent/flat/307313705/,Москва,rent,flat,4,6,1,34.0,120000,0,Тверской,4-я Тверская-Ямская ,4,Маяковская
19,МиР-недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/306912816/,Москва,rent,flat,6,7,1,36.0,100000,0,Тверской,Воротниковский переулок,5/9,Маяковская
20,Ольга Овчинникова,realtor,https://www.cian.ru/rent/flat/306885756/,Москва,rent,flat,3,11,1,60.0,125000,0,Тверской,Лесная ,4с1,Маяковская
21,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306591434/,Москва,rent,flat,9,10,1,32.0,150000,0,Беговой, 1-я Ямского Поля,1к1,Маяковская
22,Chase R.E.S.,real_estate_agent,https://www.cian.ru/rent/flat/306521256/,Москва,rent,flat,9,13,1,61.0,200000,0,Пресненский,Большая Садовая ,5к1,Маяковская
23,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306179899/,Москва,rent,flat,9,14,1,43.1,99900,0,Беговой,Верхняя ,6,Маяковская
24,ID 89604410,realtor,https://www.cian.ru/rent/flat/305258672/,Москва,rent,flat,4,5,1,32.0,75000,0,Пресненский, Юлиуса Фучика,2/30,Маяковская
25,Дипломат,real_estate_agent,https://www.cian.ru/rent/flat/305254056/,Москва,rent,flat,14,16,1,40.0,80000,0,Пресненский,Зоологическая ,12К2,Маяковская
26,ID 238340,unknown,https://www.cian.ru/rent/flat/303847686/,Москва,rent,flat,6,8,1,31.0,80000,0,Пресненский,Грузинский переулок,16,Маяковская
27,ID 13518695,homeowner,https://www.cian.ru/rent/flat/303780033/,Москва,rent,flat,8,9,1,37.0,300000,0,Тверской,1-я Тверская-Ямская ,2,Маяковская
