,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Павел Васин,realtor,https://www.cian.ru/rent/flat/307740149/,Москва,rent,flat,4,9,1,35.0,35000,0,Лосиноостровский,Челюскинская ,10К1,Медведково
1,Илья Чумаков,realtor,https://korolev.cian.ru/rent/flat/307738244/,Москва,rent,flat,2,4,1,35.0,27000,0,, Горького,79к12,Медведково
2,Олег Гевак,realtor,https://korolev.cian.ru/rent/flat/307728859/,Москва,rent,flat,9,19,1,42.9,45000,0,, Декабристов,8,Медведково
3,Сергей Комбаров,realtor,https://www.cian.ru/rent/flat/307726968/,Москва,rent,flat,6,19,1,29.0,50000,0,Северное Медведково,Широкая ,30,Медведково
4,ID 91115377,realtor,https://mytishchi.cian.ru/rent/flat/307726504/,Москва,rent,flat,2,7,1,31.8,35000,0,,бульвар Тенистый,11,Медведково
5,ID 106243903,homeowner,https://mytishchi.cian.ru/rent/flat/307724397/,Москва,rent,flat,9,17,1,32.5,45000,0,, Стрельбище Динамо,10,Медведково
6,Яндекс Аренда,real_estate_agent,https://mytishchi.cian.ru/rent/flat/307723404/,Москва,rent,flat,14,17,1,35.0,46000,0,, Стрельбище Динамо,10,Медведково
7,MOTYLEK - департамент недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307722891/,Москва,rent,flat,1,18,1,38.0,50000,0,Северное Медведково,Полярная ,42К1,Медведково
8,Про Жильё,real_estate_agent,https://mytishchi.cian.ru/rent/flat/307722507/,Москва,rent,flat,6,17,1,35.0,45000,0,, Борисовка,8А,Медведково
9,Наталия Никишева,realtor,https://korolev.cian.ru/rent/flat/307722432/,Москва,rent,flat,3,10,1,42.0,28000,0,, Горького,16к1,Медведково
10,АВАНГАРД,real_estate_agent,https://www.cian.ru/rent/flat/307721164/,Москва,rent,flat,6,16,1,38.0,42000,0,Бибирево, Лескова,17,Медведково
11,Горизонт,real_estate_agent,https://korolev.cian.ru/rent/flat/307718586/,Москва,rent,flat,2,5,1,36.0,30000,0,,Садовая ,10А,Медведково
12,ID 61461449,homeowner,https://mytishchi.cian.ru/rent/flat/307713734/,Москва,rent,flat,15,17,1,31.0,38000,0,, Советская,3А,Медведково
13,ID 84672,realtor,https://korolev.cian.ru/rent/flat/307712832/,Москва,rent,flat,15,16,1,36.0,35000,0,,Пионерская ,10Ак3,Медведково
14,Агентство Решения Жилищных Вопросов,real_estate_agent,https://mytishchi.cian.ru/rent/flat/307709528/,Москва,rent,flat,11,17,1,32.0,44000,0,,переулок 1-й Стрелковый,1,Медведково
15,ID 27634,realtor,https://www.cian.ru/rent/flat/307709211/,Москва,rent,flat,9,9,1,35.0,55000,0,Северное Медведково,проезд Шокальского,34,Медведково
16,GardenGoldRealty,real_estate_agent,https://www.cian.ru/rent/flat/307708132/,Москва,rent,flat,6,9,1,35.0,50000,0,Бибирево, Корнейчука,46,Медведково
17,ПАРТНЕР,real_estate_agent,https://www.cian.ru/rent/flat/307706860/,Москва,rent,flat,10,12,1,40.0,65000,0,Южное Медведково, Молодцова,1А,Медведково
18,Ирина Лискина,realtor,https://www.cian.ru/rent/flat/307705403/,Москва,rent,flat,30,33,1,41.0,75000,0,Южное Медведково,Полярная ,25к2,Медведково
19,ID 16652,realtor,https://www.cian.ru/rent/flat/307699203/,Москва,rent,flat,10,12,1,39.1,60000,0,Бибирево, Плещеева,18,Медведково
20,Ирина Коврова,realtor,https://korolev.cian.ru/rent/flat/307695784/,Москва,rent,flat,4,5,1,31.0,40000,0,, Болдырева,8,Медведково
