,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/307755865/,Москва,rent,flat,7,18,3,110.0,400000,0,Пресненский,Мантулинская ,9к6,Деловой центр
1,SKOLKOVO НЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/rent/flat/307723651/,Москва,rent,flat,35,70,3,125.0,700000,0,Пресненский,1-й Красногвардейский проезд,22с2,Деловой центр
2,Smart Estate Brokerage,real_estate_agent,https://www.cian.ru/rent/flat/307708740/,Москва,rent,flat,76,97,3,160.0,550000,0,Пресненский,набережная Пресненская,12,Деловой центр
3,Smart Estate Brokerage,real_estate_agent,https://www.cian.ru/rent/flat/307677279/,Москва,rent,flat,33,78,3,68.0,400000,0,Пресненский,1-й Красногвардейский проезд,22с2,Деловой центр
4,Юлия Снежная,realtor,https://www.cian.ru/rent/flat/307651299/,Москва,rent,flat,48,78,3,92.0,550000,0,Пресненский,1-й Красногвардейский проезд,22с2,Деловой центр
5,Smart Estate Brokerage,real_estate_agent,https://www.cian.ru/rent/flat/307630617/,Москва,rent,flat,69,78,3,134.0,450000,0,Пресненский,1-й Красногвардейский проезд,22с2,Деловой центр
6,MOSCOW CITY LAB,real_estate_agent,https://www.cian.ru/rent/flat/307492275/,Москва,rent,flat,35,78,3,120.0,699999,0,Пресненский,1-й Красногвардейский проезд,22с2,Деловой центр
7,MC REALTY,real_estate_agent,https://www.cian.ru/rent/flat/307484903/,Москва,rent,flat,35,68,3,125.0,700000,0,Пресненский,1-й Красногвардейский проезд,22с1,Деловой центр
8,Парус,real_estate_agent,https://www.cian.ru/rent/flat/307457306/,Москва,rent,flat,66,85,3,194.0,820000,0,Пресненский,1-й Красногвардейский проезд,21с2,Деловой центр
9,Эльмира Эмирова,realtor,https://www.cian.ru/rent/flat/307387621/,Москва,rent,flat,31,68,3,80.0,450000,0,Пресненский,1-й Красногвардейский проезд,22с1,Деловой центр
10,Юлия Снежная,realtor,https://www.cian.ru/rent/flat/307338219/,Москва,rent,flat,34,75,3,200.0,700000,0,Пресненский,набережная Пресненская,8с1,Деловой центр
11,capital city,real_estate_agent,https://www.cian.ru/rent/flat/307320710/,Москва,rent,flat,68,85,3,196.0,400000,0,Пресненский,1-й Красногвардейский проезд,21с2,Деловой центр
12,capital city,real_estate_agent,https://www.cian.ru/rent/flat/307320053/,Москва,rent,flat,60,75,3,235.0,400000,0,Пресненский,набережная Пресненская,8с1,Деловой центр
13,capital city,real_estate_agent,https://www.cian.ru/rent/flat/307315544/,Москва,rent,flat,49,78,3,134.0,400000,0,Пресненский,1-й Красногвардейский проезд,22с2,Деловой центр
14,capital city,real_estate_agent,https://www.cian.ru/rent/flat/307314749/,Москва,rent,flat,57,78,3,103.0,300000,0,Пресненский,1-й Красногвардейский проезд,22с2,Деловой центр
15,capital city,real_estate_agent,https://www.cian.ru/rent/flat/307311461/,Москва,rent,flat,41,68,3,130.0,400000,0,Пресненский,1-й Красногвардейский проезд,22с1,Деловой центр
16,Андрей Смирнов,realtor,https://www.cian.ru/rent/flat/307302796/,Москва,rent,flat,14,16,3,80.0,300000,0,Пресненский,Мантулинская ,9к4,Деловой центр
17,OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307270507/,Москва,rent,flat,60,73,3,150.0,1000000,0,Пресненский,набережная Пресненская,8с1,Деловой центр
18,ID 57140888,homeowner,https://www.cian.ru/rent/flat/307259843/,Москва,rent,flat,12,16,3,80.0,325000,0,Пресненский,Мантулинская ,9к4,Деловой центр
19,Moscow Estate,real_estate_agent,https://www.cian.ru/rent/flat/307256700/,Москва,rent,flat,17,20,3,90.0,400000,0,Пресненский,Мантулинская ,9к1,Деловой центр
20,AEON CITY ESTATE,real_estate_agent,https://www.cian.ru/rent/flat/307252416/,Москва,rent,flat,71,95,3,186.7,750000,0,Пресненский,набережная Пресненская,12,Деловой центр
21,Максим Забежайлов,realtor,https://www.cian.ru/rent/flat/307244561/,Москва,rent,flat,25,78,3,95.0,550000,0,Пресненский,1-й Красногвардейский проезд,22с2,Деловой центр
22,VSE_CITY,real_estate_agent,https://www.cian.ru/rent/flat/307233666/,Москва,rent,flat,60,85,3,190.0,500000,0,Пресненский,1-й Красногвардейский проезд,21с2,Деловой центр
23,VSE_CITY,real_estate_agent,https://www.cian.ru/rent/flat/307196425/,Москва,rent,flat,60,85,3,190.0,850000,0,Пресненский,1-й Красногвардейский проезд,21с2,Деловой центр
24,ID 38384831,realtor,https://www.cian.ru/rent/flat/306994003/,Москва,rent,flat,7,18,3,110.0,400000,0,Пресненский,Мантулинская ,9к6,Деловой центр
25,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/rent/flat/306977775/,Москва,rent,flat,33,65,3,190.0,700000,0,Пресненский,набережная Пресненская,8с1,Деловой центр
26,Penny Lane Moscow,real_estate_agent,https://www.cian.ru/rent/flat/306967951/,Москва,rent,flat,33,36,3,187.0,700000,0,Пресненский,набережная Пресненская,8с1,Деловой центр
27,THE MOSCOW CITY,real_estate_agent,https://www.cian.ru/rent/flat/306952692/,Москва,rent,flat,33,62,3,187.0,700000,0,Пресненский,набережная Пресненская,8с1,Деловой центр
