,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307686071/,Москва,rent,flat,1,8,1,32.0,55000,0,Тверской, Чаянова,18А,Менделеевская
1,Alfa Forum Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307677528/,Москва,rent,flat,13,14,1,42.0,110000,0,Тверской,Лесная ,10-16,Менделеевская
2,ID 122008115,realtor,https://www.cian.ru/rent/flat/307575538/,Москва,rent,flat,1,6,1,42.3,55000,0,Марьина роща,площадь Борьбы,13,Менделеевская
3,ID 421534,unknown,https://www.cian.ru/rent/flat/307553641/,Москва,rent,flat,10,16,1,36.6,75000,0,Марьина роща,Тихвинская ,18/5,Менделеевская
4,Panorama Realty,real_estate_agent,https://www.cian.ru/rent/flat/307527940/,Москва,rent,flat,1,14,1,45.0,75000,0,Тверской,3-й Самотечный переулок,19,Менделеевская
5,ID 102291727,real_estate_agent,https://www.cian.ru/rent/flat/307518179/,Москва,rent,flat,7,8,1,35.0,80000,0,Тверской,Лесная ,63/43с2,Менделеевская
6,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307359504/,Москва,rent,flat,4,5,1,36.0,100000,0,Тверской,Новосущевская ,14,Менделеевская
7,ID 121696600,homeowner,https://www.cian.ru/rent/flat/307278735/,Москва,rent,flat,11,12,1,32.0,85000,0,Тверской,Тихвинская ,17С1,Менделеевская
8,ID 15164,realtor,https://www.cian.ru/rent/flat/306173569/,Москва,rent,flat,9,12,1,36.0,105000,0,Тверской,Тихвинская ,9,Менделеевская
9,Илья Андреев,realtor,https://www.cian.ru/rent/flat/298432152/,Москва,rent,flat,4,12,1,39.1,95000,0,Тверской,Тихвинская ,9,Менделеевская
10,Кварт-Отель,real_estate_agent,https://www.cian.ru/rent/flat/245807513/,Москва,rent,flat,4,9,1,33.0,110000,0,Беговой,Верхняя ,3К1,Менделеевская
11,ID 507720,homeowner,https://www.cian.ru/rent/flat/230147563/,Москва,rent,flat,4,8,1,33.0,100000,0,Тверской,Лесная ,63/43с2,Менделеевская
12,Егор Холодов,realtor,https://www.cian.ru/rent/flat/194394056/,Москва,rent,flat,1,7,1,50.0,90000,0,Тверской, Фадеева,6С1,Менделеевская
13,ID 11630609,homeowner,https://www.cian.ru/rent/flat/299551839/,Москва,rent,flat,1,5,1,31.0,70000,0,Марьина роща, Сущевский Вал,67,Марьина Роща
14,СТОЛИЦА Департамент недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307576555/,Москва,rent,flat,4,5,2,46.0,80000,0,Тверской,Новосущевская ,14,Менделеевская
15,Вадим Волков,realtor,https://www.cian.ru/rent/flat/285230568/,Москва,rent,flat,6,9,2,37.0,67000,0,Тверской,Перуновский переулок,4-8,Менделеевская
16,Вертикаль,real_estate_agent,https://www.cian.ru/rent/flat/307656261/,Москва,rent,flat,2,8,2,40.0,90000,0,Пресненский,Большой Кондратьевский переулок,6,Белорусская
17,Вартан Вартанян,realtor,https://www.cian.ru/rent/flat/307525401/,Москва,rent,flat,12,12,2,49.0,100000,0,Арбат,Староконюшенный переулок,30,Кропоткинская
18,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307537332/,Москва,rent,flat,2,4,1,35.0,110000,0,Тверской,Малый Гнездниковский переулок,10,Тверская
19,ID 69392442,homeowner,https://www.cian.ru/rent/flat/251955241/,Москва,rent,flat,6,8,1,40.0,80000,0,Басманный, Земляной Вал,39/1С1,Чкаловская
20,ID 99941811,unknown,https://www.cian.ru/rent/flat/306865448/,Москва,rent,flat,8,12,1,27.1,65000,0,Беговой,Ленинградский проспект,33А,Динамо
21,ID 48976342,unknown,https://www.cian.ru/rent/flat/307046940/,Москва,rent,flat,3,5,2,42.0,85000,0,Тверской, Петровка,26С5,Трубная
22,Елена Власенкова,realtor,https://www.cian.ru/rent/flat/307519893/,Москва,rent,flat,11,15,2,46.0,100000,0,Тверской,3-й Самотечный переулок,2,Достоевская
23,ID 16276255,unknown,https://www.cian.ru/rent/flat/307538535/,Москва,rent,flat,3,4,1,45.0,128000,0,Басманный,Старосадский переулок,10С1,Китай-город
24,Vershina Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307674450/,Москва,rent,flat,10,13,2,34.0,85000,0,Тверской, Малая Дмитровка,24/2,Маяковская
