,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ДомаЛинк,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307447184/,Москва,rent,flat,2,6,2,33.0,55000,0,д. Аристово, Светлогорская,5,
1,Парус,real_estate_agent,https://www.cian.ru/rent/flat/307432443/,Москва,rent,flat,6,17,2,54.0,70000,0,Южное Тушино,бульвар Яна Райниса,39,Митино
2,Станислав Камов,realtor,https://www.cian.ru/rent/flat/307432059/,Москва,rent,flat,2,17,2,51.0,75000,0,Митино,Дубравная ,40,Митино
3,ID 2689702,realtor,https://www.cian.ru/rent/flat/307425462/,Москва,rent,flat,19,25,2,44.0,81000,0,Митино,Митинская ,20,Митино
4,ID 81162875,unknown,https://krasnogorsk.cian.ru/rent/flat/307414225/,Москва,rent,flat,23,25,2,60.0,65000,0,д. Путилково,бульвар Спасо-Тушинский,8,
5,ID 47522351,unknown,https://krasnogorsk.cian.ru/rent/flat/307402665/,Москва,rent,flat,6,6,2,34.0,50000,0,д. Аристово, Светлогорская,4,
6,ID 49740381,homeowner,https://krasnogorsk.cian.ru/rent/flat/307398661/,Москва,rent,flat,2,6,2,60.0,85000,0,д. Аристово, Центральная,1,
7,Татьяна Суслина,realtor,https://krasnogorsk.cian.ru/rent/flat/307359109/,Москва,rent,flat,10,16,2,45.0,50000,0,д. Путилково, Сходненская,13,
8,Capital Mars,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307324311/,Москва,rent,flat,7,25,2,52.0,70000,0,д. Путилково, Сходненская,17,
9,Елена Андреева,realtor,https://krasnogorsk.cian.ru/rent/flat/307246198/,Москва,rent,flat,3,6,2,57.4,75000,0,д. Аристово,переулок Косой,3,
10,ID 572023,homeowner,https://krasnogorsk.cian.ru/rent/flat/307240844/,Москва,rent,flat,12,13,2,58.0,70000,0,,,,
11,НейроДВИЖимость,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307233522/,Москва,rent,flat,20,21,2,55.0,75000,0,д. Путилково, Новотушинская,1,
12,ID 12420794,homeowner,https://krasnogorsk.cian.ru/rent/flat/307110396/,Москва,rent,flat,20,20,2,64.7,80000,0,д. Путилково, Новотушинская,3,
13,ID 281791,realtor,https://www.cian.ru/rent/flat/307079660/,Москва,rent,flat,9,17,2,53.1,65000,0,Северное Тушино, Вилиса Лациса,31К1,Митино
14,Андрей Ерошенко,realtor,https://krasnogorsk.cian.ru/rent/flat/306930250/,Москва,rent,flat,5,19,2,65.0,65000,0,д. Путилково, Сходненская,25,
15,EMPIRE HOME,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/306909973/,Москва,rent,flat,13,21,2,33.0,55000,0,д. Путилково, Просторная,15,
16,ID 26510,realtor,https://krasnogorsk.cian.ru/rent/flat/306754115/,Москва,rent,flat,7,17,2,53.0,48000,0,д. Путилково, Садовая,19,
17,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306612502/,Москва,rent,flat,17,18,2,80.0,80000,0,Митино,Пятницкое шоссе,15,Митино
18,ПАРТНЕР,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/306554020/,Москва,rent,flat,9,25,2,72.0,60000,0,, Вилора Трифонова,1,Митино
19,ID 120949415,homeowner,https://krasnogorsk.cian.ru/rent/flat/306436098/,Москва,rent,flat,6,6,2,51.0,67000,0,д. Аристово, Северная,2,
20,ID 21285810,unknown,https://www.cian.ru/rent/flat/306410678/,Москва,rent,flat,17,25,2,75.9,80000,0,Митино,Пятницкое шоссе,15,Митино
21,ID 75327550,homeowner,https://krasnogorsk.cian.ru/rent/flat/306181194/,Москва,rent,flat,28,33,2,57.2,85000,0,, Видная,6,Митино
22,ID 78265677,homeowner,https://krasnogorsk.cian.ru/rent/flat/305760442/,Москва,rent,flat,16,18,2,105.0,125000,0,д. Путилково, Новотушинская,4,
23,ID 13273172,real_estate_agent,https://www.cian.ru/rent/flat/305474546/,Москва,rent,flat,12,22,2,80.0,110000,0,Митино,Дубравная ,41К2,Митино
24,ID 11470526,homeowner,https://krasnogorsk.cian.ru/rent/flat/305221134/,Москва,rent,flat,4,6,2,76.2,60000,0,пос. Отрадное, Клубная,8,
25,ID 69475215,homeowner,https://krasnogorsk.cian.ru/rent/flat/305124126/,Москва,rent,flat,2,6,2,50.0,85000,0,д. Аристово,переулок Косой,3,
26,ID 12026094,homeowner,https://krasnogorsk.cian.ru/rent/flat/301059356/,Москва,rent,flat,5,6,2,45.0,40000,0,д. Сабурово, Рождественская,2,
27,ID 381343,realtor,https://www.cian.ru/rent/flat/300349424/,Москва,rent,flat,10,17,2,55.0,60000,0,Южное Тушино, Василия Петушкова,7,Митино
