,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Lucky Realty,real_estate_agent,https://www.cian.ru/rent/flat/307773336/,Москва,rent,flat,19,23,3,66.1,210000,0,Хорошево-Мневники,проспект Маршала Жукова,39Ак2,Мнёвники
1,ID 3066382,realtor,https://www.cian.ru/rent/flat/307741543/,Москва,rent,flat,8,9,3,59.0,80000,0,Хорошево-Мневники, Народного Ополчения,5К2,Мнёвники
2,Валерия Архипова,realtor,https://www.cian.ru/rent/flat/307740834/,Москва,rent,flat,19,23,3,66.1,210000,0,Хорошево-Мневники,проспект Маршала Жукова,39Ак2,Мнёвники
3,Елена Войнова,realtor,https://www.cian.ru/rent/flat/307729307/,Москва,rent,flat,13,24,3,56.0,110000,0,Хорошево-Мневники, Народного Ополчения,11,Мнёвники
4,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307721254/,Москва,rent,flat,19,23,3,66.0,210000,0,Хорошево-Мневники,проспект Маршала Жукова,39Ак2,Мнёвники
5,Роза Горина,realtor,https://www.cian.ru/rent/flat/307707241/,Москва,rent,flat,3,19,3,125.0,150000,0,Хорошево-Мневники,проспект Маршала Жукова,76к2,Мнёвники
6,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307657360/,Москва,rent,flat,19,23,3,70.0,210000,0,Хорошево-Мневники,проспект Маршала Жукова,39Ак2,Мнёвники
7,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307413433/,Москва,rent,flat,6,17,3,61.0,129500,0,Хорошево-Мневники,проспект Маршала Жукова,43К3,Мнёвники
8,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306786000/,Москва,rent,flat,17,20,3,138.0,250000,0,Хорошево-Мневники, Демьяна Бедного,4К2,Мнёвники
9,ID 2653,realtor,https://www.cian.ru/rent/flat/306665252/,Москва,rent,flat,14,24,3,90.0,170000,0,Хорошево-Мневники, Маршала Тухачевского,49,Мнёвники
10,Наталья Педан,realtor,https://www.cian.ru/rent/flat/306575594/,Москва,rent,flat,6,24,3,107.0,185000,0,Хорошево-Мневники, Маршала Тухачевского,49,Мнёвники
11,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/306451315/,Москва,rent,flat,5,25,3,95.0,120000,0,Хорошево-Мневники,Карамышевская набережная,62К1,Мнёвники
12,ID 12849210,homeowner,https://www.cian.ru/rent/flat/287625748/,Москва,rent,flat,13,25,3,107.0,170000,0,Хорошево-Мневники,Карамышевская набережная,62К1,Мнёвники
13,ID 77729255,homeowner,https://www.cian.ru/rent/flat/262089497/,Москва,rent,flat,8,18,3,100.0,150000,0,Хорошево-Мневники,проспект Маршала Жукова,76к2,Мнёвники
14,Виктор Смолич,realtor,https://www.cian.ru/rent/flat/307636448/,Москва,rent,flat,4,14,4,110.0,140000,0,Крылатское,Осенняя ,2,Крылатское
15,ID 80279576,homeowner,https://www.cian.ru/rent/flat/307707471/,Москва,rent,flat,19,23,3,66.1,210000,0,Хорошево-Мневники,проспект Маршала Жукова,39Ак2,Народное Ополчение
16,ID 21239956,realtor,https://www.cian.ru/rent/flat/307570941/,Москва,rent,flat,20,41,4,100.0,100000,0,Раменки,1-й Сетуньский проезд,8,Кутузовская
17,Максим Костромин,realtor,https://www.cian.ru/rent/flat/307301864/,Москва,rent,flat,3,5,4,100.0,100000,0,Щукино, Маршала Рыбалко,1,Октябрьское поле
18,ID 100465345,homeowner,https://www.cian.ru/rent/flat/307552263/,Москва,rent,flat,3,41,3,82.0,150000,0,Хорошевский,Ленинградский проспект,37/6,Аэропорт
19,ID 26772845,unknown,https://www.cian.ru/rent/flat/307538486/,Москва,rent,flat,10,18,3,120.0,220000,0,Хорошевский, Гризодубовой,4К4,ЦСКА
20,Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307400203/,Москва,rent,flat,6,9,3,82.0,140000,0,Филевский парк,Большая Филевская ,16к1,Фили
21,Центральный Департамент Недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307508521/,Москва,rent,flat,2,17,3,78.0,110000,0,Крылатское, Крылатские Холмы,30К4,Крылатское
22,Хозяин Сервис,real_estate_agent,https://www.cian.ru/rent/flat/307699242/,Москва,rent,flat,30,31,2,62.0,160000,0,Хорошево-Мневники,бульвар Генерала Карбышева,13А,Народное Ополчение
23,ID 27929,realtor,https://www.cian.ru/rent/flat/234068075/,Москва,rent,flat,8,24,2,75.0,120000,0,Щукино, Берзарина,28Ак4,Октябрьское поле
24,ID 221555,realtor,https://www.cian.ru/rent/flat/289256520/,Москва,rent,flat,9,22,3,120.0,150000,0,Филевский парк,Кастанаевская ,18,Багратионовская
