,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307828373/,Москва,rent,flat,1,8,3,100.0,100000,0,Куркино,Воротынская ,16,Молжаниново
1,Валентина Макарова,realtor,https://khimki.cian.ru/rent/flat/307816184/,Москва,rent,flat,3,5,3,59.0,60000,0,, Лавочкина,5,Молжаниново
2,Panorama Realty,real_estate_agent,https://khimki.cian.ru/rent/flat/307780422/,Москва,rent,flat,2,8,3,80.0,180000,0,, Ивановская,53к1,Молжаниново
3,Домина Групп,real_estate_agent,https://khimki.cian.ru/rent/flat/307777428/,Москва,rent,flat,13,25,3,77.0,75000,0,, Родионова,5,Молжаниново
4,ID 523711,homeowner,https://khimki.cian.ru/rent/flat/307630437/,Москва,rent,flat,4,5,3,83.2,70000,0,, Ивановская,2к2,Молжаниново
5,ID 173676,homeowner,https://www.cian.ru/rent/flat/307601012/,Москва,rent,flat,1,7,3,100.0,100000,0,Куркино,Воротынская ,16,Молжаниново
6,Perfect Manager House,real_estate_agent,https://www.cian.ru/rent/flat/307580554/,Москва,rent,flat,1,7,3,100.0,100000,0,Куркино,Воротынская ,16,Молжаниново
7,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307579669/,Москва,rent,flat,1,7,3,100.0,100000,0,Куркино,Воротынская ,16,Молжаниново
8,Perfect Manager House,real_estate_agent,https://www.cian.ru/rent/flat/307574768/,Москва,rent,flat,1,7,3,100.0,100000,0,Куркино,Воротынская ,16,Молжаниново
9,СДЕЛКА,real_estate_agent,https://www.cian.ru/rent/flat/307527794/,Москва,rent,flat,2,6,3,115.0,130000,0,Куркино,Ландышевая ,14К2,Молжаниново
10,Елена Дружинина,realtor,https://khimki.cian.ru/rent/flat/307472775/,Москва,rent,flat,2,25,3,84.0,80000,0,,проспект Мельникова,21/1,Молжаниново
11,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307454107/,Москва,rent,flat,6,8,3,115.0,150000,0,Куркино,Ландышевая ,14К3,Молжаниново
12,Вертикаль,real_estate_agent,https://www.cian.ru/rent/flat/307406642/,Москва,rent,flat,6,9,3,114.0,150000,0,Куркино,Ландышевая ,14К3,Молжаниново
13,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307403667/,Москва,rent,flat,6,9,3,114.0,150000,0,Куркино,Ландышевая ,14К3,Молжаниново
14,Александра  Демчук,realtor,https://www.cian.ru/rent/flat/307390116/,Москва,rent,flat,18,23,3,75.0,125000,0,Куркино, Соловьиная Роща,10,Молжаниново
15,Капитал Риэлт-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307361706/,Москва,rent,flat,2,2,3,103.0,83000,0,Куркино,Куркинское шоссе,60Б/2,Молжаниново
16,Владимир Фетискин,realtor,https://khimki.cian.ru/rent/flat/307220526/,Москва,rent,flat,2,25,3,78.0,70000,0,,Молодежная ,70,Молжаниново
17,Столичная Недвижимость.,real_estate_agent,https://khimki.cian.ru/rent/flat/307136049/,Москва,rent,flat,13,25,3,76.3,70000,0,,Молодежная ,74,Молжаниново
18,МДН,real_estate_agent,https://www.cian.ru/rent/flat/307093584/,Москва,rent,flat,5,5,3,100.0,120000,0,Куркино, Соловьиная Роща,3,Молжаниново
19,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/305863527/,Москва,rent,flat,11,18,3,115.0,100000,0,Куркино,Соколово-Мещерская ,31,Молжаниново
20,ID 15775681,homeowner,https://www.cian.ru/rent/flat/305815112/,Москва,rent,flat,11,18,3,130.2,100000,0,Куркино,Соколово-Мещерская ,31,Молжаниново
21,Ольга Романова,realtor,https://www.cian.ru/rent/flat/305010087/,Москва,rent,flat,8,23,3,96.2,100000,0,Куркино, Соловьиная Роща,10,Молжаниново
22,Максим Костромин,realtor,https://www.cian.ru/rent/flat/307301864/,Москва,rent,flat,3,5,4,100.0,100000,0,Щукино, Маршала Рыбалко,1,Октябрьское поле
