,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307721134/,Москва,rent,flat,6,19,1,30.0,70000,0,Таганский,Международная ,15А,Москва-Товарная
1,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307720383/,Москва,rent,flat,11,12,1,40.0,80000,0,Таганский,Рабочая ,25,Москва-Товарная
2,ID 38561903,realtor,https://www.cian.ru/rent/flat/307706977/,Москва,rent,flat,5,19,1,43.6,100000,0,Таганский,Международная ,15А,Москва-Товарная
3,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307703465/,Москва,rent,flat,2,14,1,33.0,100000,0,Лефортово,шоссе Энтузиастов,3к2,Москва-Товарная
4,Центр Недвижимости плюс,real_estate_agent,https://www.cian.ru/rent/flat/307658709/,Москва,rent,flat,11,12,1,35.0,82000,0,Таганский,Рабочая ,25,Москва-Товарная
5,Дмитрий Вологжанин,realtor,https://www.cian.ru/rent/flat/307608868/,Москва,rent,flat,11,12,1,35.2,80000,0,Таганский,Рабочая ,25,Москва-Товарная
6,Елена Петрова,realtor,https://www.cian.ru/rent/flat/307601623/,Москва,rent,flat,10,19,1,39.0,75000,0,Таганский,Рабочая ,16,Москва-Товарная
7,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307539379/,Москва,rent,flat,2,14,1,30.0,100000,0,Лефортово,шоссе Энтузиастов,3к2,Москва-Товарная
8,ID 12637977,unknown,https://www.cian.ru/rent/flat/307537119/,Москва,rent,flat,4,14,1,44.0,65000,0,Таганский,Нижегородская ,11А,Москва-Товарная
9,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307527838/,Москва,rent,flat,6,7,1,36.3,90000,0,Таганский,Нижегородская ,32С3,Москва-Товарная
10,Небоскреб,real_estate_agent,https://www.cian.ru/rent/flat/307473648/,Москва,rent,flat,2,8,1,31.0,70000,0,Таганский,Нижегородская ,13А,Москва-Товарная
11,БЕСТ-Недвижимость на Баррикадной,real_estate_agent,https://www.cian.ru/rent/flat/307397523/,Москва,rent,flat,16,25,1,40.0,100000,0,Таганский,Новорогожская ,20,Москва-Товарная
12,Виктор Посохов,realtor,https://www.cian.ru/rent/flat/307361886/,Москва,rent,flat,7,17,1,40.0,80000,0,Таганский,Рабочая ,37,Москва-Товарная
13,Александра Рудская,realtor,https://www.cian.ru/rent/flat/307232894/,Москва,rent,flat,1,9,1,35.1,65000,0,Таганский,Новорогожская ,36,Москва-Товарная
14,МИЭЛЬ,real_estate_agent,https://www.cian.ru/rent/flat/304899042/,Москва,rent,flat,14,21,1,55.0,120000,0,Лефортово,Душинская ,16,Москва-Товарная
15,Профриелтинвест,real_estate_agent,https://www.cian.ru/rent/flat/296664284/,Москва,rent,flat,4,8,1,18.0,26000,0,Таганский,Нижегородская ,32С3,Москва-Товарная
16,Анатолий Карандашов,realtor,https://www.cian.ru/rent/flat/279574255/,Москва,rent,flat,3,7,1,31.0,80000,0,Таганский,Нижегородская ,32С3,Москва-Товарная
17,ID 52936320,unknown,https://www.cian.ru/rent/flat/262428994/,Москва,rent,flat,10,16,1,34.3,60000,0,Лефортово,Шепелюгинская ,5К2,Москва-Товарная
18,ID 11630609,homeowner,https://www.cian.ru/rent/flat/299551839/,Москва,rent,flat,1,5,1,31.0,70000,0,Марьина роща, Сущевский Вал,67,Марьина Роща
19,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307581343/,Москва,rent,flat,1,5,1,24.0,50000,0,Таганский, Талалихина,39,Волгоградский проспект
20,Моя Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/250969698/,Москва,rent,flat,5,8,1,38.0,65000,0,Преображенское,Большая Черкизовская ,4К1,Преображенская площадь
21,Александр Насилевский,realtor,https://www.cian.ru/rent/flat/307099137/,Москва,rent,flat,7,9,1,33.0,65000,0,Басманный,Большая Почтовая ,1/33,Бауманская
22,Panorama Realty,real_estate_agent,https://www.cian.ru/rent/flat/307527940/,Москва,rent,flat,1,14,1,45.0,75000,0,Тверской,3-й Самотечный переулок,19,Достоевская
23,ID 16276255,unknown,https://www.cian.ru/rent/flat/307538535/,Москва,rent,flat,3,4,1,45.0,128000,0,Басманный,Старосадский переулок,10С1,Китай-город
24,Аркадий Николаевич Алексеев,realtor,https://www.cian.ru/rent/flat/224876549/,Москва,rent,flat,2,9,1,36.0,75000,0,Красносельский,Краснопрудная ,1,Комсомольская
