,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307523713/,Москва,rent,flat,5,17,1,38.0,70000,0,Москворечье-Сабурово,Каширское шоссе,55К3,Москворечье
1,ID 48335117,realtor,https://www.cian.ru/rent/flat/307430744/,Москва,rent,flat,5,5,1,38.0,40000,0,Царицыно,Кавказский бульвар,18,Москворечье
2,ID 486161,realtor,https://www.cian.ru/rent/flat/307303246/,Москва,rent,flat,1,17,1,37.8,45000,0,Москворечье-Сабурово,Кантемировская ,4К1,Москворечье
3,Татьяна Покровская,realtor,https://www.cian.ru/rent/flat/307058507/,Москва,rent,flat,2,17,1,39.0,55000,0,Москворечье-Сабурово, Борисовские Пруды,17к1,Москворечье
4,Леонид Васильев,realtor,https://www.cian.ru/rent/flat/307662317/,Москва,rent,flat,8,17,1,38.0,50000,0,Донской,Загородное шоссе,4К3,Крымская
5,Сити Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307107899/,Москва,rent,flat,6,9,2,48.0,50000,0,Орехово-Борисово Южное,Ореховый бульвар,12К2,Домодедовская
6,ID 55045676,unknown,https://www.cian.ru/rent/flat/307614424/,Москва,rent,flat,7,22,1,40.0,45000,0,Орехово-Борисово Северное,Борисовский проезд,16,Шипиловская
7,Михаил Ивакин,realtor,https://www.cian.ru/rent/flat/307611349/,Москва,rent,flat,13,14,1,35.3,50000,0,Чертаново Северное,Сумской проезд,21К1,Южная
8,Ирина Манукян,realtor,https://www.cian.ru/rent/flat/307604336/,Москва,rent,flat,3,9,1,33.0,45000,0,Нагатинский затон,Якорная ,9,Кленовый бульвар
9,ГОРОБМЕН,real_estate_agent,https://www.cian.ru/rent/flat/307415348/,Москва,rent,flat,5,9,1,30.0,45000,0,Марьино,Батайский проезд,9,Курьяново
10,ID 116088,realtor,https://www.cian.ru/rent/flat/307592086/,Москва,rent,flat,8,12,2,38.5,52000,0,Нагатинский затон,Затонная ,14К2,Кленовый бульвар
11,ID 39235,unknown,https://www.cian.ru/rent/flat/307610679/,Москва,rent,flat,5,5,2,44.0,50000,0,Нагорный,Черноморский бульвар,5К2,Чертановская
12,Мой Дом - отделение Добрынинское,real_estate_agent,https://www.cian.ru/rent/flat/307036146/,Москва,rent,flat,2,9,1,33.0,40000,0,Орехово-Борисово Северное,Борисовский проезд,36К2,Домодедовская
13,ID 47615288,homeowner,https://www.cian.ru/rent/flat/230239359/,Москва,rent,flat,6,9,1,48.5,50000,0,Орехово-Борисово Южное,Ореховый бульвар,12К2,Домодедовская
14,Каскад,real_estate_agent,https://www.cian.ru/rent/flat/307665685/,Москва,rent,flat,9,16,1,35.0,38000,0,Орехово-Борисово Южное,Ясеневая ,36/2,Зябликово
15,ID 68476667,realtor,https://www.cian.ru/rent/flat/307344398/,Москва,rent,flat,15,22,1,35.0,60000,0,Москворечье-Сабурово,Пролетарский проспект,3,Кантемировская
16,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307633365/,Москва,rent,flat,10,23,1,22.0,50000,0,Царицыно,Кавказский бульвар,51к2,Кантемировская
17,Александр Зернов,realtor,https://www.cian.ru/rent/flat/307344568/,Москва,rent,flat,9,12,1,33.4,60000,0,Нагатинский затон,Кленовый бульвар,24,Кленовый бульвар
18,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307653193/,Москва,rent,flat,6,20,1,30.0,70000,0,Даниловский,проспект Лихачева,12к2,Технопарк
19,ID 1259,realtor,https://www.cian.ru/rent/flat/306541947/,Москва,rent,flat,8,14,1,39.0,46000,0,Братеево,Братеевская ,39/12,Алма-Атинская
20,Валерий Алексеев,realtor,https://www.cian.ru/rent/flat/307384343/,Москва,rent,flat,7,14,1,42.0,48000,0,Марьино,Новочеркасский бульвар,36,Марьино
21,MOTYLEK - департамент недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307650394/,Москва,rent,flat,14,18,1,38.0,45000,0,Марьино,Братиславская ,26,Братиславская
22,Ольга Надолинская,realtor,https://www.cian.ru/rent/flat/307355510/,Москва,rent,flat,7,17,1,37.0,50000,0,Люблино,Белореченская ,10К1,Люблино
23,МГСН,real_estate_agent,https://www.cian.ru/rent/flat/307385510/,Москва,rent,flat,13,17,1,38.1,48000,0,Зябликово, Мусы Джалиля,29К1,Красногвардейская
24,MDco,real_estate_agent,https://www.cian.ru/rent/flat/307605932/,Москва,rent,flat,4,12,1,35.0,53000,0,Орехово-Борисово Южное,Каширское шоссе,132К1,Домодедовская
