,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,S.Veta Estate,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/208674782/,Москва,rent,flat,3,25,3,110.0,110000,0,,бульвар Красногорский,36,Мякинино
1,ID 27017681,homeowner,https://krasnogorsk.cian.ru/rent/flat/237463934/,Москва,rent,flat,25,25,2,47.0,67000,0,, Молодежная,4,Пенягино
2,Циан х ПИК-Аренда,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307705400/,Москва,rent,flat,7,9,2,50.4,70000,0,, Дежнева,2,Опалиха
3,Алёна Храпина,realtor,https://krasnogorsk.cian.ru/rent/flat/279944613/,Москва,rent,flat,5,5,2,44.3,45000,0,,Вокзальная ,8,Павшино
4,ID 12726077,homeowner,https://krasnogorsk.cian.ru/rent/flat/279583876/,Москва,rent,flat,15,17,1,51.0,55000,0,,бульвар Красногорский,14,Мякинино
5,Only Realty,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307648750/,Москва,rent,flat,7,12,2,65.4,59990,0,,Заводская ,4,Павшино
6,ID 48464686,realtor,https://krasnogorsk.cian.ru/rent/flat/302419872/,Москва,rent,flat,21,46,2,40.0,65000,0,, Авангардная,4,Пенягино
7,ГОРОД,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307720959/,Москва,rent,flat,10,25,2,58.3,50000,0,,бульвар Космонавтов,7,Опалиха
8,АЛЬФА,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307658872/,Москва,rent,flat,3,3,3,180.0,130000,0,,Фруктовая ,25Бс1,Опалиха
9,BRIGHT ESTATE - загородная недвижимость,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307721086/,Москва,rent,flat,2,8,2,78.0,270000,0,, Согласия,9/1,Мякинино
10,Домклик Аренда,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307612019/,Москва,rent,flat,18,26,2,54.3,76500,0,,бульвар Космонавтов,17,Опалиха
11,ID 117857653,homeowner,https://krasnogorsk.cian.ru/rent/flat/305932877/,Москва,rent,flat,2,5,2,42.0,50000,0,, Военный Городок Павшино,14,Павшино
12,Мой Дом - отделение Добрынинское,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307580158/,Москва,rent,flat,2,22,2,70.0,80000,0,,бульвар Ильинский,8,Мякинино
13,EstateLiga,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/304133246/,Москва,rent,flat,3,20,2,75.0,70000,0,,бульвар Красногорский,50,Мякинино
14,ID 75327550,homeowner,https://krasnogorsk.cian.ru/rent/flat/306181194/,Москва,rent,flat,28,33,2,57.2,85000,0,, Видная,6,Митино
15,Инна Шмелева,realtor,https://krasnogorsk.cian.ru/rent/flat/307567135/,Москва,rent,flat,5,8,1,41.0,65000,0,, Пришвина,3,Опалиха
16,ID 56650852,unknown,https://krasnogorsk.cian.ru/rent/flat/307134873/,Москва,rent,flat,5,23,1,50.0,73000,0,,бульвар Красногорский,20,Мякинино
17,ID 75909460,realtor,https://krasnogorsk.cian.ru/rent/flat/307688568/,Москва,rent,flat,28,46,1,38.1,65000,0,, Авангардная,4,Пенягино
18,КОНСИНГО,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307434356/,Москва,rent,flat,3,22,2,50.0,70000,0,,бульвар Подмосковный,8,Мякинино
19,Михаил Стрельников,realtor,https://krasnogorsk.cian.ru/rent/flat/302061983/,Москва,rent,flat,24,32,1,32.4,65000,0,, Липовой Рощи,4к4,Мякинино
20,Александр Колесников,realtor,https://krasnogorsk.cian.ru/rent/flat/162130490/,Москва,rent,flat,3,10,2,75.0,55000,0,, Школьная,7,Павшино
21,Этажи Москва,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307718428/,Москва,rent,flat,6,8,2,56.0,54500,0,Нахабино рп, Стартовая,4,
22,ID 16884746,unknown,https://krasnogorsk.cian.ru/rent/flat/254927878/,Москва,rent,flat,5,18,2,54.0,48000,0,, Вилора Трифонова,7,Опалиха
23,ID 93135604,homeowner,https://krasnogorsk.cian.ru/rent/flat/307635651/,Москва,rent,flat,4,21,3,100.0,120000,0,,бульвар Красногорский,14,Мякинино
