,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 99210840,homeowner,https://www.cian.ru/rent/flat/307806538/,Москва,rent,flat,1,9,3,56.0,115000,0,Нагатинский затон,Судостроительная ,51,Нагатинский Затон
1,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/307715588/,Москва,rent,flat,7,18,3,65.0,150000,0,Нагатинский затон, Корабельная,3А,Нагатинский Затон
2,Вадим Завадский,realtor,https://www.cian.ru/rent/flat/307704345/,Москва,rent,flat,7,15,3,65.0,150000,0,Нагатинский затон, Корабельная,15,Нагатинский Затон
3,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307661129/,Москва,rent,flat,3,16,3,61.0,150000,0,Нагатинский затон, Корабельная,5А,Нагатинский Затон
4,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/307433260/,Москва,rent,flat,10,19,3,75.0,149800,0,Нагатинский затон, Корабельная,11к1,Нагатинский Затон
5,Элитный Дом,real_estate_agent,https://www.cian.ru/rent/flat/307338228/,Москва,rent,flat,10,19,3,75.0,149790,0,Нагатинский затон, Корабельная,11к1,Нагатинский Затон
6,ID 119316598,homeowner,https://www.cian.ru/rent/flat/306327326/,Москва,rent,flat,3,12,3,62.0,100000,0,Нагатинский затон,Коломенская набережная,26к2,Нагатинский Затон
7,GardenGoldRealty,real_estate_agent,https://www.cian.ru/rent/flat/306226449/,Москва,rent,flat,9,22,3,75.0,120000,0,Нагатинский затон,Нагатинская набережная,54,Нагатинский Затон
8,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306223079/,Москва,rent,flat,9,22,3,75.0,120000,0,Нагатинский затон,Нагатинская набережная,54,Нагатинский Затон
9,Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/303276921/,Москва,rent,flat,9,13,3,120.0,170000,0,Нагатинский затон,Коломенская ,21К3,Нагатинский Затон
10,ID 277227,unknown,https://www.cian.ru/rent/flat/301320108/,Москва,rent,flat,10,10,2,38.0,100000,0,Даниловский,проспект Лихачева,12к3,Технопарк
11,Estes,real_estate_agent,https://www.cian.ru/rent/flat/307391650/,Москва,rent,flat,5,17,1,37.0,75000,0,Нагатинский затон,Коломенская набережная,12,Нагатинский Затон
12,Penny Lane Moscow,real_estate_agent,https://www.cian.ru/rent/flat/307549492/,Москва,rent,flat,3,33,3,100.0,120000,0,Нагатино-Садовники,1-й Нагатинский проезд,11к3,Нагатинская
13,Perfect Manager House,real_estate_agent,https://www.cian.ru/rent/flat/307706525/,Москва,rent,flat,2,14,1,39.0,90000,0,Нагатинский затон, Корабельная,9А,Нагатинский Затон
14,ID 113479997,realtor,https://www.cian.ru/rent/flat/307549170/,Москва,rent,flat,9,28,3,87.0,120000,0,Даниловский,Автозаводская ,23Бк2,ЗИЛ
15,ID 88353013,homeowner,https://www.cian.ru/rent/flat/271014066/,Москва,rent,flat,11,25,2,75.0,120000,0,Нагатино-Садовники,Нагатинская набережная,18к1,Коломенская
16,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307700301/,Москва,rent,flat,3,15,4,101.0,200000,0,Даниловский, Мастеркова,1,Автозаводская
17,ЦеНтр ПИК,real_estate_agent,https://www.cian.ru/rent/flat/307321866/,Москва,rent,flat,8,24,3,73.0,299999,0,Нагатинский затон,проспект Андропова,9/1,Технопарк
18,Денис Алференко,realtor,https://www.cian.ru/rent/flat/306733419/,Москва,rent,flat,3,17,2,42.0,120000,0,Даниловский,проспект Лихачева,18к1,Технопарк
19,ID 94841363,homeowner,https://www.cian.ru/rent/flat/277336910/,Москва,rent,flat,18,33,2,60.0,100000,0,Нагатино-Садовники,1-й Нагатинский проезд,11к3,Нагатинская
20,Елена Деменникова,realtor,https://www.cian.ru/rent/flat/307393381/,Москва,rent,flat,9,12,3,80.0,130000,0,Таганский,Краснохолмская набережная,1/15,Таганская
21,Андрей Минаков,realtor,https://www.cian.ru/rent/flat/274429655/,Москва,rent,flat,2,17,3,78.0,120000,0,Нагатино-Садовники,Высокая ,4,Коломенская
