,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Денис Борейко,realtor,https://www.cian.ru/rent/flat/307782315/,Москва,rent,flat,13,24,2,47.0,60000,0,Хорошево-Мневники, Народного Ополчения,11,Народное Ополчение
1,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307777988/,Москва,rent,flat,16,57,2,55.0,130000,0,Хорошево-Мневники, Народного Ополчения,15К3,Народное Ополчение
2,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307777366/,Москва,rent,flat,4,12,2,40.0,68000,0,Хорошево-Мневники, Маршала Тухачевского,56к1,Народное Ополчение
3,Николай Истрашкин,realtor,https://www.cian.ru/rent/flat/307776981/,Москва,rent,flat,1,5,2,44.0,60000,0,Щукино,Живописная ,34К2,Народное Ополчение
4,Николай Истрашкин,realtor,https://www.cian.ru/rent/flat/307776241/,Москва,rent,flat,15,22,2,54.0,70000,0,Хорошево-Мневники, Маршала Тухачевского,41к1,Народное Ополчение
5,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307772609/,Москва,rent,flat,17,25,2,54.0,265000,0,Хорошево-Мневники,Живописная ,21А,Народное Ополчение
6,Шахбазян Тигран,realtor,https://www.cian.ru/rent/flat/307767812/,Москва,rent,flat,4,9,2,38.0,70000,0,Хорошево-Мневники, Маршала Тухачевского,34,Народное Ополчение
7,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307756612/,Москва,rent,flat,11,17,2,51.0,75000,0,Хорошево-Мневники, Маршала Тухачевского,14к1,Народное Ополчение
8,ID 29637,realtor,https://www.cian.ru/rent/flat/307755247/,Москва,rent,flat,17,25,2,54.0,235000,0,Хорошево-Мневники,Живописная ,21А,Народное Ополчение
9,Элитный Дом,real_estate_agent,https://www.cian.ru/rent/flat/307751996/,Москва,rent,flat,16,57,2,52.0,140000,0,Хорошево-Мневники, Народного Ополчения,15К3,Народное Ополчение
10,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307747725/,Москва,rent,flat,19,23,2,70.0,210000,0,Хорошево-Мневники,проспект Маршала Жукова,39Ак2,Народное Ополчение
11,Паскаль,real_estate_agent,https://www.cian.ru/rent/flat/307740577/,Москва,rent,flat,16,57,2,52.0,130000,0,Хорошево-Мневники, Народного Ополчения,15К3,Народное Ополчение
12,Паскаль,real_estate_agent,https://www.cian.ru/rent/flat/307740290/,Москва,rent,flat,13,24,2,56.0,110000,0,Хорошево-Мневники, Народного Ополчения,11,Народное Ополчение
13,ID 54133713,homeowner,https://www.cian.ru/rent/flat/307729068/,Москва,rent,flat,14,21,2,60.2,150000,0,Хорошево-Мневники,3-я Хорошевская ,17А,Народное Ополчение
14,Елена Войнова,realtor,https://www.cian.ru/rent/flat/307728985/,Москва,rent,flat,21,21,2,42.8,130000,0,Хорошево-Мневники, Народного Ополчения,13,Народное Ополчение
15,ID 23867521,homeowner,https://www.cian.ru/rent/flat/307727838/,Москва,rent,flat,38,44,2,44.0,150000,0,Хорошево-Мневники, Генерала Глаголева,14Ак1,Народное Ополчение
16,ID 122175081,homeowner,https://www.cian.ru/rent/flat/307724816/,Москва,rent,flat,5,19,2,57.2,148000,0,Хорошево-Мневники,Шелепихинская набережная,42к1,Народное Ополчение
17,Евгений Борисов,realtor,https://www.cian.ru/rent/flat/307717590/,Москва,rent,flat,14,49,2,55.0,165000,0,Хорошево-Мневники, Генерала Глаголева,14Ак1,Народное Ополчение
18,GARUDA РИЭЛТИ,real_estate_agent,https://www.cian.ru/rent/flat/307716040/,Москва,rent,flat,16,57,2,52.0,140000,0,Хорошево-Мневники, Народного Ополчения,15К3,Народное Ополчение
19,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/307715584/,Москва,rent,flat,37,48,2,57.0,150000,0,Хорошево-Мневники, Народного Ополчения,15к7с4,Народное Ополчение
20,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307713667/,Москва,rent,flat,8,20,2,69.0,250000,0,Хорошево-Мневники, Паршина,10,Народное Ополчение
21,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307707967/,Москва,rent,flat,14,17,2,65.0,110000,0,Хорошево-Мневники, Маршала Тухачевского,14к1,Народное Ополчение
22,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307703113/,Москва,rent,flat,2,21,2,33.0,115000,0,Хорошево-Мневники,3-я Хорошевская ,17А,Народное Ополчение
23,Хозяин Сервис,real_estate_agent,https://www.cian.ru/rent/flat/307699242/,Москва,rent,flat,30,31,2,62.0,160000,0,Хорошево-Мневники,бульвар Генерала Карбышева,13А,Народное Ополчение
24,ID 228225,homeowner,https://www.cian.ru/rent/flat/307685443/,Москва,rent,flat,19,20,2,58.4,75000,0,Хорошево-Мневники,бульвар Генерала Карбышева,14,Народное Ополчение
25,Мой Дом - отделение Добрынинское,real_estate_agent,https://www.cian.ru/rent/flat/307683945/,Москва,rent,flat,9,14,2,39.0,75000,0,Хорошево-Мневники, Маршала Тухачевского,54,Народное Ополчение
26,CENTURY 21 RnB Estate,real_estate_agent,https://www.cian.ru/rent/flat/307673993/,Москва,rent,flat,8,10,2,50.0,120000,0,Хорошево-Мневники,3-я Хорошевская ,17А,Народное Ополчение
27,ПАРТНЕР,real_estate_agent,https://www.cian.ru/rent/flat/307673895/,Москва,rent,flat,11,17,2,52.0,80000,0,Хорошево-Мневники, Маршала Тухачевского,14к1,Народное Ополчение
