,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 18408685,unknown,https://krasnogorsk.cian.ru/rent/flat/307778581/,Москва,rent,flat,4,9,1,40.0,25000,0,Нахабино рп, Красноармейская,54,
1,ID 107285052,homeowner,https://krasnogorsk.cian.ru/rent/flat/307747301/,Москва,rent,flat,7,9,1,41.7,42000,0,,проезд Островского,19,Нахабино
2,Денис Мастяев,realtor,https://krasnogorsk.cian.ru/rent/flat/307706917/,Москва,rent,flat,1,14,1,50.0,40000,0,Нахабино рп, Новая Лесная,7,
3,Денис Мастяев,realtor,https://krasnogorsk.cian.ru/rent/flat/307704437/,Москва,rent,flat,8,8,1,47.0,35000,0,, Алексеевская,3,Нахабино
4,Яндекс Аренда,real_estate_agent,https://istra.cian.ru/rent/flat/307699746/,Москва,rent,flat,8,13,1,44.0,39000,0,Новоснегиревский ЖК,бульвар Сиреневый,5,
5,ID 92365159,homeowner,https://istra.cian.ru/rent/flat/307662479/,Москва,rent,flat,2,4,1,43.0,45000,0,,проспект Генерала Белобородова,28,Нахабино
6,ID 122104171,homeowner,https://krasnogorsk.cian.ru/rent/flat/307659790/,Москва,rent,flat,1,8,1,33.4,40000,0,, Дежнева,6,Нахабино
7,MOTYLEK - департамент недвижимости,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307650127/,Москва,rent,flat,1,9,1,32.0,40000,0,, Пришвина,1к1,Нахабино
8,Владис,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307635592/,Москва,rent,flat,6,8,1,42.0,65000,0,,бульвар Серебряный,4,Нахабино
9,Эволюция недвижимости,real_estate_agent,https://istra.cian.ru/rent/flat/307626044/,Москва,rent,flat,13,14,1,36.2,27000,0,, 9-й Гвардейской Дивизии,62Б,Нахабино
10,ID 324199,homeowner,https://istra.cian.ru/rent/flat/307587777/,Москва,rent,flat,4,4,1,58.0,70000,0,с. Павловская Слобода, Изумрудная,5к2,
11,Инна Шмелева,realtor,https://krasnogorsk.cian.ru/rent/flat/307567135/,Москва,rent,flat,5,8,1,41.0,65000,0,, Пришвина,3,Нахабино
12,ID 157884,realtor,https://krasnogorsk.cian.ru/rent/flat/307519659/,Москва,rent,flat,4,6,1,29.0,15000,0,с. Николо-Урюпино, Сергея Жадобкина,2к1,
13,ID 31400,realtor,https://krasnogorsk.cian.ru/rent/flat/307411403/,Москва,rent,flat,4,18,1,40.0,45000,0,Нахабино рп, Красноармейская,49А,
14,ID 95762941,realtor,https://istra.cian.ru/rent/flat/307386214/,Москва,rent,flat,1,3,1,46.9,90000,0,д. Новинки, Малахитовая,7,
15,ID 498586,homeowner,https://istra.cian.ru/rent/flat/307062528/,Москва,rent,flat,3,9,1,52.0,37000,0,Новоснегиревский ЖК,бульвар Сиреневый,4,
16,ID 83947223,homeowner,https://krasnogorsk.cian.ru/rent/flat/306932702/,Москва,rent,flat,5,8,1,35.0,15000,0,Нахабино рп, Стартовая,6,
17,ID 84626831,homeowner,https://krasnogorsk.cian.ru/rent/flat/306907339/,Москва,rent,flat,2,4,1,37.0,25000,0,с. Николо-Урюпино, Полковника Глазунова,14,
18,Лофт Инвест,real_estate_agent,https://istra.cian.ru/rent/flat/306785681/,Москва,rent,flat,3,4,1,30.0,39000,0,Снегири дп, Московская,12,
19,ID 53304,realtor,https://istra.cian.ru/rent/flat/299642213/,Москва,rent,flat,2,4,1,32.0,70000,0,,,,
20,ID 103723865,homeowner,https://istra.cian.ru/rent/flat/295422813/,Москва,rent,flat,1,3,1,40.0,50000,0,Сампо ЖК, Фадеева,19,
21,Антон Репин,realtor,https://krasnogorsk.cian.ru/rent/flat/295241237/,Москва,rent,flat,5,6,1,36.0,35000,0,с. Николо-Урюпино, Сергея Жадобкина,2к1,
22,ID 100659148,homeowner,https://istra.cian.ru/rent/flat/293341074/,Москва,rent,flat,1,3,1,43.0,78000,0,д. Новинки, Малахитовая,5,
23,ID 93603509,homeowner,https://istra.cian.ru/rent/flat/279371779/,Москва,rent,flat,3,4,1,37.0,30000,0,д. Исаково, Рябиновая,12,
24,ID 6323,realtor,https://dedovsk.cian.ru/rent/flat/276353277/,Москва,rent,flat,1,5,1,45.0,26000,0,, 1-я Волоколамская,60,Нахабино
25,ID 84226717,homeowner,https://istra.cian.ru/rent/flat/274987566/,Москва,rent,flat,1,4,1,45.0,90000,0,,,,
26,ID 60790649,unknown,https://istra.cian.ru/rent/flat/262549899/,Москва,rent,flat,2,3,1,44.0,50000,0,Павловский квартал ЖК, Новая,2,
27,ID 101793,unknown,https://istra.cian.ru/rent/flat/257506148/,Москва,rent,flat,3,9,1,45.7,35000,0,Новоснегиревский ЖК,бульвар Сиреневый,22,
