,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Паскаль,real_estate_agent,https://www.cian.ru/rent/flat/307736584/,Москва,rent,flat,8,9,1,34.0,70000,0,Нагорный,Болотниковская ,9К2,Нахимовский проспект
1,ID 9732094,realtor,https://www.cian.ru/rent/flat/307723377/,Москва,rent,flat,14,26,1,42.0,90000,0,Нагорный,Электролитный проезд,7,Нахимовский проспект
2,Century21 VICTORY,real_estate_agent,https://www.cian.ru/rent/flat/307711793/,Москва,rent,flat,2,17,1,38.0,70000,0,Черемушки,Нахимовский проспект,33/2,Нахимовский проспект
3,ID 124884,realtor,https://www.cian.ru/rent/flat/307694131/,Москва,rent,flat,18,27,1,45.0,110000,0,Черемушки,Нахимовский проспект,31к3,Нахимовский проспект
4,Любовь Дмитренко,realtor,https://www.cian.ru/rent/flat/307650886/,Москва,rent,flat,18,25,1,38.5,70000,0,Нагорный,Электролитный проезд,16к3,Нахимовский проспект
5,BDC,real_estate_agent,https://www.cian.ru/rent/flat/307633356/,Москва,rent,flat,8,9,1,33.7,70000,0,Нагорный,Болотниковская ,9К2,Нахимовский проспект
6,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307606933/,Москва,rent,flat,1,5,1,36.0,60000,0,Зюзино,Болотниковская ,46К1,Нахимовский проспект
7,ID 121970106,homeowner,https://www.cian.ru/rent/flat/307535478/,Москва,rent,flat,8,17,1,37.6,100000,0,Зюзино,Болотниковская ,36к5,Нахимовский проспект
8,Марина Фарафонова,realtor,https://www.cian.ru/rent/flat/307527997/,Москва,rent,flat,14,26,1,43.2,120000,0,Нагорный,Электролитный проезд,7,Нахимовский проспект
9,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/307434590/,Москва,rent,flat,1,9,1,40.0,60000,0,Нагатино-Садовники,Каширское шоссе,7К1,Нахимовский проспект
10,Георгий Черемский,realtor,https://www.cian.ru/rent/flat/307340532/,Москва,rent,flat,7,25,1,46.0,95000,0,Черемушки,Нахимовский проспект,31к3,Нахимовский проспект
11,Изумрудный город,real_estate_agent,https://www.cian.ru/rent/flat/307289150/,Москва,rent,flat,9,17,1,45.0,100000,0,Черемушки,Нахимовский проспект,31к3,Нахимовский проспект
12,Елена Носкова,realtor,https://www.cian.ru/rent/flat/307261317/,Москва,rent,flat,3,5,1,38.0,65000,0,Котловка,Нагорный бульвар,9,Нахимовский проспект
13,Элитный Дом,real_estate_agent,https://www.cian.ru/rent/flat/307156189/,Москва,rent,flat,8,27,1,42.0,110000,0,Нагорный,Электролитный проезд,7,Нахимовский проспект
14,City-flat,real_estate_agent,https://www.cian.ru/rent/flat/307070272/,Москва,rent,flat,4,9,1,33.0,90000,0,Москворечье-Сабурово,Каширское шоссе,26К3,Нахимовский проспект
15,Александр Лебедев,realtor,https://www.cian.ru/rent/flat/306773111/,Москва,rent,flat,5,9,1,32.0,46000,0,Котловка,Нахимовский проспект,14,Нахимовский проспект
16,Елена Радзевская,realtor,https://www.cian.ru/rent/flat/306736348/,Москва,rent,flat,16,18,1,49.3,97000,0,Черемушки,Нахимовский проспект,31к3,Нахимовский проспект
17,ODream,real_estate_agent,https://www.cian.ru/rent/flat/306545182/,Москва,rent,flat,6,23,1,40.0,145000,0,Черемушки,Нахимовский проспект,31к3,Нахимовский проспект
18,ЕВРОНЕДВИЖИМОСТЬ на Павелецкой,real_estate_agent,https://www.cian.ru/rent/flat/306459022/,Москва,rent,flat,18,24,1,41.0,85000,0,Нагорный,Электролитный проезд,7,Нахимовский проспект
19,Verges of estate,real_estate_agent,https://www.cian.ru/rent/flat/306114846/,Москва,rent,flat,9,12,1,35.0,97000,0,Зюзино,Азовская ,4,Нахимовский проспект
20,Олег Акулов,realtor,https://www.cian.ru/rent/flat/306068981/,Москва,rent,flat,17,18,1,45.0,90000,0,Черемушки,Нахимовский проспект,31к3,Нахимовский проспект
21,Олег Акулов,realtor,https://www.cian.ru/rent/flat/306068509/,Москва,rent,flat,15,25,1,45.0,90000,0,Черемушки,Нахимовский проспект,31к3,Нахимовский проспект
22,Наталия Селифонова,realtor,https://www.cian.ru/rent/flat/298791655/,Москва,rent,flat,1,4,1,27.3,65000,0,Нагорный,Электролитный проезд,1к2,Нахимовский проспект
