,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 122238707,homeowner,https://balashikha.cian.ru/rent/flat/307804050/,Москва,rent,flat,2,17,3,79.0,55000,0,,проезд Мирской,16,Никольское
1,ID 17642,real_estate_agent,https://reutov.cian.ru/rent/flat/307772548/,Москва,rent,flat,11,22,3,110.0,90000,0,, Октября,22,Никольское
2,Инна Клименко,realtor,https://balashikha.cian.ru/rent/flat/307710967/,Москва,rent,flat,2,5,3,54.0,55000,0,, Белякова,16,Никольское
3,Евгения Мамаева,realtor,https://balashikha.cian.ru/rent/flat/307634848/,Москва,rent,flat,1,11,3,65.0,45000,0,,проспект Ленина,38А,Никольское
4,Алексей Липович,realtor,https://reutov.cian.ru/rent/flat/307399032/,Москва,rent,flat,13,25,3,90.0,55000,0,,Юбилейный проспект,72,Никольское
5,Екатерина Василькина,realtor,https://balashikha.cian.ru/rent/flat/306389262/,Москва,rent,flat,4,9,3,68.0,45000,0,,Московский бульвар,11,Никольское
6,ID 120625281,homeowner,https://balashikha.cian.ru/rent/flat/306231510/,Москва,rent,flat,7,9,3,64.0,65000,0,,Солнечная ,3,Никольское
7,ID 117207326,homeowner,https://balashikha.cian.ru/rent/flat/307651045/,Москва,rent,flat,5,5,2,44.9,38000,0,,проспект Ленина,52,Никольское
8,ID 535615,realtor,https://balashikha.cian.ru/rent/flat/307661628/,Москва,rent,flat,1,5,2,45.0,42000,0,, Пионерская,16А,Железнодорожная
9,ID 102189648,homeowner,https://balashikha.cian.ru/rent/flat/286384864/,Москва,rent,flat,9,17,1,32.0,37000,0,, Безымянная,6,Железнодорожная
10,ID 2753,real_estate_agent,https://balashikha.cian.ru/rent/flat/307585000/,Москва,rent,flat,5,14,2,52.0,35000,0,,,5,Кучино
11,Семейные Инвестиции,real_estate_agent,https://balashikha.cian.ru/rent/flat/290201511/,Москва,rent,flat,3,16,1,31.6,47000,0,, Реутовская,20,Реутов
12,Инна Кезич,realtor,https://balashikha.cian.ru/rent/flat/307721107/,Москва,rent,flat,13,14,2,54.0,43000,0,, Лесные Поляны,5,Кучино
13,ID 324439,homeowner,https://balashikha.cian.ru/rent/flat/307682096/,Москва,rent,flat,21,22,2,60.0,50000,0,,проспект Героев,8,Железнодорожная
14,МИЭЛЬ - Офис в Железнодорожном,real_estate_agent,https://balashikha.cian.ru/rent/flat/307682350/,Москва,rent,flat,5,9,3,57.4,45000,0,, Пролетарская,3,Железнодорожная
15,ВАШ ДОМ,real_estate_agent,https://balashikha.cian.ru/rent/flat/307444040/,Москва,rent,flat,5,5,1,33.0,38000,0,,проспект Жуковского,9,Кучино
16,ЦЗН ПРОСПЕКТ МИРА,real_estate_agent,https://balashikha.cian.ru/rent/flat/307531308/,Москва,rent,flat,14,17,2,54.0,49000,0,, Летная,9,Щёлковская
17,Квартирный центр,real_estate_agent,https://balashikha.cian.ru/rent/flat/307611442/,Москва,rent,flat,14,15,3,71.0,40000,0,,Балашихинское шоссе,8к1,Щёлковская
18,Метражи group,real_estate_agent,https://balashikha.cian.ru/rent/flat/307583280/,Москва,rent,flat,7,25,1,23.0,33500,0,, Яганова,12,Щёлковская
19,ID 696285,homeowner,https://balashikha.cian.ru/rent/flat/307385240/,Москва,rent,flat,6,25,1,22.0,35000,0,, Строителей,1,Реутов
20,ID 51901120,homeowner,https://balashikha.cian.ru/rent/flat/305782757/,Москва,rent,flat,7,17,1,38.0,40000,0,,,34,Щёлковская
21,Ирина Дивакова,realtor,https://balashikha.cian.ru/rent/flat/307682158/,Москва,rent,flat,15,17,1,43.0,35000,0,, Твардовского,26,Кучино
22,Региональное,real_estate_agent,https://balashikha.cian.ru/rent/flat/307675938/,Москва,rent,flat,4,17,2,62.0,50000,0,,Солнечная ,21,Салтыковская
23,МИЭЛЬ - Офис в Железнодорожном,real_estate_agent,https://balashikha.cian.ru/rent/flat/307548016/,Москва,rent,flat,7,9,3,63.0,47000,0,, Пионерская,19,Железнодорожная
24,ИНГРУПП,real_estate_agent,https://balashikha.cian.ru/rent/flat/307360900/,Москва,rent,flat,13,25,1,32.0,45000,0,, Яганова,12,Щёлковская
