,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 82200314,homeowner,https://www.cian.ru/rent/flat/307777659/,Москва,rent,flat,4,5,2,46.0,95000,0,Проспект Вернадского, Удальцова,53,Новаторская
1,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307777375/,Москва,rent,flat,2,5,2,45.0,70000,0,Проспект Вернадского, Удальцова,45,Новаторская
2,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307772021/,Москва,rent,flat,8,25,2,67.0,200000,0,Обручевский, Академика Челомея,1А,Новаторская
3,ID 89012416,homeowner,https://www.cian.ru/rent/flat/307754958/,Москва,rent,flat,21,24,2,60.5,85000,0,Ломоносовский,проспект Вернадского,29к1,Новаторская
4,ID 19196,realtor,https://www.cian.ru/rent/flat/307753498/,Москва,rent,flat,5,9,2,37.1,70000,0,Ломоносовский,Ленинский проспект,95К3,Новаторская
5,Александр Галикбаров,realtor,https://www.cian.ru/rent/flat/307748545/,Москва,rent,flat,4,8,2,66.3,120000,0,Гагаринский, Строителей,4К4,Новаторская
6,ID 43674160,homeowner,https://www.cian.ru/rent/flat/307724898/,Москва,rent,flat,2,5,2,45.0,70000,0,Проспект Вернадского, Удальцова,45,Новаторская
7,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307723690/,Москва,rent,flat,4,5,2,48.0,95000,0,Проспект Вернадского, Удальцова,53,Новаторская
8,МИЭЛЬ,real_estate_agent,https://www.cian.ru/rent/flat/307723470/,Москва,rent,flat,17,18,2,58.0,70000,0,Ломоносовский, Академика Пилюгина,12К1,Новаторская
9,ID 12496962,realtor,https://www.cian.ru/rent/flat/307722823/,Москва,rent,flat,8,25,2,82.0,150000,0,Проспект Вернадского, Удальцова,17К1,Новаторская
10,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307716393/,Москва,rent,flat,16,18,2,58.0,80000,0,Ломоносовский, Академика Пилюгина,12К1,Новаторская
11,НейроДВИЖимость,real_estate_agent,https://www.cian.ru/rent/flat/307700357/,Москва,rent,flat,19,20,2,70.0,160000,0,Обручевский, Эльдара Рязанова,4,Новаторская
12,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307675337/,Москва,rent,flat,8,25,2,62.0,105000,0,Обручевский, Обручева,7,Новаторская
13,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307667033/,Москва,rent,flat,5,5,2,57.0,90000,0,Ломоносовский, Строителей,5К2,Новаторская
14,Виктор Васильев,realtor,https://www.cian.ru/rent/flat/307666149/,Москва,rent,flat,5,9,2,46.0,60000,0,Проспект Вернадского, Удальцова,3К11,Новаторская
15,Verges of estate,real_estate_agent,https://www.cian.ru/rent/flat/307663017/,Москва,rent,flat,32,40,2,70.0,150000,0,Обручевский,Ленинский проспект,111к1,Новаторская
16,Олеся Сухочева,realtor,https://www.cian.ru/rent/flat/307652807/,Москва,rent,flat,13,22,2,52.0,85000,0,Обручевский, Новаторов,4К4,Новаторская
17,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307652186/,Москва,rent,flat,8,25,2,67.0,200000,0,Обручевский, Академика Челомея,1А,Новаторская
18,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307639930/,Москва,rent,flat,8,16,2,66.0,90000,0,Тропарево-Никулино, 26 Бакинских Комиссаров,6,Новаторская
19,Capital Estate,real_estate_agent,https://www.cian.ru/rent/flat/307634339/,Москва,rent,flat,8,25,2,61.0,200000,0,Обручевский, Академика Челомея,1А,Новаторская
20,Светлана Райкова,realtor,https://www.cian.ru/rent/flat/307634001/,Москва,rent,flat,7,19,2,95.0,180000,0,Ломоносовский, Гарибальди,7,Новаторская
21,Наталья Горюнова,realtor,https://www.cian.ru/rent/flat/307630361/,Москва,rent,flat,8,9,2,45.0,70000,0,Ломоносовский,Ленинский проспект,93К2,Новаторская
22,ID 75363969,realtor,https://www.cian.ru/rent/flat/307622254/,Москва,rent,flat,2,8,2,65.0,100000,0,Ломоносовский, Крупской,4К3,Новаторская
23,Светлана Лушкина,realtor,https://www.cian.ru/rent/flat/307616225/,Москва,rent,flat,13,18,2,58.9,85000,0,Ломоносовский, Академика Пилюгина,12К2,Новаторская
24,ID 13136449,realtor,https://www.cian.ru/rent/flat/307609045/,Москва,rent,flat,7,34,2,48.0,185000,0,Обручевский, Архитектора Власова,71к2,Новаторская
25,ID 476602,realtor,https://www.cian.ru/rent/flat/307600847/,Москва,rent,flat,20,24,2,75.0,130000,0,Проспект Вернадского, Удальцова,7К2,Новаторская
26,Светлана Прокопенко,realtor,https://www.cian.ru/rent/flat/307599481/,Москва,rent,flat,2,8,2,65.0,100000,0,Ломоносовский, Крупской,4К3,Новаторская
27,ID 106469225,homeowner,https://www.cian.ru/rent/flat/307585475/,Москва,rent,flat,9,12,2,86.6,170000,0,Проспект Вернадского, Удальцова,15,Новаторская
28,Юлия Дусина,realtor,https://www.cian.ru/rent/flat/307583403/,Москва,rent,flat,8,34,2,51.6,150000,0,Обручевский, Архитектора Власова,71к2,Новаторская
29,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/307577779/,Москва,rent,flat,7,34,2,48.0,185000,0,Обручевский, Архитектора Власова,71к2,Новаторская
30,ID 7277,realtor,https://www.cian.ru/rent/flat/307572738/,Москва,rent,flat,3,8,2,55.0,90000,0,Ломоносовский, Строителей,11К1,Новаторская
31,Валентина Романова,realtor,https://www.cian.ru/rent/flat/307552400/,Москва,rent,flat,3,5,2,46.0,70000,0,Проспект Вернадского, Лобачевского,24,Новаторская
32,Олег Акулов,realtor,https://www.cian.ru/rent/flat/307527271/,Москва,rent,flat,4,5,2,50.0,50000,0,Ломоносовский, Кравченко,20,Новаторская
33,FAMILY OFFICE,real_estate_agent,https://www.cian.ru/rent/flat/307432648/,Москва,rent,flat,10,18,2,56.0,130000,0,Ломоносовский, Гарибальди,11,Новаторская
34,ID 59744115,homeowner,https://www.cian.ru/rent/flat/307422995/,Москва,rent,flat,12,12,2,53.0,64000,0,Обручевский, Академика Челомея,8К2,Новаторская
35,ID 18162847,realtor,https://www.cian.ru/rent/flat/307407097/,Москва,rent,flat,15,22,2,58.7,100000,0,Обручевский, Новаторов,36К1,Новаторская
36,Ирина Вол,realtor,https://www.cian.ru/rent/flat/307385534/,Москва,rent,flat,8,8,2,58.0,90000,0,Ломоносовский, Кравченко,12,Новаторская
37,Елена Сергеева,realtor,https://www.cian.ru/rent/flat/307374452/,Москва,rent,flat,10,14,2,40.0,80000,0,Проспект Вернадского,Ленинский проспект,130К1,Новаторская
38,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307369802/,Москва,rent,flat,7,9,2,46.0,70000,0,Проспект Вернадского, Лобачевского,12,Новаторская
39,Жанна Шумакова,realtor,https://www.cian.ru/rent/flat/307336815/,Москва,rent,flat,7,9,2,44.6,70000,0,Проспект Вернадского, Лобачевского,12,Новаторская
40,ЛИДЕР Риэлти,real_estate_agent,https://www.cian.ru/rent/flat/307248246/,Москва,rent,flat,9,24,2,61.5,170000,0,Обручевский, Академика Челомея,1А,Новаторская
41,Олег Акулов,realtor,https://www.cian.ru/rent/flat/307221921/,Москва,rent,flat,10,20,2,85.0,160000,0,Обручевский,Ленинский проспект,107к1,Новаторская
42,ID 115693892,homeowner,https://www.cian.ru/rent/flat/307205537/,Москва,rent,flat,6,25,2,38.3,110000,0,Обручевский, Архитектора Власова,71к2,Новаторская
43,Алина Адрианова,realtor,https://www.cian.ru/rent/flat/307183124/,Москва,rent,flat,3,9,2,37.4,75000,0,Обручевский, Обручева,19К1,Новаторская
44,CENTURY 21 RnB Estate,real_estate_agent,https://www.cian.ru/rent/flat/307099753/,Москва,rent,flat,2,10,2,52.8,280000,0,Проспект Вернадского,проспект Вернадского,41С1,Новаторская
45,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307082288/,Москва,rent,flat,6,8,2,55.0,95000,0,Ломоносовский,Ленинский проспект,91,Новаторская
46,Verges of estate,real_estate_agent,https://www.cian.ru/rent/flat/307062566/,Москва,rent,flat,31,34,2,61.0,130000,0,Обручевский,Ленинский проспект,111к1,Новаторская
47,RENT_BAND,real_estate_agent,https://www.cian.ru/rent/flat/306919256/,Москва,rent,flat,8,19,2,45.0,120000,0,Проспект Вернадского,Ленинский проспект,122,Новаторская
48,Оксана Москвичева,realtor,https://www.cian.ru/rent/flat/306911731/,Москва,rent,flat,2,17,2,50.5,95000,0,Обручевский, Воронцовские Пруды,5,Новаторская
49,Chase R.E.S.,real_estate_agent,https://www.cian.ru/rent/flat/306894075/,Москва,rent,flat,30,48,2,67.0,140000,0,Обручевский,Ленинский проспект,111к1,Новаторская
50,Елена Виноградова,realtor,https://www.cian.ru/rent/flat/306858243/,Москва,rent,flat,22,36,2,50.0,150000,0,Обручевский,Ленинский проспект,95Б,Новаторская
51,ID 23524,realtor,https://www.cian.ru/rent/flat/306607518/,Москва,rent,flat,5,32,2,42.0,130000,0,Обручевский, Архитектора Власова,71к2,Новаторская
52,Светлана Волкова,realtor,https://www.cian.ru/rent/flat/306502924/,Москва,rent,flat,8,19,2,45.0,120000,0,Проспект Вернадского,Ленинский проспект,122,Новаторская
53,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306475790/,Москва,rent,flat,4,5,2,45.0,95000,0,Проспект Вернадского, Удальцова,53,Новаторская
54,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306322371/,Москва,rent,flat,16,19,2,40.0,95000,0,Проспект Вернадского,Ленинский проспект,122,Новаторская
55,Наталья Шаронова,realtor,https://www.cian.ru/rent/flat/306283750/,Москва,rent,flat,16,19,2,40.0,95000,0,Проспект Вернадского,Ленинский проспект,122,Новаторская
