,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Яндекс Аренда,real_estate_agent,https://dolgoprudny.cian.ru/rent/flat/307779557/,Москва,rent,flat,15,17,1,33.0,44000,0,,Молодежная ,2,Новодачная
1,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307779511/,Москва,rent,flat,11,22,1,40.0,50000,0,Северный,Дмитровское шоссе,165Ек6,Новодачная
2,Capital Mars,real_estate_agent,https://dolgoprudny.cian.ru/rent/flat/307756626/,Москва,rent,flat,5,19,1,45.0,50000,0,,проспект Ракетостроителей,9к1,Новодачная
3,ID 70758,homeowner,https://dolgoprudny.cian.ru/rent/flat/307736641/,Москва,rent,flat,12,12,1,37.0,45000,0,,Спортивная ,5к3,Новодачная
4,Capital Mars,real_estate_agent,https://dolgoprudny.cian.ru/rent/flat/307721248/,Москва,rent,flat,17,17,1,53.0,40000,0,,Лихачевский проспект,68к4,Новодачная
5,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307721228/,Москва,rent,flat,10,14,1,37.0,60000,0,Северный,Долгопрудная аллея,15к4,Новодачная
6,ID 44699056,unknown,https://dolgoprudny.cian.ru/rent/flat/307702465/,Москва,rent,flat,4,25,1,50.0,55000,0,,Лихачевский проспект,80к1,Новодачная
7,FROM HOMELAND,real_estate_agent,https://www.cian.ru/rent/flat/307670984/,Москва,rent,flat,10,16,1,37.0,60000,0,Северный,Долгопрудная аллея,15к4,Новодачная
8,МИР-Н,real_estate_agent,https://www.cian.ru/rent/flat/307657262/,Москва,rent,flat,3,14,1,42.0,45000,0,Северный,Долгопрудная аллея,15к1,Новодачная
9,Меркурий,real_estate_agent,https://dolgoprudny.cian.ru/rent/flat/307651061/,Москва,rent,flat,10,16,1,45.0,40000,0,,Лихачевское шоссе,6к4,Новодачная
10,ID 106149920,unknown,https://www.cian.ru/rent/flat/307650322/,Москва,rent,flat,14,19,1,40.0,54990,0,Северный,Дмитровское шоссе,169к1,Новодачная
11,ID 96317670,homeowner,https://dolgoprudny.cian.ru/rent/flat/307638139/,Москва,rent,flat,17,17,1,53.0,40000,0,,Лихачевский проспект,68к4,Новодачная
12,Константин Березюк,realtor,https://mytishchi.cian.ru/rent/flat/307636936/,Москва,rent,flat,2,5,1,32.0,35000,0,д. Афанасово, Березовая Роща,2,
13,Евгений Тараканов,realtor,https://www.cian.ru/rent/flat/307632542/,Москва,rent,flat,3,17,1,34.4,55000,0,Северный,Дмитровское шоссе,169К3,Новодачная
14,Иван Тетерук,realtor,https://www.cian.ru/rent/flat/307626521/,Москва,rent,flat,3,14,1,35.0,35000,0,Северный,Дмитровское шоссе,165Ек9,Новодачная
15,Артём Бученков,realtor,https://www.cian.ru/rent/flat/307591718/,Москва,rent,flat,8,17,1,37.7,53000,0,Северный,9-я Северная линия,23к2,Новодачная
16,ID 511602,realtor,https://www.cian.ru/rent/flat/307590969/,Москва,rent,flat,7,8,1,42.4,56000,0,Северный,бульвар Академика Ландау,1,Новодачная
17,ID 244461,realtor,https://dolgoprudny.cian.ru/rent/flat/307461811/,Москва,rent,flat,5,5,1,32.0,47000,0,,Московское шоссе,41,Новодачная
18,СТОЛИЦА Департамент недвижимости,real_estate_agent,https://mytishchi.cian.ru/rent/flat/307256701/,Москва,rent,flat,2,3,1,18.0,25000,0,д. Грибки, Славянская,315,
19,ID 48190830,homeowner,https://dolgoprudny.cian.ru/rent/flat/306683252/,Москва,rent,flat,4,9,1,38.6,46800,0,,Дирижабельная ,10,Новодачная
20,ID 36254226,homeowner,https://dolgoprudny.cian.ru/rent/flat/306410866/,Москва,rent,flat,17,27,1,44.2,28000,0,,Новый бульвар,7,Новодачная
21,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://mytishchi.cian.ru/rent/flat/300009862/,Москва,rent,flat,4,10,1,43.0,35000,0,,,,
22,ID 76466069,homeowner,https://www.cian.ru/rent/flat/285655428/,Москва,rent,flat,13,14,1,36.6,50000,0,Северный,Долгопрудная аллея,15к4,Новодачная
23,Estwig-недвижимость офис Москва-Сити,real_estate_agent,https://dolgoprudny.cian.ru/rent/flat/276650023/,Москва,rent,flat,17,17,1,44.0,45000,0,,Лихачевский проспект,70к2,Новодачная
24,ID 13486117,unknown,https://dolgoprudny.cian.ru/rent/flat/265482300/,Москва,rent,flat,6,9,1,36.0,50000,0,, Циолковского,7,Новодачная
25,ID 71763262,homeowner,https://dolgoprudny.cian.ru/rent/flat/264492432/,Москва,rent,flat,22,23,1,58.0,90000,0,,Новый бульвар,2,Новодачная
26,Мария Горбатенко,realtor,https://dolgoprudny.cian.ru/rent/flat/278303374/,Москва,rent,flat,3,3,1,14.0,19000,0,, Дружбы,11А,Шереметьевская
27,ID 86211378,homeowner,https://dolgoprudny.cian.ru/rent/flat/292359560/,Москва,rent,flat,22,24,1,26.0,40000,0,,Парковая ,52,Водники
28,ID 13465034,homeowner,https://dolgoprudny.cian.ru/rent/flat/307394297/,Москва,rent,flat,22,23,1,25.0,47000,0,,Парковая ,52,Водники
