,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 312826,realtor,https://reutov.cian.ru/rent/flat/307753479/,Москва,rent,flat,6,17,1,50.7,55000,0,,Молодежная ,4,Новокосино
1,ID 94133987,unknown,https://reutov.cian.ru/rent/flat/307750939/,Москва,rent,flat,13,25,1,38.0,49000,0,,Садовый проезд,9,Новокосино
2,Руслан Кадиров,realtor,https://reutov.cian.ru/rent/flat/307747975/,Москва,rent,flat,3,19,1,55.0,65000,0,, Октября,42,Новокосино
3,Only Realty,real_estate_agent,https://www.cian.ru/rent/flat/307745367/,Москва,rent,flat,7,14,1,38.5,59990,0,Новокосино,Новокосинская ,17К6,Новокосино
4,ID 315895,realtor,https://balashikha.cian.ru/rent/flat/307744683/,Москва,rent,flat,4,16,1,41.0,45000,0,,проезд Мирской,5,Новокосино
5,Анна Невзорова,realtor,https://reutov.cian.ru/rent/flat/307726876/,Москва,rent,flat,3,22,1,49.6,50000,0,,Парковая ,8к3,Новокосино
6,ЦАН,real_estate_agent,https://reutov.cian.ru/rent/flat/307715320/,Москва,rent,flat,3,19,1,55.0,73000,0,, Октября,42,Новокосино
7,ID 618886,realtor,https://balashikha.cian.ru/rent/flat/307698034/,Москва,rent,flat,2,5,1,30.0,40000,0,, Юлиуса Фучика,6к5,Новокосино
8,ID 299011,realtor,https://reutov.cian.ru/rent/flat/307688064/,Москва,rent,flat,24,25,1,29.2,50000,0,,Юбилейный проспект,67,Новокосино
9,ID 54442,realtor,https://www.cian.ru/rent/flat/307686541/,Москва,rent,flat,3,17,1,38.0,45000,0,Новокосино,Новокосинская ,24К2,Новокосино
10,ID 12364,realtor,https://www.cian.ru/rent/flat/307683949/,Москва,rent,flat,6,9,1,35.0,39900,0,Вешняки,Реутовская ,24,Новокосино
11,ID 122125829,homeowner,https://reutov.cian.ru/rent/flat/307683948/,Москва,rent,flat,11,19,1,54.0,80000,0,,Юбилейный проспект,51,Новокосино
12,MOTYLEK - департамент недвижимости,real_estate_agent,https://balashikha.cian.ru/rent/flat/307682768/,Москва,rent,flat,3,5,1,30.0,32000,0,, Карбышева,23,Новокосино
13,Ирина Дивакова,realtor,https://balashikha.cian.ru/rent/flat/307682158/,Москва,rent,flat,15,17,1,43.0,35000,0,, Твардовского,26,Новокосино
14,Олег Гордеев,realtor,https://reutov.cian.ru/rent/flat/307666729/,Москва,rent,flat,24,25,1,42.0,60000,0,, Октября,44,Новокосино
15,ID 63664685,unknown,https://balashikha.cian.ru/rent/flat/307649857/,Москва,rent,flat,13,17,1,42.0,50000,0,, Безымянная,16,Новокосино
16,Столичный Проспект,real_estate_agent,https://balashikha.cian.ru/rent/flat/307643318/,Москва,rent,flat,15,17,1,39.0,30000,0,, Твардовского,18,Новокосино
17,MOSCOW-N,real_estate_agent,https://reutov.cian.ru/rent/flat/307618392/,Москва,rent,flat,3,25,1,40.0,50000,0,, Октября,48,Новокосино
18,ID 27064,realtor,https://www.cian.ru/rent/flat/307608887/,Москва,rent,flat,11,14,1,35.1,50000,0,Вешняки, Старый Гай,4К1,Новокосино
19,Наталья Журова,realtor,https://reutov.cian.ru/rent/flat/307593780/,Москва,rent,flat,7,25,1,45.0,49000,0,,Юбилейный проспект,78,Новокосино
20,Недвижимость на Советской,real_estate_agent,https://www.cian.ru/rent/flat/307581323/,Москва,rent,flat,9,25,1,42.0,60000,0,Косино-Ухтомский,Салтыковская ,6/1к7,Новокосино
21,Светлана Мельникова,realtor,https://balashikha.cian.ru/rent/flat/307529147/,Москва,rent,flat,3,5,1,31.6,37000,0,,шоссе Энтузиастов,7А,Новокосино
22,Каскад,real_estate_agent,https://reutov.cian.ru/rent/flat/307527971/,Москва,rent,flat,4,25,1,30.0,57000,0,,Юбилейный проспект,40,Новокосино
23,ОХОТНЫЙ РЯД офис Тверская,real_estate_agent,https://balashikha.cian.ru/rent/flat/307500074/,Москва,rent,flat,6,9,1,31.8,30000,0,, Некрасова,12,Новокосино
24,ID 23336198,homeowner,https://balashikha.cian.ru/rent/flat/307499394/,Москва,rent,flat,6,9,1,31.8,43000,0,, Некрасова,12,Новокосино
25,ЦАН,real_estate_agent,https://reutov.cian.ru/rent/flat/307497659/,Москва,rent,flat,6,9,1,33.0,52000,0,, Победы,19,Новокосино
26,EMPIRE HOME,real_estate_agent,https://balashikha.cian.ru/rent/flat/307386727/,Москва,rent,flat,7,24,1,48.0,63000,0,, Разина,1А,Новокосино
27,ID 14032,realtor,https://balashikha.cian.ru/rent/flat/307386693/,Москва,rent,flat,1,10,1,49.0,32000,0,, Ленина,7а,Новокосино
28,ID 74564807,homeowner,https://balashikha.cian.ru/rent/flat/307376232/,Москва,rent,flat,5,9,1,33.0,45000,0,, Фадеева,13,Новокосино
29,Capital Mars,real_estate_agent,https://reutov.cian.ru/rent/flat/307360007/,Москва,rent,flat,15,22,1,40.0,65000,0,,Носовихинское шоссе,43,Новокосино
30,Мой Дом - отделение Добрынинское,real_estate_agent,https://www.cian.ru/rent/flat/307323794/,Москва,rent,flat,7,14,1,38.0,45000,0,Новокосино,Суздальская ,18К7,Новокосино
