,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307701687/,Москва,rent,flat,2,4,2,72.0,160000,0,Замоскворечье,Озерковский переулок,7С1,Новокузнецкая
1,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307700847/,Москва,rent,flat,2,4,2,74.7,150000,0,Замоскворечье,Озерковский переулок,7С1,Новокузнецкая
2,Владис,real_estate_agent,https://www.cian.ru/rent/flat/307679911/,Москва,rent,flat,5,5,2,57.5,220000,0,Замоскворечье,Садовническая ,11С10,Новокузнецкая
3,ID 100272700,unknown,https://www.cian.ru/rent/flat/307611012/,Москва,rent,flat,6,8,2,70.0,350000,0,Замоскворечье,Климентовский переулок,6,Новокузнецкая
4,Интеллект-Риэлт,real_estate_agent,https://www.cian.ru/rent/flat/307589743/,Москва,rent,flat,8,9,2,39.0,100000,0,Замоскворечье,Новокузнецкая ,35-37С2,Новокузнецкая
5,Прометей,real_estate_agent,https://www.cian.ru/rent/flat/307574282/,Москва,rent,flat,6,9,2,44.0,110000,0,Замоскворечье,6-й Монетчиковский переулок,5,Новокузнецкая
6,Ярослав Бибиков,realtor,https://www.cian.ru/rent/flat/307572019/,Москва,rent,flat,1,5,2,45.4,179990,0,Замоскворечье,Татарская ,1/7,Новокузнецкая
7,Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/307567073/,Москва,rent,flat,2,5,2,75.0,450000,0,Замоскворечье,Большой Ордынский переулок,4С4,Новокузнецкая
8,Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307527117/,Москва,rent,flat,5,6,2,83.0,500000,0,Замоскворечье,Садовническая набережная,7,Новокузнецкая
9,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307493015/,Москва,rent,flat,2,8,2,59.7,550000,0,Замоскворечье, Малая Ордынка,19,Новокузнецкая
10,Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/307489777/,Москва,rent,flat,7,8,2,67.0,245000,0,Якиманка,Софийская набережная,34,Новокузнецкая
11,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/307450076/,Москва,rent,flat,5,5,2,57.5,230000,0,Замоскворечье,Садовническая ,11С10,Новокузнецкая
12,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307257486/,Москва,rent,flat,2,8,2,60.0,550000,0,Замоскворечье, Малая Ордынка,19,Новокузнецкая
13,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307256806/,Москва,rent,flat,2,7,2,80.0,700000,0,Якиманка,Ордынский тупик,4А,Новокузнецкая
14,ID 99704473,realtor,https://www.cian.ru/rent/flat/307134262/,Москва,rent,flat,2,6,2,59.7,550000,0,Замоскворечье, Малая Ордынка,19,Новокузнецкая
15,Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/307112157/,Москва,rent,flat,5,6,2,88.0,500000,0,Замоскворечье,Садовническая набережная,7,Новокузнецкая
16,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/306881320/,Москва,rent,flat,5,6,2,83.0,500000,0,Замоскворечье,Садовническая набережная,7,Новокузнецкая
17,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306795829/,Москва,rent,flat,2,8,2,59.0,550000,0,Замоскворечье, Малая Ордынка,19,Новокузнецкая
18,ЦДВ Инвест,real_estate_agent,https://www.cian.ru/rent/flat/306776418/,Москва,rent,flat,8,8,2,55.0,150000,0,Якиманка, Большая Полянка,1/3,Новокузнецкая
19,Самолет Плюс Москва,real_estate_agent,https://www.cian.ru/rent/flat/306608568/,Москва,rent,flat,2,5,2,70.0,230000,0,Замоскворечье,Озерковская набережная,48/50с2,Новокузнецкая
20,Мария Бобкова,realtor,https://www.cian.ru/rent/flat/305839094/,Москва,rent,flat,5,7,2,108.0,230000,0,Замоскворечье, Малая Ордынка,3,Новокузнецкая
21,МДН,real_estate_agent,https://www.cian.ru/rent/flat/305809605/,Москва,rent,flat,2,8,2,55.0,250000,0,Якиманка,Софийская набережная,34,Новокузнецкая
22,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/305635000/,Москва,rent,flat,2,5,2,71.0,230000,0,Замоскворечье,Озерковская набережная,48/50с2,Новокузнецкая
23,Иван Димов,realtor,https://www.cian.ru/rent/flat/305607983/,Москва,rent,flat,4,13,2,49.0,120000,0,Замоскворечье,Новокузнецкая ,13С1,Новокузнецкая
24,CENTURY 21 RnB Estate,real_estate_agent,https://www.cian.ru/rent/flat/305338524/,Москва,rent,flat,2,5,2,71.0,230000,0,Замоскворечье,Озерковская набережная,48/50с2,Новокузнецкая
25,ID 19566554,homeowner,https://www.cian.ru/rent/flat/305217221/,Москва,rent,flat,2,5,2,71.0,230000,0,Замоскворечье,Озерковская набережная,48/50с2,Новокузнецкая
26,Webster,real_estate_agent,https://www.cian.ru/rent/flat/305102934/,Москва,rent,flat,3,8,2,78.0,500000,0,Якиманка,Софийская набережная,34,Новокузнецкая
27,Kalinka Group,real_estate_agent,https://www.cian.ru/rent/flat/305059526/,Москва,rent,flat,3,8,2,78.0,500000,0,Якиманка,Софийская набережная,34,Новокузнецкая
