,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Сити Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307757294/,Москва,rent,flat,1,3,1,60.0,70000,0,, Ленина,21А,Новопеределкино
1,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307753650/,Москва,rent,flat,9,17,1,41.4,47500,0,,,19,Новопеределкино
2,Тамара Осипова,realtor,https://www.cian.ru/rent/flat/307752564/,Москва,rent,flat,15,19,1,38.5,55000,0,, Лаптева,8к1,Новопеределкино
3,Паскаль,real_estate_agent,https://www.cian.ru/rent/flat/307740487/,Москва,rent,flat,17,22,1,38.0,55000,0,Ново-Переделкино,Новопеределкинская ,15,Новопеределкино
4,Анна Шуклина,realtor,https://www.cian.ru/rent/flat/307726924/,Москва,rent,flat,21,24,1,31.0,90000,0,Ново-Переделкино,Чоботовская ,2к3,Новопеределкино
5,Елена Гусарова,realtor,https://www.cian.ru/rent/flat/307724443/,Москва,rent,flat,7,25,1,44.0,46000,0,, Атласова,11,Новопеределкино
6,MDco,real_estate_agent,https://www.cian.ru/rent/flat/307695015/,Москва,rent,flat,7,14,1,48.0,65000,0,Ново-Переделкино,Новопеределкинская ,9,Новопеределкино
7,ID 90439500,unknown,https://www.cian.ru/rent/flat/307685553/,Москва,rent,flat,6,22,1,42.0,55000,0,, Анны Ахматовой,20,Новопеределкино
8,ID 88716647,homeowner,https://www.cian.ru/rent/flat/307677948/,Москва,rent,flat,20,22,1,30.0,65000,0,, Анны Ахматовой,11к1,Новопеределкино
9,Светлана Савельева,realtor,https://www.cian.ru/rent/flat/307675248/,Москва,rent,flat,13,14,1,38.9,55000,0,Ново-Переделкино,Новопеределкинская ,7,Новопеределкино
10,ID 23596,realtor,https://www.cian.ru/rent/flat/307661917/,Москва,rent,flat,2,22,1,42.0,60000,0,Ново-Переделкино,Чоботовская ,15,Новопеределкино
11,Prime Estate,real_estate_agent,https://www.cian.ru/rent/flat/307655310/,Москва,rent,flat,12,27,1,42.0,65000,0,, Москвитина,5к1,Новопеределкино
12,ID 51386155,homeowner,https://www.cian.ru/rent/flat/307645945/,Москва,rent,flat,17,23,1,26.0,65000,0,, Анны Ахматовой,11к1,Новопеределкино
13,ID 38849827,unknown,https://www.cian.ru/rent/flat/307645426/,Москва,rent,flat,14,14,1,39.0,40000,0,Ново-Переделкино, Шолохова,30,Новопеределкино
14,ИНГРУПП,real_estate_agent,https://www.cian.ru/rent/flat/307633905/,Москва,rent,flat,13,14,1,41.0,65000,0,Ново-Переделкино,Новопеределкинская ,12,Новопеределкино
15,ID 121459433,realtor,https://www.cian.ru/rent/flat/307632469/,Москва,rent,flat,17,17,1,38.0,57000,0,Ново-Переделкино,Боровское шоссе,43К1,Новопеределкино
16,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307632088/,Москва,rent,flat,15,22,1,38.0,60000,0,Ново-Переделкино,Боровское шоссе,33К1,Новопеределкино
17,Ирина Смолякова,realtor,https://www.cian.ru/rent/flat/307628838/,Москва,rent,flat,7,24,1,37.2,80000,0,Ново-Переделкино,Чоботовская ,2к3,Новопеределкино
18,Светлана Комлева,realtor,https://www.cian.ru/rent/flat/307625364/,Москва,rent,flat,3,17,1,40.0,55000,0,Ново-Переделкино,Боровское шоссе,30,Новопеределкино
19,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307612147/,Москва,rent,flat,17,22,1,38.0,60000,0,Ново-Переделкино,Новопеределкинская ,13К1,Новопеределкино
20,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307608465/,Москва,rent,flat,17,22,1,38.0,60000,0,Ново-Переделкино,Новопеределкинская ,15,Новопеределкино
21,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307606852/,Москва,rent,flat,17,22,1,40.0,60000,0,Ново-Переделкино,Боровское шоссе,33К1,Новопеределкино
22,ID 535807,realtor,https://www.cian.ru/rent/flat/307596094/,Москва,rent,flat,8,19,1,37.8,48000,0,, Бориса Пастернака,33к2,Новопеределкино
23,Этажи Москва,real_estate_agent,https://www.cian.ru/rent/flat/307582268/,Москва,rent,flat,11,22,1,59.0,80000,0,,бульвар Андрея Тарковского,11,Новопеределкино
24,Алия Алиева,realtor,https://www.cian.ru/rent/flat/307570311/,Москва,rent,flat,5,17,1,41.0,55000,0,Ново-Переделкино,Боровское шоссе,56,Новопеределкино
25,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307567455/,Москва,rent,flat,20,22,1,45.0,85000,0,, Анны Ахматовой,16,Новопеределкино
26,ID 562,realtor,https://www.cian.ru/rent/flat/307537107/,Москва,rent,flat,2,17,1,40.0,48000,0,Ново-Переделкино,Боровское шоссе,30,Новопеределкино
27,ID 47586865,realtor,https://www.cian.ru/rent/flat/307535739/,Москва,rent,flat,8,11,1,43.0,85000,0,,бульвар Андрея Тарковского,9,Новопеределкино
28,Марина Пескова,realtor,https://www.cian.ru/rent/flat/307500038/,Москва,rent,flat,5,17,1,40.0,44000,0,Ново-Переделкино,Боровское шоссе,30,Новопеределкино
29,ГОРОБМЕН,real_estate_agent,https://www.cian.ru/rent/flat/307438418/,Москва,rent,flat,9,17,1,38.0,48000,0,, Бориса Пастернака,31к1,Новопеределкино
30,ID 492181,homeowner,https://www.cian.ru/rent/flat/307433288/,Москва,rent,flat,8,25,1,46.0,80000,0,, Анны Ахматовой,8,Новопеределкино
31,ID 12789447,homeowner,https://www.cian.ru/rent/flat/307394886/,Москва,rent,flat,13,19,1,38.0,54000,0,, Самуила Маршака,23к1,Новопеределкино
32,Игорь Гаврилов,realtor,https://www.cian.ru/rent/flat/307377171/,Москва,rent,flat,4,22,1,50.0,58000,0,Ново-Переделкино,Чоботовская ,17,Новопеределкино
