,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Новый свет,real_estate_agent,https://khimki.cian.ru/rent/flat/307743815/,Москва,rent,flat,19,27,1,42.0,50000,0,, Родионова,5,Новоподрезково
1,МИЭЛЬ,real_estate_agent,https://khimki.cian.ru/rent/flat/307720502/,Москва,rent,flat,7,9,1,34.2,38000,0,, Новозаводская,6,Новоподрезково
2,Надежда Владова,realtor,https://khimki.cian.ru/rent/flat/307717620/,Москва,rent,flat,8,19,1,38.0,45000,0,,переулок 2-й Чапаевский,10,Новоподрезково
3,Светлана Муравьева,realtor,https://www.cian.ru/rent/flat/307716524/,Москва,rent,flat,23,25,1,36.9,35000,0,Молжаниновский,Синявинская ,11к2,Новоподрезково
4,ID 384413,homeowner,https://khimki.cian.ru/rent/flat/307685453/,Москва,rent,flat,19,25,1,41.9,50000,0,,Молодежная ,74,Новоподрезково
5,LIFE ESTATE,real_estate_agent,https://khimki.cian.ru/rent/flat/307684540/,Москва,rent,flat,9,17,1,41.0,37000,0,, Ленинградская,1,Новоподрезково
6,ДОМОФОН,real_estate_agent,https://khimki.cian.ru/rent/flat/307655491/,Москва,rent,flat,2,3,1,40.0,30000,0,,Горная ,25А,Новоподрезково
7,ID 29595389,homeowner,https://khimki.cian.ru/rent/flat/307631351/,Москва,rent,flat,10,17,1,42.0,50000,0,,,9,Новоподрезково
8,ID 112881341,homeowner,https://www.cian.ru/rent/flat/307592492/,Москва,rent,flat,11,14,1,35.6,50000,0,Молжаниновский,Ленинградское шоссе,228к7,Новоподрезково
9,Яндекс Аренда,real_estate_agent,https://khimki.cian.ru/rent/flat/307478381/,Москва,rent,flat,2,7,1,47.0,80000,0,, Олимпийская,28,Новоподрезково
10,Парус,real_estate_agent,https://khimki.cian.ru/rent/flat/307385182/,Москва,rent,flat,9,17,1,45.0,45000,0,, Ленина,33,Новоподрезково
11,Марина Дудоладова,realtor,https://khimki.cian.ru/rent/flat/306909233/,Москва,rent,flat,23,26,1,40.0,55000,0,,9 Мая ,21к1,Новоподрезково
12,ID 28115112,homeowner,https://khimki.cian.ru/rent/flat/306655849/,Москва,rent,flat,20,26,1,36.1,65000,0,,9 Мая ,21к1,Новоподрезково
13,ОХОТНЫЙ РЯД офис Тверская,real_estate_agent,https://khimki.cian.ru/rent/flat/306524557/,Москва,rent,flat,2,7,1,50.0,65000,0,, Олимпийская,28,Новоподрезково
14,Александр Артамонов,realtor,https://khimki.cian.ru/rent/flat/305365768/,Москва,rent,flat,4,8,1,32.0,39000,0,,Овражная ,24к9,Новоподрезково
15,ID 73419482,homeowner,https://khimki.cian.ru/rent/flat/305247949/,Москва,rent,flat,2,4,1,40.4,59000,0,, Ивановская,3к2,Новоподрезково
16,Юлия Зобнина,realtor,https://khimki.cian.ru/rent/flat/294158365/,Москва,rent,flat,6,25,1,41.7,45000,0,,Молодежная ,60,Новоподрезково
17,Валентина Алексеева,realtor,https://khimki.cian.ru/rent/flat/293836492/,Москва,rent,flat,6,9,1,30.2,45000,0,,Овражная ,24к12,Новоподрезково
18,ID 96029464,unknown,https://khimki.cian.ru/rent/flat/289537097/,Москва,rent,flat,23,25,1,42.1,58000,0,,проспект Мельникова,33,Новоподрезково
19,ID 33515204,homeowner,https://khimki.cian.ru/rent/flat/276819060/,Москва,rent,flat,18,27,1,47.0,55000,0,,Молодежная ,78,Новоподрезково
20,Надежда Владова,realtor,https://khimki.cian.ru/rent/flat/158192581/,Москва,rent,flat,4,5,1,25.0,40000,0,, Мичурина,33,Новоподрезково
21,Егор Колмогоров,realtor,https://khimki.cian.ru/rent/flat/288261546/,Москва,rent,flat,5,5,1,30.0,45000,0,, Энгельса,16,Химки
22,ФЛЭТ Зеленоград,real_estate_agent,https://khimki.cian.ru/rent/flat/307381994/,Москва,rent,flat,17,17,1,39.0,42000,0,,Железнодорожная ,33к1,Сходня
23,Павел Черкашин,realtor,https://khimki.cian.ru/rent/flat/307627441/,Москва,rent,flat,3,9,2,45.0,48000,0,,Юбилейный проспект,40,Химки
24,ID 122026980,homeowner,https://khimki.cian.ru/rent/flat/307596093/,Москва,rent,flat,23,23,1,43.0,42000,0,, Горшина,6к2,Химки
