,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Владимир Владимиров,realtor,https://odintsovo.cian.ru/rent/flat/307773189/,Москва,rent,flat,6,12,3,70.0,44999,0,,Можайское шоссе,46,Одинцово
1,ID 47048854,homeowner,https://krasnogorsk.cian.ru/rent/flat/307769844/,Москва,rent,flat,4,11,3,71.0,80000,0,пос. Ильинское-Усово,проезд Александра Невского,7,
2,YU HOME,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307754661/,Москва,rent,flat,6,12,3,70.0,45000,0,,Можайское шоссе,46,Одинцово
3,ID 7150120,unknown,https://odintsovo.cian.ru/rent/flat/307740881/,Москва,rent,flat,2,9,3,100.0,130000,0,,Северная ,57А,Одинцово
4,ID 16719674,homeowner,https://odintsovo.cian.ru/rent/flat/307722987/,Москва,rent,flat,2,4,3,112.0,300000,0,,,,
5,ID 17876166,homeowner,https://odintsovo.cian.ru/rent/flat/307716835/,Москва,rent,flat,20,24,3,49.0,105000,0,Новоивановское рп,бульвар Эйнштейна,5,
6,Марина Девятых,realtor,https://krasnogorsk.cian.ru/rent/flat/307698713/,Москва,rent,flat,10,10,3,80.0,85000,0,пос. Ильинское-Усово,проезд Александра Невского,8,
7,БЕСТ на Октябрьской,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307685515/,Москва,rent,flat,2,4,3,56.0,56900,0,,,,
8,ID 21412884,homeowner,https://odintsovo.cian.ru/rent/flat/307574599/,Москва,rent,flat,1,4,3,150.0,170000,0,,,,
9,Tатьяна Грек,realtor,https://odintsovo.cian.ru/rent/flat/307569728/,Москва,rent,flat,22,28,3,105.0,100000,0,,Можайское шоссе,38Г,Одинцово
10,ID 121967876,homeowner,https://odintsovo.cian.ru/rent/flat/307545239/,Москва,rent,flat,19,24,3,52.0,115000,0,Новоивановское рп,бульвар Эйнштейна,5,
11,Марина Захарченко,realtor,https://odintsovo.cian.ru/rent/flat/307507818/,Москва,rent,flat,5,28,3,75.0,90000,0,,Можайское шоссе,122,Одинцово
12,Престиж,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307497820/,Москва,rent,flat,8,16,3,70.0,95000,0,,Красногорское шоссе,2,Одинцово
13,Григорий Гаврилов,realtor,https://odintsovo.cian.ru/rent/flat/307494554/,Москва,rent,flat,16,17,3,85.0,78000,0,пос. ВНИИССОК, Дружбы,15,
14,Престиж,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307492595/,Москва,rent,flat,22,24,3,93.0,140000,0,,Можайское шоссе,122,Одинцово
15,Семён Шугуров,realtor,https://golitsyno.cian.ru/rent/flat/307473125/,Москва,rent,flat,8,9,3,75.3,70000,0,,Советская ,60,Одинцово
16,Марина Захарченко,realtor,https://odintsovo.cian.ru/rent/flat/307414336/,Москва,rent,flat,14,16,3,67.3,75000,0,, Чикина,2,Одинцово
17,Оксана Валиева,realtor,https://odintsovo.cian.ru/rent/flat/307366414/,Москва,rent,flat,1,9,3,72.3,20000,0,,,,
18,ID 141109,realtor,https://odintsovo.cian.ru/rent/flat/307359806/,Москва,rent,flat,8,9,3,62.6,59000,0,, Маршала Неделина,9,Одинцово
19,Евгений Тогобицкий,realtor,https://odintsovo.cian.ru/rent/flat/307307319/,Москва,rent,flat,7,16,3,65.0,55000,0,,Садовая ,32,Одинцово
20,Ирина Руперти,realtor,https://odintsovo.cian.ru/rent/flat/307293840/,Москва,rent,flat,1,6,3,112.0,165000,0,Азарово Северное кп, Сиреневая,6,
21,ID 299455,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307273246/,Москва,rent,flat,11,12,3,62.0,50000,0,д. Малые Вяземы,Петровское шоссе,1,
22,OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307153293/,Москва,rent,flat,4,4,3,141.0,600000,0,,,117,
23,MDco,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307065610/,Москва,rent,flat,2,5,3,130.0,135000,0,,,,
24,Антон Самойлов,realtor,https://odintsovo.cian.ru/rent/flat/306973023/,Москва,rent,flat,6,17,3,82.0,65000,0,,бульвар Маршала Крылова,7,Одинцово
25,Людмила Кокурина,realtor,https://odintsovo.cian.ru/rent/flat/306931159/,Москва,rent,flat,12,14,3,86.0,60000,0,пос. ВНИИССОК,Березовая ,6,
26,ID 52790424,homeowner,https://krasnogorsk.cian.ru/rent/flat/306877390/,Москва,rent,flat,2,8,3,69.0,75000,0,,,,
27,Владимир Владимиров,realtor,https://odintsovo.cian.ru/rent/flat/306838042/,Москва,rent,flat,2,5,3,57.0,54999,0,,Молодежная ,12,Одинцово
28,ID 21295407,unknown,https://odintsovo.cian.ru/rent/flat/306804113/,Москва,rent,flat,1,4,3,150.0,170000,0,,,,
29,LLC LODESTAR CITY,real_estate_agent,https://odintsovo.cian.ru/rent/flat/306663727/,Москва,rent,flat,21,25,3,130.0,125000,0,,бульвар Маршала Крылова,25а,Одинцово
30,ID 103353511,realtor,https://odintsovo.cian.ru/rent/flat/306647662/,Москва,rent,flat,3,28,3,98.0,120000,0,,Можайское шоссе,122,Одинцово
31,Рейман,real_estate_agent,https://odintsovo.cian.ru/rent/flat/306583348/,Москва,rent,flat,24,24,3,48.0,65000,0,Новоивановское рп,бульвар Эйнштейна,5,
32,ID 75434463,homeowner,https://odintsovo.cian.ru/rent/flat/306450833/,Москва,rent,flat,4,17,3,82.0,75000,0,, Говорова,34,Одинцово
33,Apple Real Estate,real_estate_agent,https://odintsovo.cian.ru/rent/flat/305923263/,Москва,rent,flat,3,7,3,120.0,270000,0,,,,
34,Chase R.E.S.,real_estate_agent,https://odintsovo.cian.ru/rent/flat/305277985/,Москва,rent,flat,3,7,3,120.0,270000,0,,,,
35,Мозаик Групп,real_estate_agent,https://odintsovo.cian.ru/rent/flat/304933217/,Москва,rent,flat,5,7,3,120.0,250000,0,,,,
36,АМТ - недвижимость,real_estate_agent,https://odintsovo.cian.ru/rent/flat/304907526/,Москва,rent,flat,2,3,3,82.0,150000,0,,,,
37,My Hoyse,real_estate_agent,https://odintsovo.cian.ru/rent/flat/303319631/,Москва,rent,flat,3,17,3,116.0,100000,0,,,,
38,Полина  Башура,realtor,https://krasnogorsk.cian.ru/rent/flat/300203785/,Москва,rent,flat,1,9,3,102.7,105000,0,пос. Ильинское-Усово,проезд Александра Невского,2,
39,На Петровке,real_estate_agent,https://odintsovo.cian.ru/rent/flat/299731717/,Москва,rent,flat,6,6,3,273.0,1000000,0,,,,
40,ID 44992848,unknown,https://krasnogorsk.cian.ru/rent/flat/295915981/,Москва,rent,flat,1,11,3,79.0,75000,0,пос. Ильинское-Усово,проезд Александра Невского,7,
41,NF Group Country - ex-Knight Frank Russia,real_estate_agent,https://odintsovo.cian.ru/rent/flat/295769212/,Москва,rent,flat,6,6,3,273.0,1200000,0,,,,
42,ID 107569570,homeowner,https://krasnogorsk.cian.ru/rent/flat/292414505/,Москва,rent,flat,3,5,3,106.0,100000,0,с. Петрово-Дальнее, Суворовская,6,
