,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 18951,real_estate_agent,https://www.cian.ru/rent/flat/307752574/,Москва,rent,flat,14,16,2,56.0,75000,0,Тропарево-Никулино, Мичуринский проспект Олимпийская деревня,14,Озёрная
1,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307750421/,Москва,rent,flat,2,16,2,55.0,80000,0,Тропарево-Никулино, Мичуринский проспект Олимпийская деревня,22,Озёрная
2,Нина Богданова,realtor,https://www.cian.ru/rent/flat/307747138/,Москва,rent,flat,9,31,2,36.0,75000,0,Очаково-Матвеевское, Малая Очаковская,4Ак2,Озёрная
3,Небоскреб,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307740335/,Москва,rent,flat,4,9,2,47.0,90000,0,Заречье рп,Луговая ,6к1,
4,Паскаль,real_estate_agent,https://www.cian.ru/rent/flat/307740004/,Москва,rent,flat,26,33,2,40.0,85000,0,Очаково-Матвеевское, Малая Очаковская,4Ак2,Озёрная
5,ID 90076478,homeowner,https://www.cian.ru/rent/flat/307739217/,Москва,rent,flat,10,17,2,54.6,110000,0,Тропарево-Никулино, Академика Анохина,26К4,Озёрная
6,Паскаль,real_estate_agent,https://www.cian.ru/rent/flat/307736679/,Москва,rent,flat,16,34,2,32.0,69000,0,Очаково-Матвеевское, Малая Очаковская,4Ак2,Озёрная
7,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307723897/,Москва,rent,flat,7,33,2,32.0,90000,0,Очаково-Матвеевское, Малая Очаковская,4Ак2,Озёрная
8,ID 84837476,homeowner,https://www.cian.ru/rent/flat/307711107/,Москва,rent,flat,5,33,2,36.4,100000,0,Очаково-Матвеевское, Малая Очаковская,4Ак2,Озёрная
9,New Day Realty,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307707859/,Москва,rent,flat,6,9,2,36.0,85000,0,Заречье рп,Луговая ,6к1,
10,Павел Понурин,realtor,https://www.cian.ru/rent/flat/307705898/,Москва,rent,flat,16,16,2,54.0,85000,0,Тропарево-Никулино, Академика Анохина,38К1,Озёрная
11,Perfect Manager House,real_estate_agent,https://www.cian.ru/rent/flat/307683071/,Москва,rent,flat,14,17,2,55.0,100000,0,Тропарево-Никулино, Академика Анохина,46К3,Озёрная
12,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307673363/,Москва,rent,flat,16,34,2,35.0,69000,0,Очаково-Матвеевское, Малая Очаковская,4Ак2,Озёрная
13,ID 122115794,homeowner,https://www.cian.ru/rent/flat/307673310/,Москва,rent,flat,5,12,2,52.2,74000,0,Очаково-Матвеевское,Озерная ,11,Озёрная
14,GardenGoldRealty,real_estate_agent,https://www.cian.ru/rent/flat/307670245/,Москва,rent,flat,21,32,2,51.0,120000,0,Очаково-Матвеевское,Озерная ,44,Озёрная
15,ID 97661501,homeowner,https://www.cian.ru/rent/flat/307654163/,Москва,rent,flat,3,32,2,50.0,85000,0,Солнцево,Боровское шоссе,2Ак1,Озёрная
16,ID 24684,realtor,https://www.cian.ru/rent/flat/307650180/,Москва,rent,flat,3,16,2,49.5,95000,0,Тропарево-Никулино, Академика Анохина,44,Озёрная
17,Дмитрий Орлов,realtor,https://www.cian.ru/rent/flat/307641504/,Москва,rent,flat,33,33,2,41.0,105000,0,Очаково-Матвеевское,Очаковское шоссе,5к4,Озёрная
18,Perfect Manager House,real_estate_agent,https://www.cian.ru/rent/flat/307641048/,Москва,rent,flat,14,17,2,55.0,100000,0,Тропарево-Никулино, Академика Анохина,46К3,Озёрная
19,ID 6766492,realtor,https://www.cian.ru/rent/flat/307636020/,Москва,rent,flat,14,24,2,54.0,120000,0,Очаково-Матвеевское, Малая Очаковская,4Ак2,Озёрная
20,KeyPoint Realty,real_estate_agent,https://www.cian.ru/rent/flat/307635783/,Москва,rent,flat,21,32,2,51.0,120000,0,Очаково-Матвеевское,Озерная ,44,Озёрная
21,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307625252/,Москва,rent,flat,26,33,2,40.0,90000,0,Очаково-Матвеевское, Малая Очаковская,4Ак2,Озёрная
22,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307613842/,Москва,rent,flat,21,32,2,51.0,120000,0,Очаково-Матвеевское,Озерная ,44,Озёрная
23,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307605510/,Москва,rent,flat,20,22,2,60.0,90000,0,Очаково-Матвеевское,Большая Очаковская ,44,Озёрная
24,Светлана Ларина,realtor,https://www.cian.ru/rent/flat/307567729/,Москва,rent,flat,33,33,2,50.0,110000,0,Очаково-Матвеевское, Малая Очаковская,4Ак2,Озёрная
25,Квартирный центр,real_estate_agent,https://www.cian.ru/rent/flat/307566342/,Москва,rent,flat,21,32,2,51.0,120000,0,Очаково-Матвеевское,Озерная ,44,Озёрная
26,ID 395633,realtor,https://www.cian.ru/rent/flat/307551614/,Москва,rent,flat,5,25,2,58.0,90000,0,Солнцево,Боровское шоссе,2к7,Озёрная
27,АЛЬФА,real_estate_agent,https://odintsovo.cian.ru/rent/flat/307544367/,Москва,rent,flat,6,9,2,80.0,280000,0,Заречье рп, Весенняя,2к6,
