,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307773325/,Москва,rent,flat,10,24,3,60.0,120000,0,Западное Дегунино,Дмитровское шоссе,71А,Окружная
1,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307770417/,Москва,rent,flat,4,8,3,85.0,110000,0,Тимирязевский,Дмитровское шоссе,51К1,Окружная
2,ID 122180516,realtor,https://www.cian.ru/rent/flat/307728823/,Москва,rent,flat,4,33,3,52.0,120000,0,Западное Дегунино, Летчика Осканова,6,Окружная
3,My Hoyse,real_estate_agent,https://www.cian.ru/rent/flat/307701697/,Москва,rent,flat,8,22,3,78.0,130000,0,Марфино,Гостиничный проезд,10,Окружная
4,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307637758/,Москва,rent,flat,7,22,3,77.0,146500,0,Марфино,Гостиничный проезд,10,Окружная
5,Людмила Иванова,realtor,https://www.cian.ru/rent/flat/307605660/,Москва,rent,flat,1,9,3,56.2,85000,0,Восточное Дегунино,Дубнинская ,4К1,Окружная
6,ID 7144750,homeowner,https://www.cian.ru/rent/flat/307553406/,Москва,rent,flat,4,5,3,55.0,77000,0,Коптево,Большая Академическая ,39А,Окружная
7,Инна Дударева,realtor,https://www.cian.ru/rent/flat/307550638/,Москва,rent,flat,6,19,3,52.0,100000,0,Тимирязевский,проезд 1-й Нижнелихоборский,1,Окружная
8,Московская Корпорация Недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307457358/,Москва,rent,flat,8,17,3,73.8,100000,0,Бескудниковский,Бескудниковский бульвар,2К1,Окружная
9,Первый Московский Дом Недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307338145/,Москва,rent,flat,10,24,3,60.0,100000,0,Западное Дегунино,Дмитровское шоссе,71А,Окружная
10,Дмитрий Павленко,realtor,https://www.cian.ru/rent/flat/307296897/,Москва,rent,flat,8,20,3,75.0,75000,0,Тимирязевский,Дмитровское шоссе,55,Окружная
11,ID 14063,realtor,https://www.cian.ru/rent/flat/307130869/,Москва,rent,flat,23,24,3,79.0,150000,0,Западное Дегунино,Дмитровское шоссе,71А,Окружная
12,ID 19282208,homeowner,https://www.cian.ru/rent/flat/295863733/,Москва,rent,flat,7,18,3,75.0,100000,0,Коптево,Большая Академическая ,75К2,Окружная
13,Дарья Румянцева,realtor,https://www.cian.ru/rent/flat/307632693/,Москва,rent,flat,2,5,3,68.0,110000,0,Савеловский,1-я Хуторская ,2К2,Дмитровская
14,Ирина Николаевна Иванилова,realtor,https://www.cian.ru/rent/flat/306447664/,Москва,rent,flat,6,14,3,75.0,85000,0,Головинский,Авангардная ,13,Речной вокзал
15,ID 21239956,realtor,https://www.cian.ru/rent/flat/307570941/,Москва,rent,flat,20,41,4,100.0,100000,0,Раменки,1-й Сетуньский проезд,8,Кутузовская
16,Максим Костромин,realtor,https://www.cian.ru/rent/flat/307301864/,Москва,rent,flat,3,5,4,100.0,100000,0,Щукино, Маршала Рыбалко,1,Октябрьское поле
17,ID 106808303,homeowner,https://www.cian.ru/rent/flat/307606053/,Москва,rent,flat,5,18,3,75.0,74000,0,Северное Медведково, Грекова,14к1,Медведково
18,ID 100465345,homeowner,https://www.cian.ru/rent/flat/307552263/,Москва,rent,flat,3,41,3,82.0,150000,0,Хорошевский,Ленинградский проспект,37/6,Аэропорт
19,Антон Осмелкин,realtor,https://www.cian.ru/rent/flat/307530536/,Москва,rent,flat,4,9,3,60.0,70000,0,Отрадное, Бестужевых,17Б,Отрадное
20,ID 121154463,homeowner,https://www.cian.ru/rent/flat/306816695/,Москва,rent,flat,5,5,3,54.9,89000,0,Аэропорт,Авиационный переулок,4,Аэропорт
21,СТОЛИЦА Департамент недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307674470/,Москва,rent,flat,7,20,3,50.0,95000,0,Останкинский,Березовая аллея,19к4,Ботанический сад
22,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306949620/,Москва,rent,flat,1,12,3,60.0,85000,0,Останкинский, Годовикова,1К2,Алексеевская
23,ID 106564716,homeowner,https://www.cian.ru/rent/flat/307708633/,Москва,rent,flat,14,17,3,72.4,85000,0,Восточное Дегунино,Дубнинская ,17К2,Верхние Лихоборы
24,Монолит,real_estate_agent,https://www.cian.ru/rent/flat/263677575/,Москва,rent,flat,5,12,2,75.0,100000,0,Бутырский, Милашенкова,1,Улица Милашенкова
