,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Ирина Лисицина,realtor,https://www.cian.ru/rent/flat/307657150/,Москва,rent,flat,11,14,2,53.0,150000,0,Замоскворечье,Люсиновская ,12,Октябрьская
1,Monumental Group,real_estate_agent,https://www.cian.ru/rent/flat/307602200/,Москва,rent,flat,6,10,2,65.0,170000,0,Якиманка, Малая Полянка,2,Октябрьская
2,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307541479/,Москва,rent,flat,2,14,2,45.0,125000,0,Якиманка, Большая Полянка,30,Октябрьская
3,ID 22048,realtor,https://www.cian.ru/rent/flat/307056269/,Москва,rent,flat,3,5,2,46.0,85000,0,Якиманка, Шаболовка,25К2,Октябрьская
4,ID 6732,realtor,https://www.cian.ru/rent/flat/307023884/,Москва,rent,flat,2,5,2,60.0,180000,0,Хамовники,Фрунзенская набережная,2/1,Октябрьская
5,Prestige Group,real_estate_agent,https://www.cian.ru/rent/flat/306755172/,Москва,rent,flat,9,15,2,61.0,130000,0,Якиманка, Большая Полянка,28к1,Октябрьская
6,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306398024/,Москва,rent,flat,6,10,2,60.0,170000,0,Якиманка, Малая Полянка,2,Октябрьская
7,ID 178336,realtor,https://www.cian.ru/rent/flat/306318809/,Москва,rent,flat,9,10,2,46.0,100000,0,Якиманка,Ленинский проспект,3,Октябрьская
8,Penny Lane Moscow,real_estate_agent,https://www.cian.ru/rent/flat/306061160/,Москва,rent,flat,2,8,2,121.0,330000,0,Якиманка,2-й Казачий переулок,4С1,Октябрьская
9,ID 3603820,homeowner,https://www.cian.ru/rent/flat/303857236/,Москва,rent,flat,2,14,2,40.0,125000,0,Якиманка, Большая Полянка,30,Октябрьская
10,31 Квартал,real_estate_agent,https://www.cian.ru/rent/flat/303767720/,Москва,rent,flat,14,14,2,52.1,120000,0,Замоскворечье,Люсиновская ,26-28к6,Октябрьская
11,ID 90116037,realtor,https://www.cian.ru/rent/flat/284316010/,Москва,rent,flat,6,14,2,52.2,130000,0,Замоскворечье,Люсиновская ,26-28к6,Октябрьская
12,Дмитрий Каплун,realtor,https://www.cian.ru/rent/flat/270133046/,Москва,rent,flat,4,9,2,44.0,79000,0,Якиманка,Донская ,25С1,Октябрьская
13,Жанна Толпарова,realtor,https://www.cian.ru/rent/flat/269757226/,Москва,rent,flat,5,14,2,48.7,105000,0,Якиманка, Большая Полянка,28к1,Октябрьская
14,ID 713083,realtor,https://www.cian.ru/rent/flat/159829637/,Москва,rent,flat,9,18,2,77.0,145000,0,Якиманка, Шаболовка,10к1,Октябрьская
15,Михаил Иванов,realtor,https://www.cian.ru/rent/flat/307586651/,Москва,rent,flat,2,7,3,75.9,95000,0,Хамовники,переулок Сивцев Вражек,21,Смоленская
16,Вартан Вартанян,realtor,https://www.cian.ru/rent/flat/307525401/,Москва,rent,flat,12,12,2,49.0,100000,0,Арбат,Староконюшенный переулок,30,Кропоткинская
17,ID 44635371,homeowner,https://www.cian.ru/rent/flat/293542836/,Москва,rent,flat,3,8,2,57.0,140000,0,Хамовники, Хамовнический Вал,28,Спортивная
18,ID 18835544,official_representative,https://www.cian.ru/rent/flat/281664247/,Москва,rent,flat,5,12,2,80.0,1200000,0,Тверской, Охотный Ряд,2,Охотный ряд
19,Диана Товт,realtor,https://www.cian.ru/rent/flat/306948289/,Москва,rent,flat,8,8,2,60.1,100000,0,Дорогомилово,Кутузовский проспект,33,Кутузовская
20,Alfa Forum Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307677528/,Москва,rent,flat,13,14,1,42.0,110000,0,Тверской,Лесная ,10-16,Белорусская
21,ID 48976342,unknown,https://www.cian.ru/rent/flat/307046940/,Москва,rent,flat,3,5,2,42.0,85000,0,Тверской, Петровка,26С5,Трубная
22,ID 16276255,unknown,https://www.cian.ru/rent/flat/307538535/,Москва,rent,flat,3,4,1,45.0,128000,0,Басманный,Старосадский переулок,10С1,Китай-город
23,ID 101776928,homeowner,https://www.cian.ru/rent/flat/296048389/,Москва,rent,flat,4,9,2,50.0,90000,0,Гагаринский,Ленинский проспект,32,Ленинский проспект
24,ID 40430859,homeowner,https://www.cian.ru/rent/flat/271620360/,Москва,rent,flat,6,16,2,54.0,89000,0,Даниловский,Большая Тульская ,2,Тульская
