,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 54133713,homeowner,https://www.cian.ru/rent/flat/307729068/,Москва,rent,flat,14,21,2,60.2,150000,0,Хорошево-Мневники,3-я Хорошевская ,17А,Октябрьское поле
1,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307713667/,Москва,rent,flat,8,20,2,69.0,250000,0,Хорошево-Мневники, Паршина,10,Октябрьское поле
2,Tower Estate,real_estate_agent,https://www.cian.ru/rent/flat/307708062/,Москва,rent,flat,7,11,2,70.0,150000,0,Щукино, Маршала Новикова,12к2,Октябрьское поле
3,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307707967/,Москва,rent,flat,14,17,2,65.0,110000,0,Хорошево-Мневники, Маршала Тухачевского,14к1,Октябрьское поле
4,ID 2439,realtor,https://www.cian.ru/rent/flat/307706518/,Москва,rent,flat,12,12,2,56.0,90000,0,Хорошево-Мневники, Генерала Глаголева,30К3,Октябрьское поле
5,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307703113/,Москва,rent,flat,2,21,2,33.0,115000,0,Хорошево-Мневники,3-я Хорошевская ,17А,Октябрьское поле
6,CENTURY 21 RnB Estate,real_estate_agent,https://www.cian.ru/rent/flat/307673993/,Москва,rent,flat,8,10,2,50.0,120000,0,Хорошево-Мневники,3-я Хорошевская ,17А,Октябрьское поле
7,ПАРТНЕР,real_estate_agent,https://www.cian.ru/rent/flat/307673895/,Москва,rent,flat,11,17,2,52.0,80000,0,Хорошево-Мневники, Маршала Тухачевского,14к1,Октябрьское поле
8,Ольга Медведева,realtor,https://www.cian.ru/rent/flat/307662477/,Москва,rent,flat,2,5,2,63.0,80000,0,Щукино, Маршала Бирюзова,16,Октябрьское поле
9,ОЛИМПИК СТАР,real_estate_agent,https://www.cian.ru/rent/flat/307637595/,Москва,rent,flat,8,22,2,50.0,120000,0,Хорошево-Мневники,3-я Хорошевская ,17А,Октябрьское поле
10,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307626677/,Москва,rent,flat,8,10,2,50.0,120000,0,Хорошево-Мневники,3-я Хорошевская ,17А,Октябрьское поле
11,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307626164/,Москва,rent,flat,8,10,2,55.0,120000,0,Хорошево-Мневники,3-я Хорошевская ,17А,Октябрьское поле
12,Михаил Мальцев,realtor,https://www.cian.ru/rent/flat/307622850/,Москва,rent,flat,18,22,2,56.0,145000,0,Щукино, Берзарина,30А,Октябрьское поле
13,Григорий Тимофеев,realtor,https://www.cian.ru/rent/flat/307608549/,Москва,rent,flat,15,16,2,76.3,200000,0,Хорошево-Мневники,3-я Хорошевская ,21к4,Октябрьское поле
14,ID 12460270,unknown,https://www.cian.ru/rent/flat/307590453/,Москва,rent,flat,4,22,2,50.0,85000,0,Хорошево-Мневники, Маршала Тухачевского,41к1,Октябрьское поле
15,МИЭЛЬ,real_estate_agent,https://www.cian.ru/rent/flat/307574551/,Москва,rent,flat,18,28,2,53.0,95000,0,Строгино, Маршала Катукова,24к4,Октябрьское поле
16,Артем Андреев,realtor,https://www.cian.ru/rent/flat/307569739/,Москва,rent,flat,6,23,2,65.0,200000,0,Хорошево-Мневники,3-я Хорошевская ,23к1,Октябрьское поле
17,ID 56608287,realtor,https://www.cian.ru/rent/flat/307556981/,Москва,rent,flat,4,34,2,98.6,115000,0,Строгино, Исаковского,39К1,Октябрьское поле
18,RENT_BAND,real_estate_agent,https://www.cian.ru/rent/flat/307552149/,Москва,rent,flat,7,23,2,40.0,100000,0,Хорошево-Мневники,3-я Хорошевская ,19А,Октябрьское поле
19,Станислав Прокофьев,realtor,https://www.cian.ru/rent/flat/307549754/,Москва,rent,flat,8,24,2,68.0,150000,0,Щукино, Берзарина,30А,Октябрьское поле
20,ID 21001,realtor,https://www.cian.ru/rent/flat/307536905/,Москва,rent,flat,7,8,2,63.0,80000,0,Сокол, Алабяна,10К6,Октябрьское поле
21,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307531119/,Москва,rent,flat,10,21,2,47.0,120000,0,Хорошево-Мневники, Паршина,10,Октябрьское поле
22,Неля Гарипова,realtor,https://www.cian.ru/rent/flat/307515623/,Москва,rent,flat,16,25,2,60.0,125000,0,Щукино, Берзарина,32/2,Октябрьское поле
23,Наталия Миронова,realtor,https://www.cian.ru/rent/flat/307509909/,Москва,rent,flat,3,14,2,39.0,54000,0,Хорошево-Мневники, Маршала Тухачевского,25К2,Октябрьское поле
24,ID 21601,realtor,https://www.cian.ru/rent/flat/307507680/,Москва,rent,flat,9,14,2,48.0,60000,0,Хорошево-Мневники, Берзарина,15,Октябрьское поле
25,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307495831/,Москва,rent,flat,14,17,2,60.0,110000,0,Хорошево-Мневники, Маршала Тухачевского,14к1,Октябрьское поле
26,ID 5095,realtor,https://www.cian.ru/rent/flat/307495587/,Москва,rent,flat,4,25,2,60.0,120000,0,Щукино, Берзарина,32к2.2,Октябрьское поле
27,ID 4751,realtor,https://www.cian.ru/rent/flat/307486179/,Москва,rent,flat,4,11,2,54.8,100000,0,Щукино, Маршала Рыбалко,2к6,Октябрьское поле
28,Светлана Джавриева,realtor,https://www.cian.ru/rent/flat/262079430/,Москва,rent,flat,3,7,2,75.0,90000,0,Сокол, Панфилова,2к4,Октябрьское поле
29,ID 7519440,realtor,https://www.cian.ru/rent/flat/261990095/,Москва,rent,flat,11,17,2,78.0,130000,0,Хорошево-Мневники, Маршала Тухачевского,51,Октябрьское поле
30,ID 24923986,unknown,https://www.cian.ru/rent/flat/253300587/,Москва,rent,flat,11,12,2,50.0,75000,0,Хорошево-Мневники, Демьяна Бедного,19К2,Октябрьское поле
31,ID 27929,realtor,https://www.cian.ru/rent/flat/234068075/,Москва,rent,flat,8,24,2,75.0,120000,0,Щукино, Берзарина,28Ак4,Октябрьское поле
32,ID 13230,realtor,https://www.cian.ru/rent/flat/154855692/,Москва,rent,flat,10,35,2,110.0,170000,0,Щукино,Авиационная ,79Б,Октябрьское поле
33,Империя недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/274657176/,Москва,rent,flat,7,19,1,62.0,75000,0,Хорошево-Мневники,проспект Маршала Жукова,76к2,Народное Ополчение
34,ID 121892460,homeowner,https://www.cian.ru/rent/flat/307458363/,Москва,rent,flat,20,25,2,46.0,120000,0,Хорошевский, Маргелова,3к1,Беговая
35,ЕГСН Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307359009/,Москва,rent,flat,2,16,2,58.0,95000,0,Хорошево-Мневники, Мневники,23,Народное Ополчение
36,ID 100465345,homeowner,https://www.cian.ru/rent/flat/307552263/,Москва,rent,flat,3,41,3,82.0,100000,0,Хорошевский,Ленинградский проспект,37/6,Аэропорт
37,ID 12431,realtor,https://www.cian.ru/rent/flat/306817484/,Москва,rent,flat,4,9,2,45.0,85000,0,Покровское-Стрешнево,Волоколамское шоссе,49,Щукинская
38,Максим Костромин,realtor,https://www.cian.ru/rent/flat/307301864/,Москва,rent,flat,3,5,4,100.0,100000,0,Щукино, Маршала Рыбалко,1,Октябрьское поле
39,Дмитрий Скаженик,realtor,https://www.cian.ru/rent/flat/274474151/,Москва,rent,flat,4,9,2,45.0,80000,0,Хорошево-Мневники,Живописная ,5К5,Народное Ополчение
40,O.M.GROUP,real_estate_agent,https://www.cian.ru/rent/flat/306771010/,Москва,rent,flat,8,29,2,58.0,90000,0,Строгино, Маршала Катукова,24к6,Строгино
41,Валерия Боголюбова,realtor,https://www.cian.ru/rent/flat/307507134/,Москва,rent,flat,4,5,2,45.0,75000,0,Хорошево-Мневники, Демьяна Бедного,3К3,Народное Ополчение
42,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307484447/,Москва,rent,flat,13,24,2,60.0,110000,0,Хорошево-Мневники, Народного Ополчения,11,Народное Ополчение
43,ID 26273579,homeowner,https://www.cian.ru/rent/flat/307594144/,Москва,rent,flat,4,25,1,40.0,95000,0,Щукино, Берзарина,32,Октябрьское поле
44,ID 96289638,homeowner,https://www.cian.ru/rent/flat/306039950/,Москва,rent,flat,16,17,2,70.0,95000,0,Хорошево-Мневники,проспект Маршала Жукова,68К1,Народное Ополчение
45,Екатерина Юрченко,realtor,https://www.cian.ru/rent/flat/307123335/,Москва,rent,flat,5,5,2,58.0,80000,0,Щукино, Маршала Рыбалко,12К2,Октябрьское поле
46,ID 56232267,unknown,https://www.cian.ru/rent/flat/307206548/,Москва,rent,flat,15,34,3,60.0,85000,0,Щукино,Авиационная ,66,Октябрьское поле
47,Эльвира Хуппиева,realtor,https://www.cian.ru/rent/flat/307480227/,Москва,rent,flat,6,18,3,155.8,180000,0,Щукино, Расплетина,14,Октябрьское поле
48,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/305749822/,Москва,rent,flat,8,9,2,63.0,160000,0,Сокол,Волоколамское шоссе,1кБ,Сокол
49,Илья Емелин,realtor,https://www.cian.ru/rent/flat/307485635/,Москва,rent,flat,4,25,2,56.0,130000,0,Щукино, Берзарина,32к2.2,Щукинская
