,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 1187746,unknown,https://balashikha.cian.ru/rent/flat/307784312/,Москва,rent,flat,1,17,2,61.0,51000,0,, Саввинская,3,Ольгино
1,ИНГРУПП,real_estate_agent,https://balashikha.cian.ru/rent/flat/307783040/,Москва,rent,flat,5,5,2,45.0,38000,0,, Юлиуса Фучика,2к6,Ольгино
2,EMPIRE HOME,real_estate_agent,https://balashikha.cian.ru/rent/flat/307781865/,Москва,rent,flat,1,5,2,46.0,38000,0,, Смельчак,8,Ольгино
3,HONEST HOME,real_estate_agent,https://lyubertsy.cian.ru/rent/flat/307771748/,Москва,rent,flat,2,5,2,50.0,43000,0,д. Марусино, Заречная,33к2,
4,EMPIRE HOME,real_estate_agent,https://lyubertsy.cian.ru/rent/flat/307767387/,Москва,rent,flat,2,5,2,49.3,45000,0,д. Марусино, Заречная,33к2,
5,Инна Кезич,realtor,https://balashikha.cian.ru/rent/flat/307721107/,Москва,rent,flat,13,14,2,54.0,43000,0,, Лесные Поляны,5,Ольгино
6,ID 433801,unknown,https://balashikha.cian.ru/rent/flat/307717513/,Москва,rent,flat,6,18,2,41.0,40000,0,, Калинина,22,Ольгино
7,ID 17752250,unknown,https://balashikha.cian.ru/rent/flat/307712646/,Москва,rent,flat,6,17,2,57.0,47000,0,, Граничная,16,Ольгино
8,ID 324439,homeowner,https://balashikha.cian.ru/rent/flat/307682096/,Москва,rent,flat,21,22,2,60.0,50000,0,,проспект Героев,8,Ольгино
9,Надежда Мудрик,realtor,https://balashikha.cian.ru/rent/flat/307676780/,Москва,rent,flat,10,10,2,67.0,43000,0,, Адмирала Горшкова,11,Ольгино
10,ID 535615,realtor,https://balashikha.cian.ru/rent/flat/307661628/,Москва,rent,flat,1,5,2,45.0,42000,0,, Пионерская,16А,Ольгино
11,ID 98027866,homeowner,https://balashikha.cian.ru/rent/flat/307636079/,Москва,rent,flat,19,23,2,36.44,47000,0,, Бояринова,23,Ольгино
12,Самолет плюс Балашиха,real_estate_agent,https://balashikha.cian.ru/rent/flat/307592057/,Москва,rent,flat,17,17,2,48.0,50000,0,, Юбилейная,4к4,Ольгино
13,Наталия Щербакова,realtor,https://balashikha.cian.ru/rent/flat/307587750/,Москва,rent,flat,10,10,2,60.0,48000,0,, Советская,18,Ольгино
14,ID 2753,real_estate_agent,https://balashikha.cian.ru/rent/flat/307585000/,Москва,rent,flat,5,14,2,52.0,35000,0,,,5,Ольгино
15,Елена Голубева,realtor,https://balashikha.cian.ru/rent/flat/307576475/,Москва,rent,flat,12,18,2,45.0,45000,0,, Безымянная,4,Ольгино
16,Yuliya Chekashkina,realtor,https://staraya-kupavna.cian.ru/rent/flat/307524036/,Москва,rent,flat,4,18,2,45.0,43000,0,, Трудовая,19А,Ольгино
17,ID 113339916,homeowner,https://balashikha.cian.ru/rent/flat/307484191/,Москва,rent,flat,5,18,2,45.0,70000,0,,бульвар Спасский,3,Ольгино
18,Ян Онуфриенко,realtor,https://elektrougli.cian.ru/rent/flat/307321225/,Москва,rent,flat,1,5,2,48.0,35000,0,, Школьная,45А,Ольгино
19,ID 91539773,homeowner,https://staraya-kupavna.cian.ru/rent/flat/307301966/,Москва,rent,flat,4,17,2,45.0,43000,0,, Трудовая,19А,Ольгино
20,Людмила Красовская,realtor,https://balashikha.cian.ru/rent/flat/307248957/,Москва,rent,flat,2,9,2,48.0,35000,0,, Пионерская,1,Ольгино
21,НейроДВИЖимость,real_estate_agent,https://balashikha.cian.ru/rent/flat/306697935/,Москва,rent,flat,3,13,2,57.0,45000,0,, Корнилаева,5,Ольгино
22,ВАШ ДОМ,real_estate_agent,https://balashikha.cian.ru/rent/flat/306656416/,Москва,rent,flat,2,9,2,65.0,41000,0,, Адмирала Нахимова,16,Ольгино
23,МИЭЛЬ,real_estate_agent,https://elektrougli.cian.ru/rent/flat/306604291/,Москва,rent,flat,8,12,2,54.0,29000,0,, Школьная,55,Ольгино
24,ГОРОБМЕН,real_estate_agent,https://balashikha.cian.ru/rent/flat/306572585/,Москва,rent,flat,21,22,2,57.8,48000,0,,шоссе Косинское,2,Ольгино
25,ID 115161307,homeowner,https://balashikha.cian.ru/rent/flat/300580359/,Москва,rent,flat,13,21,2,34.0,50000,0,,проспект Героев,19,Ольгино
26,ID 59049978,unknown,https://balashikha.cian.ru/rent/flat/300291054/,Москва,rent,flat,17,17,2,60.0,50000,0,, Струве,3к1,Ольгино
27,Docof Сделки с Недвижимостью,real_estate_agent,https://staraya-kupavna.cian.ru/rent/flat/299875555/,Москва,rent,flat,1,4,2,42.9,30000,0,, Ленина,48,Ольгино
