,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 122206437,homeowner,https://www.cian.ru/rent/flat/307770226/,Москва,rent,flat,6,14,2,55.9,70000,0,, Мостовая,5к2,Ольховая
1,ID 12543708,homeowner,https://www.cian.ru/rent/flat/307752469/,Москва,rent,flat,6,15,2,22.0,60000,0,, Василия Ощепкова,2,Ольховая
2,Павел Кошпаров,realtor,https://www.cian.ru/rent/flat/307746117/,Москва,rent,flat,1,3,2,43.0,40000,0,, Андерсена,14к1,Ольховая
3,ID 8546,real_estate_agent,https://www.cian.ru/rent/flat/307742392/,Москва,rent,flat,4,17,2,60.0,50000,0,, 5-я Нововатутинская,9,Ольховая
4,ХИТ-ЭСТЭЙТ-К,real_estate_agent,https://www.cian.ru/rent/flat/307730105/,Москва,rent,flat,2,10,2,58.4,55000,0,, Мостовая,5к1,Ольховая
5,Денис Лощилин,realtor,https://www.cian.ru/rent/flat/307714051/,Москва,rent,flat,15,20,2,48.0,65000,0,, Бачуринская,7к1,Ольховая
6,TIMES ESTATE,real_estate_agent,https://www.cian.ru/rent/flat/307702649/,Москва,rent,flat,6,14,2,48.4,95000,0,, Фитаревская,6,Ольховая
7,ID 118296,realtor,https://www.cian.ru/rent/flat/307678051/,Москва,rent,flat,10,14,2,52.0,85000,0,, Фитаревская,6,Ольховая
8,ID 295388,realtor,https://www.cian.ru/rent/flat/307632776/,Москва,rent,flat,1,14,2,42.0,60000,0,, Фитаревская,19к1,Ольховая
9,YU HOME,real_estate_agent,https://www.cian.ru/rent/flat/307632675/,Москва,rent,flat,4,14,2,60.0,60000,0,, Чароитовая,1к4,Ольховая
10,Анатолий Поляков,realtor,https://www.cian.ru/rent/flat/307616683/,Москва,rent,flat,4,16,2,53.0,55000,0,, Гренадерская,9к1,Ольховая
11,ID 57495378,unknown,https://www.cian.ru/rent/flat/307612286/,Москва,rent,flat,2,3,2,72.0,60000,0,, Нильса Бора,16,Ольховая
12,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307606934/,Москва,rent,flat,8,12,2,63.0,75000,0,, Василия Ощепкова,6,Ольховая
13,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307587782/,Москва,rent,flat,7,9,2,70.0,73000,0,, Сосенский Стан,3,Ольховая
14,MOTYLEK - департамент недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307580443/,Москва,rent,flat,5,5,2,54.0,55000,0,, 1-я Ватутинская,8к1,Ольховая
15,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307552193/,Москва,rent,flat,12,14,2,60.0,70000,0,, Гренадерская,9к2,Ольховая
16,ID 75640967,homeowner,https://www.cian.ru/rent/flat/307551406/,Москва,rent,flat,13,16,2,41.0,59000,0,, Липовый Парк,5к1,Ольховая
17,Екатерина Тарасенко,realtor,https://www.cian.ru/rent/flat/307531733/,Москва,rent,flat,12,12,2,42.0,80000,0,,проспект Магеллана,4,Ольховая
18,Паскаль,real_estate_agent,https://www.cian.ru/rent/flat/307523112/,Москва,rent,flat,7,9,2,70.0,65000,0,, Сосенский Стан,3,Ольховая
19,Владимир Сергиенко,realtor,https://www.cian.ru/rent/flat/307491004/,Москва,rent,flat,12,15,2,61.1,80000,0,, Василия Ощепкова,3,Ольховая
20,МИЭЛЬ,real_estate_agent,https://www.cian.ru/rent/flat/307398975/,Москва,rent,flat,9,10,2,50.0,70000,0,, Василия Ощепкова,2,Ольховая
21,ID 18820673,homeowner,https://www.cian.ru/rent/flat/307390063/,Москва,rent,flat,6,14,2,72.0,80000,0,,проспект Магеллана,4,Ольховая
22,Анна Рябова,realtor,https://www.cian.ru/rent/flat/307325807/,Москва,rent,flat,15,16,2,60.0,60000,0,,бульвар Сиреневый,11,Ольховая
23,ID 354303,realtor,https://www.cian.ru/rent/flat/307322386/,Москва,rent,flat,13,18,2,50.0,90000,0,, Бачуринская,13,Ольховая
24,Самолет плюс Троицк,real_estate_agent,https://www.cian.ru/rent/flat/307273441/,Москва,rent,flat,4,14,2,70.0,65000,0,, Александры Монаховой,5к2,Ольховая
25,ID 117751931,homeowner,https://www.cian.ru/rent/flat/307259595/,Москва,rent,flat,12,25,2,37.7,60000,0,, Бачуринская,7к2,Ольховая
26,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307139307/,Москва,rent,flat,9,15,2,40.0,80000,0,,проспект Магеллана,4,Ольховая
27,ID 89346248,homeowner,https://www.cian.ru/rent/flat/307069239/,Москва,rent,flat,9,10,2,40.0,80000,0,,проспект Магеллана,4,Ольховая
28,Изумрудный город,real_estate_agent,https://www.cian.ru/rent/flat/307042360/,Москва,rent,flat,9,19,2,66.0,65000,0,,,20,Ольховая
29,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306951828/,Москва,rent,flat,2,3,2,61.0,60000,0,,аллея Буковая,12,Ольховая
30,Наталья Журавлева,realtor,https://www.cian.ru/rent/flat/306946257/,Москва,rent,flat,11,17,2,66.2,68000,0,,,20А,Ольховая
31,PARTNER-ESTATE,real_estate_agent,https://www.cian.ru/rent/flat/306941811/,Москва,rent,flat,5,12,2,38.0,48000,0,, Яворки,1к5,Ольховая
32,Юлия Синор,realtor,https://www.cian.ru/rent/flat/306779774/,Москва,rent,flat,8,17,2,36.4,45000,0,, Яворки,1к6,Ольховая
33,ID 84172603,homeowner,https://www.cian.ru/rent/flat/306603650/,Москва,rent,flat,5,16,2,54.9,70000,0,, Гренадерская,9к2,Ольховая
34,Жанна Толпарова,realtor,https://www.cian.ru/rent/flat/306529729/,Москва,rent,flat,2,12,2,70.0,75000,0,, Лазурная,5,Ольховая
35,Rento.one,real_estate_agent,https://www.cian.ru/rent/flat/306368523/,Москва,rent,flat,4,19,2,42.0,90000,0,,проспект Прокшинский,9,Ольховая
36,ID 82886436,realtor,https://www.cian.ru/rent/flat/306311175/,Москва,rent,flat,9,12,2,52.0,50000,0,,,41,Ольховая
37,ID 110270463,homeowner,https://www.cian.ru/rent/flat/306279130/,Москва,rent,flat,2,3,2,85.0,70000,0,,,55,Ольховая
38,ID 408931,realtor,https://www.cian.ru/rent/flat/306258639/,Москва,rent,flat,12,17,2,66.0,75000,0,, Сосенский Стан,11,Ольховая
39,ID 61110,realtor,https://www.cian.ru/rent/flat/305199853/,Москва,rent,flat,10,16,2,43.0,56000,0,, Гренадерская,9к1,Ольховая
40,Павел Дудоладов,realtor,https://www.cian.ru/rent/flat/303551244/,Москва,rent,flat,8,17,2,66.0,70000,0,, Сосенский Стан,13,Ольховая
41,ID 114149269,homeowner,https://www.cian.ru/rent/flat/301645546/,Москва,rent,flat,12,17,2,50.0,75000,0,, Ясная,1,Ольховая
42,Иван Музалевский,realtor,https://www.cian.ru/rent/flat/299972346/,Москва,rent,flat,10,12,2,65.6,80000,0,, Сосенский Стан,5,Ольховая
43,ID 26856,realtor,https://www.cian.ru/rent/flat/291994783/,Москва,rent,flat,7,12,2,48.0,48000,0,, Центральная,30,Ольховая
44,Ринат Бекмуллин,realtor,https://www.cian.ru/rent/flat/291814078/,Москва,rent,flat,9,17,2,71.2,80000,0,,,20,Ольховая
45,ЛИДЕР,real_estate_agent,https://www.cian.ru/rent/flat/289166177/,Москва,rent,flat,5,14,2,60.0,50000,0,, Мостовая,5к1,Ольховая
46,Елизавета Кондрашова,realtor,https://www.cian.ru/rent/flat/287641970/,Москва,rent,flat,12,16,2,70.0,67000,0,, Липовый Парк,6к1,Ольховая
47,ID 12655750,homeowner,https://www.cian.ru/rent/flat/278424948/,Москва,rent,flat,9,16,2,56.0,70000,0,, Липовый Парк,5к1,Ольховая
48,Антон Осмелкин,realtor,https://www.cian.ru/rent/flat/274518468/,Москва,rent,flat,7,9,2,65.8,65000,0,, Сосенский Стан,3,Ольховая
49,Тимур Илалов,realtor,https://www.cian.ru/rent/flat/307595360/,Москва,rent,flat,6,17,1,30.0,50000,0,, Эдварда Грига,16к1,Потапово
50,DOORS AGENCY,real_estate_agent,https://www.cian.ru/rent/flat/307576851/,Москва,rent,flat,15,17,2,32.0,65000,0,,проспект Куприна,18к2,Потапово
51,Марина Белова,realtor,https://www.cian.ru/rent/flat/306402356/,Москва,rent,flat,9,9,2,36.0,50000,0,, Усадебный Парк,3,Филатов Луг
52,ID 287994,unknown,https://www.cian.ru/rent/flat/304543825/,Москва,rent,flat,3,3,1,42.0,45000,0,, Березовая,11к1,Филатов Луг
