,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Гайк Халатов,realtor,https://www.cian.ru/rent/flat/307743777/,Москва,rent,flat,3,16,3,75.0,90000,0,Орехово-Борисово Южное,Домодедовская ,27,Орехово
1,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307653858/,Москва,rent,flat,5,9,3,50.0,65000,0,Орехово-Борисово Северное,Ореховый бульвар,11К1,Орехово
2,ID 79149847,homeowner,https://vidnoye.cian.ru/rent/flat/307636878/,Москва,rent,flat,4,9,3,97.0,80000,0,,,,
3,My Hoyse,real_estate_agent,https://vidnoye.cian.ru/rent/flat/307605881/,Москва,rent,flat,10,17,3,115.0,80000,0,,,,
4,Владислав Сахнов,realtor,https://vidnoye.cian.ru/rent/flat/307415944/,Москва,rent,flat,10,17,3,65.0,55000,0,д. Мисайлово,шоссе Пригородное,14,
5,ID 82850,realtor,https://www.cian.ru/rent/flat/307378474/,Москва,rent,flat,4,17,3,75.0,70000,0,Орехово-Борисово Северное, Маршала Захарова,12К3,Орехово
6,Светлана Биличенко,realtor,https://www.cian.ru/rent/flat/307275545/,Москва,rent,flat,10,16,3,85.0,100000,0,Царицыно,Бакинская ,25,Орехово
7,МДН,real_estate_agent,https://www.cian.ru/rent/flat/307216149/,Москва,rent,flat,4,9,3,63.0,80000,0,Орехово-Борисово Южное,Ореховый бульвар,10К1,Орехово
8,EstateLiga,real_estate_agent,https://vidnoye.cian.ru/rent/flat/307095712/,Москва,rent,flat,16,17,3,52.0,45000,0,д. Мисайлово,шоссе Пригородное,6,
9,Владимир Филонов,realtor,https://www.cian.ru/rent/flat/306908360/,Москва,rent,flat,9,22,3,78.0,80000,0,Орехово-Борисово Северное,Борисовский проезд,1К1,Орехово
10,ID 47664046,unknown,https://www.cian.ru/rent/flat/306846191/,Москва,rent,flat,3,9,3,63.0,77000,0,Орехово-Борисово Северное,Домодедовская ,1К1,Орехово
11,Елена Винокурова,realtor,https://vidnoye.cian.ru/rent/flat/306840362/,Москва,rent,flat,2,17,3,52.7,65000,0,д. Коробово, Авиаторов,1,
12,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/305778930/,Москва,rent,flat,11,12,3,80.0,90000,0,Бирюлево Восточное,Лебедянская ,28К1,Орехово
13,Кристина Куликова,realtor,https://www.cian.ru/rent/flat/299747098/,Москва,rent,flat,9,17,3,78.0,100000,0,Орехово-Борисово Северное,Шипиловская ,22,Орехово
14,Кристина Куликова,realtor,https://www.cian.ru/rent/flat/296288442/,Москва,rent,flat,10,17,3,80.0,130000,0,Орехово-Борисово Северное, Маршала Захарова,10К2,Орехово
15,Любовь Королева,realtor,https://www.cian.ru/rent/flat/208920080/,Москва,rent,flat,8,9,3,60.0,75000,0,Орехово-Борисово Южное,Домодедовская ,44,Орехово
16,Сити Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307107899/,Москва,rent,flat,6,9,2,48.0,50000,0,Орехово-Борисово Южное,Ореховый бульвар,12К2,Орехово
17,ID 17267044,homeowner,https://www.cian.ru/rent/flat/232711796/,Москва,rent,flat,5,9,2,45.0,60000,0,Зябликово,Кустанайская ,6К3,Шипиловская
18,Мой Дом - отделение Добрынинское,real_estate_agent,https://www.cian.ru/rent/flat/307036146/,Москва,rent,flat,2,9,1,33.0,40000,0,Орехово-Борисово Северное,Борисовский проезд,36К2,Домодедовская
19,ID 74788133,homeowner,https://www.cian.ru/rent/flat/280504992/,Москва,rent,flat,5,9,3,65.0,75000,0,Теплый Стан,Профсоюзная ,156К3,Тёплый Стан
20,ID 76871139,homeowner,https://www.cian.ru/rent/flat/307264709/,Москва,rent,flat,10,17,3,77.0,85000,0,Марьино,Братиславская ,15К1,Братиславская
21,MDco,real_estate_agent,https://www.cian.ru/rent/flat/307429622/,Москва,rent,flat,1,9,3,76.0,65000,0,Зябликово,Шипиловская ,41К1,Шипиловская
22,МГСН,real_estate_agent,https://www.cian.ru/rent/flat/307385510/,Москва,rent,flat,13,17,1,38.1,48000,0,Зябликово, Мусы Джалиля,29К1,Красногвардейская
23,ID 12694494,realtor,https://www.cian.ru/rent/flat/307656754/,Москва,rent,flat,5,9,3,50.0,60000,0,Орехово-Борисово Северное, Генерала Белова,19К1,Домодедовская
24,ПАРТНЕР,real_estate_agent,https://www.cian.ru/rent/flat/307361159/,Москва,rent,flat,10,16,1,36.0,45000,0,Орехово-Борисово Южное,Елецкая ,20,Домодедовская
