,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Андрей Петренко,realtor,https://zhukovsky.cian.ru/rent/flat/280196887/,Москва,rent,flat,3,5,3,56.0,40000,0,, Жуковского,13,Отдых
1,Владис Новый Город,real_estate_agent,https://ramenskoye.cian.ru/rent/flat/307696178/,Москва,rent,flat,2,5,1,31.0,22000,0,Западный,Коммунистическая ,10,Есенинская
2,ID 231632,realtor,https://zhukovsky.cian.ru/rent/flat/307639525/,Москва,rent,flat,5,5,2,47.0,25000,0,, Гагарина,32к3,Отдых
3,ID 122122236,homeowner,https://ramenskoye.cian.ru/rent/flat/307679644/,Москва,rent,flat,3,5,2,45.0,30000,0,Центральный,Донинское шоссе,2,Раменское
4,ID 20304979,homeowner,https://ramenskoye.cian.ru/rent/flat/307549195/,Москва,rent,flat,1,17,1,41.5,30000,0,Центральный, Приборостроителей,14,Ипподром
5,ID 108356299,unknown,https://ramenskoye.cian.ru/rent/flat/307517297/,Москва,rent,flat,3,3,1,33.0,25000,0,Залинейный,Десантная ,10,Фабричная
6,Ирина Вьюговская,realtor,https://ramenskoye.cian.ru/rent/flat/307633939/,Москва,rent,flat,1,5,1,40.2,35000,0,Центральный,Красноармейская ,9,Раменское
7,ДОМУС,real_estate_agent,https://ramenskoye.cian.ru/rent/flat/307146063/,Москва,rent,flat,5,5,1,38.0,27000,0,Центральный, Гурьева,16,Раменское
8,Юрий Ким,realtor,https://lyubertsy.cian.ru/rent/flat/255573851/,Москва,rent,flat,3,3,2,42.6,30000,0,Малаховка рп, Интернациональная,17А,
9,ID 47343912,homeowner,https://ramenskoye.cian.ru/rent/flat/301739147/,Москва,rent,flat,4,12,2,50.0,55000,0,Ильинский рп, Чкалова,2,
10,ID 80978729,homeowner,https://zhukovsky.cian.ru/rent/flat/307642127/,Москва,rent,flat,16,26,1,39.0,40000,0,, Гагарина,62,Отдых
11,ID 30825,realtor,https://ramenskoye.cian.ru/rent/flat/307696429/,Москва,rent,flat,14,18,1,40.0,50000,0,Залинейный,Высоковольтная ,22,Фабричная
12,Анастасия Волкова,realtor,https://lyubertsy.cian.ru/rent/flat/307587653/,Москва,rent,flat,1,5,2,42.0,35000,0,Красково дп, Островского,2,
13,ID 11145,realtor,https://ramenskoye.cian.ru/rent/flat/307716930/,Москва,rent,flat,15,17,1,41.0,32000,0,д. Островцы, Летчика Волчкова,1,
14,ID 93835297,homeowner,https://zhukovsky.cian.ru/rent/flat/276406360/,Москва,rent,flat,6,25,1,38.0,44000,0,, Гагарина,62,Отдых
15,Кредит-Центр Недвижимость,real_estate_agent,https://ramenskoye.cian.ru/rent/flat/307571921/,Москва,rent,flat,17,22,2,60.0,40000,0,Залинейный,Десантная ,17,Фабричная
16,ID 73190932,unknown,https://lyubertsy.cian.ru/rent/flat/307631329/,Москва,rent,flat,2,2,3,73.0,40000,0,Малаховка рп, Сакко и Ванцетти,6,
17,Мария Орешкова,realtor,https://lyubertsy.cian.ru/rent/flat/307650505/,Москва,rent,flat,8,17,2,50.0,46000,0,Красково дп,проезд 2-й Осоавиахимовский,12,
18,ID 122177731,homeowner,https://ramenskoye.cian.ru/rent/flat/307728302/,Москва,rent,flat,11,15,1,39.6,34000,0,Северный, Молодежная,30,Ипподром
19,ID 104203951,homeowner,https://lyubertsy.cian.ru/rent/flat/307756702/,Москва,rent,flat,5,16,2,63.0,80000,0,Малаховка рп, Кирова,4,
20,ID 112930043,homeowner,https://zhukovsky.cian.ru/rent/flat/307745969/,Москва,rent,flat,10,19,2,60.6,65000,0,, Солнечная,15,Отдых
