,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307741124/,Москва,rent,flat,10,14,1,22.1,62900,0,Останкинский,Олонецкая ,6,Отрадное
1,ПАРТНЕР,real_estate_agent,https://www.cian.ru/rent/flat/307740903/,Москва,rent,flat,2,14,1,42.0,90000,0,Отрадное, Декабристов,10К2,Отрадное
2,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307739939/,Москва,rent,flat,3,14,1,42.0,90000,0,Отрадное, Декабристов,10К2,Отрадное
3,ID 13018144,unknown,https://www.cian.ru/rent/flat/307739812/,Москва,rent,flat,13,17,1,40.0,70000,0,Отрадное,Отрадная ,12,Отрадное
4,Паскаль,real_estate_agent,https://www.cian.ru/rent/flat/307738515/,Москва,rent,flat,3,12,1,39.0,60000,0,Южное Медведково,Заповедная ,4,Отрадное
5,Ольга Иванова,realtor,https://www.cian.ru/rent/flat/307729150/,Москва,rent,flat,7,12,1,39.0,45000,0,Отрадное,Березовая аллея,7,Отрадное
6,BDC,real_estate_agent,https://www.cian.ru/rent/flat/307727244/,Москва,rent,flat,3,12,1,40.0,60000,0,Южное Медведково,Заповедная ,4,Отрадное
7,AURELIA,real_estate_agent,https://www.cian.ru/rent/flat/307722317/,Москва,rent,flat,20,22,1,44.0,75000,0,Отрадное, Римского-Корсакова,11к5,Отрадное
8,Татьяна Кузьмина,realtor,https://www.cian.ru/rent/flat/307675618/,Москва,rent,flat,15,22,1,36.0,85000,0,Останкинский,Олонецкая ,6,Отрадное
9,Дмитрий Егоров,realtor,https://www.cian.ru/rent/flat/307662678/,Москва,rent,flat,16,17,1,36.7,65000,0,Отрадное,Юрловский проезд,14к2,Отрадное
10,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307661697/,Москва,rent,flat,4,18,1,27.0,75000,0,Останкинский,Березовая аллея,19к4,Отрадное
11,ID 12242829,realtor,https://www.cian.ru/rent/flat/307655845/,Москва,rent,flat,14,17,1,38.1,50000,0,Отрадное,Каргопольская ,6,Отрадное
12,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307635007/,Москва,rent,flat,2,14,1,42.0,50000,0,Отрадное,Алтуфьевское шоссе,40Г,Отрадное
13,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/307615765/,Москва,rent,flat,1,9,1,37.0,60000,0,Отрадное, Бестужевых,27А,Отрадное
14,Паскаль,real_estate_agent,https://www.cian.ru/rent/flat/307614387/,Москва,rent,flat,11,18,1,40.0,80000,0,Останкинский,Сельскохозяйственная ,37,Отрадное
15,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307552196/,Москва,rent,flat,5,24,1,37.1,84800,0,Останкинский,Сельскохозяйственная ,39,Отрадное
16,МИЭЛЬ,real_estate_agent,https://www.cian.ru/rent/flat/307531715/,Москва,rent,flat,1,9,1,26.0,58000,0,Отрадное, Бестужевых,12Г,Отрадное
17,ID 10774,realtor,https://www.cian.ru/rent/flat/307521452/,Москва,rent,flat,9,17,1,38.0,65000,0,Отрадное,Каргопольская ,11К1,Отрадное
18,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307476864/,Москва,rent,flat,12,12,1,39.0,65000,0,Отрадное,Алтуфьевское шоссе,34А,Отрадное
19,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307386631/,Москва,rent,flat,5,22,1,22.9,65000,0,Останкинский,Олонецкая ,6,Отрадное
20,Д.А. ВИНЧИ,real_estate_agent,https://www.cian.ru/rent/flat/307350583/,Москва,rent,flat,4,12,1,46.0,55000,0,Отрадное,Олонецкая ,15Б,Отрадное
21,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307250040/,Москва,rent,flat,2,14,1,38.0,77900,0,Останкинский,Сельскохозяйственная ,39,Отрадное
22,ID 62263892,unknown,https://www.cian.ru/rent/flat/307247783/,Москва,rent,flat,4,25,1,40.0,65000,0,Отрадное,Высоковольтный проезд,1к7,Отрадное
23,Life Style,real_estate_agent,https://www.cian.ru/rent/flat/307194546/,Москва,rent,flat,12,12,1,43.0,65000,0,Отрадное,Алтуфьевское шоссе,28А,Отрадное
24,ID 53500407,unknown,https://www.cian.ru/rent/flat/307093257/,Москва,rent,flat,5,9,1,35.3,60000,0,Отрадное, Декабристов,36Б,Отрадное
25,Мистраль,real_estate_agent,https://www.cian.ru/rent/flat/306547956/,Москва,rent,flat,3,12,1,38.9,48000,0,Отрадное,Олонецкая ,15Б,Отрадное
26,ID 20866121,homeowner,https://www.cian.ru/rent/flat/303492865/,Москва,rent,flat,10,14,1,38.0,80000,0,Останкинский,Олонецкая ,6,Отрадное
27,Виталий Юдин,realtor,https://www.cian.ru/rent/flat/283928947/,Москва,rent,flat,14,17,1,37.0,45000,0,Отрадное, Декабристов,10К1,Отрадное
28,Юлия Смышляева,realtor,https://www.cian.ru/rent/flat/261673141/,Москва,rent,flat,11,18,1,38.0,55000,0,Северное Медведково,проезд Шокальского,33,Отрадное
29,ID 93921447,unknown,https://www.cian.ru/rent/flat/307658988/,Москва,rent,flat,4,5,1,32.0,50000,0,Академический, Шверника,6К1,Академическая
30,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307653848/,Москва,rent,flat,15,17,1,40.0,39000,0,Южное Медведково, Молодцова,23К2,Медведково
31,MARNIS-GROUP,real_estate_agent,https://www.cian.ru/rent/flat/290909514/,Москва,rent,flat,6,9,1,32.0,42000,0,Свиблово,проезд Русанова,35,Свиблово
32,ID 13505910,homeowner,https://www.cian.ru/rent/flat/304649780/,Москва,rent,flat,7,9,1,33.0,50000,0,Ясенево,Голубинская ,25К2,Ясенево
33,Виктория Шмакова,realtor,https://www.cian.ru/rent/flat/307605586/,Москва,rent,flat,7,9,1,33.0,58000,0,Черемушки, Архитектора Власова,19К4,Новые Черёмушки
34,Азбука Жилья Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307584262/,Москва,rent,flat,6,12,2,38.0,65000,0,Алексеевский,Новоалексеевская ,4К2,Алексеевская
35,ID 122045706,homeowner,https://www.cian.ru/rent/flat/307612045/,Москва,rent,flat,2,14,1,38.9,50000,0,Ярославский,Палехская ,21,Медведково
36,ID 22699,realtor,https://www.cian.ru/rent/flat/271799247/,Москва,rent,flat,2,5,1,31.0,57000,0,Котловка,Нагорная ,38К2,Нахимовский проспект
37,Тимур Илалов,realtor,https://www.cian.ru/rent/flat/307595360/,Москва,rent,flat,6,17,1,30.0,50000,0,, Эдварда Грига,16к1,Потапово
38,Антон Осмелкин,realtor,https://www.cian.ru/rent/flat/307553502/,Москва,rent,flat,2,14,1,42.4,45000,0,Гольяново,Байкальская ,23,Щёлковская
39,ID 86398099,unknown,https://www.cian.ru/rent/flat/307647005/,Москва,rent,flat,1,16,1,38.0,40000,0,Бабушкинский, Чичерина,8К1,Бабушкинская
40,CRE,real_estate_agent,https://www.cian.ru/rent/flat/269112246/,Москва,rent,flat,8,17,1,39.0,40000,0,Северное Медведково,Студеный проезд,2К1,Медведково
41,ID 36464867,homeowner,https://www.cian.ru/rent/flat/306696784/,Москва,rent,flat,10,17,1,38.5,55000,0,Бескудниковский,Бескудниковский бульвар,6К3,Верхние Лихоборы
42,ID 5080,realtor,https://www.cian.ru/rent/flat/288927113/,Москва,rent,flat,5,12,1,37.0,50000,0,Западное Дегунино, Ивана Сусанина,4К4,Моссельмаш
43,СТОЛИЦА. Москва и МО,real_estate_agent,https://www.cian.ru/rent/flat/307486388/,Москва,rent,flat,5,14,2,52.0,50000,0,Ярославский,Хибинский проезд,30К2,Свиблово
44,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307670503/,Москва,rent,flat,11,14,1,35.0,45000,0,Гольяново,Уральская ,6К8,Щёлковская
45,RealtyMSK офис-ЦАО,real_estate_agent,https://www.cian.ru/rent/flat/243491784/,Москва,rent,flat,1,12,2,48.0,55000,0,Северное Медведково,Полярная ,42,Медведково
46,ГОРОБМЕН,real_estate_agent,https://www.cian.ru/rent/flat/307628383/,Москва,rent,flat,5,5,1,30.0,43000,0,Алексеевский, Константинова,12,ВДНХ
47,ID 864,realtor,https://www.cian.ru/rent/flat/241759044/,Москва,rent,flat,5,12,1,39.0,40000,0,Лианозово,Новгородская ,34,Алтуфьево
48,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307632938/,Москва,rent,flat,13,17,2,32.0,55000,0,, Александры Монаховой,85к1,Потапово
49,МГН-495,real_estate_agent,https://www.cian.ru/rent/flat/307649731/,Москва,rent,flat,3,16,1,38.0,60000,0,Бутырский, Яблочкова,43А,Петровско-Разумовская
50,ОХОТНЫЙ РЯД офис Тверская,real_estate_agent,https://www.cian.ru/rent/flat/307573511/,Москва,rent,flat,9,9,1,32.0,45000,0,Свиблово, Седова,4К2,Свиблово
51,Александр Александров,realtor,https://www.cian.ru/rent/flat/307596361/,Москва,rent,flat,6,19,1,40.0,55000,0,Южное Медведково,проезд Дежнева,26,Свиблово
