,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 12463149,realtor,https://www.cian.ru/rent/flat/307780391/,Москва,rent,flat,8,12,2,45.0,65000,0,Очаково-Матвеевское,Большая Очаковская ,47,Очаково
1,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307779281/,Москва,rent,flat,9,31,2,40.0,70000,0,Очаково-Матвеевское, Малая Очаковская,4Ак2,Очаково
2,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307779169/,Москва,rent,flat,2,16,2,54.0,80000,0,Тропарево-Никулино,улица Мичуринский проспект Олимпийская деревня,22,Очаково
3,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307773230/,Москва,rent,flat,20,33,2,49.0,100000,0,Очаково-Матвеевское, Малая Очаковская,4Ак2,Очаково
4,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307759720/,Москва,rent,flat,5,21,2,42.0,120000,0,Очаково-Матвеевское,Очаковское шоссе,9А,Очаково
5,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307756646/,Москва,rent,flat,11,17,2,64.0,139999,0,Очаково-Матвеевское,Очаковское шоссе,5к1,Очаково
6,ID 121405426,homeowner,https://www.cian.ru/rent/flat/307756190/,Москва,rent,flat,4,33,2,43.5,105000,0,Очаково-Матвеевское,Очаковское шоссе,5к1.1,Очаково
7,ID 18951,real_estate_agent,https://www.cian.ru/rent/flat/307752574/,Москва,rent,flat,14,16,2,56.0,75000,0,Тропарево-Никулино,улица Мичуринский проспект Олимпийская деревня,14,Очаково
8,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307750421/,Москва,rent,flat,2,16,2,55.0,80000,0,Тропарево-Никулино,улица Мичуринский проспект Олимпийская деревня,22,Очаково
9,Нина Богданова,realtor,https://www.cian.ru/rent/flat/307747138/,Москва,rent,flat,9,31,2,36.0,75000,0,Очаково-Матвеевское, Малая Очаковская,4Ак2,Очаково
10,Паскаль,real_estate_agent,https://www.cian.ru/rent/flat/307740004/,Москва,rent,flat,26,33,2,40.0,85000,0,Очаково-Матвеевское, Малая Очаковская,4Ак2,Очаково
11,Паскаль,real_estate_agent,https://www.cian.ru/rent/flat/307736679/,Москва,rent,flat,16,34,2,32.0,69000,0,Очаково-Матвеевское, Малая Очаковская,4Ак2,Очаково
12,EuroDoma,real_estate_agent,https://www.cian.ru/rent/flat/307725026/,Москва,rent,flat,8,32,2,52.0,120000,0,Очаково-Матвеевское,Очаковское шоссе,5к1,Очаково
13,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307723897/,Москва,rent,flat,7,33,2,32.0,90000,0,Очаково-Матвеевское, Малая Очаковская,4Ак2,Очаково
14,Happiness in the house,real_estate_agent,https://www.cian.ru/rent/flat/307718140/,Москва,rent,flat,11,17,2,64.0,139999,0,Очаково-Матвеевское,Очаковское шоссе,5к1,Очаково
15,ID 84837476,homeowner,https://www.cian.ru/rent/flat/307711107/,Москва,rent,flat,5,33,2,36.4,100000,0,Очаково-Матвеевское, Малая Очаковская,4Ак2,Очаково
16,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307673363/,Москва,rent,flat,16,34,2,35.0,71000,0,Очаково-Матвеевское, Малая Очаковская,4Ак2,Очаково
17,GardenGoldRealty,real_estate_agent,https://www.cian.ru/rent/flat/307670243/,Москва,rent,flat,5,18,2,32.0,100000,0,Очаково-Матвеевское,Очаковское шоссе,5к1,Очаково
18,ЦРСН,real_estate_agent,https://www.cian.ru/rent/flat/307648752/,Москва,rent,flat,12,17,2,64.0,110000,0,Очаково-Матвеевское,Очаковское шоссе,5к1,Очаково
19,ID 122083980,homeowner,https://www.cian.ru/rent/flat/307637598/,Москва,rent,flat,8,32,2,52.0,120000,0,Очаково-Матвеевское,Очаковское шоссе,5к1,Очаково
20,ID 16787738,homeowner,https://www.cian.ru/rent/flat/307636904/,Москва,rent,flat,11,17,2,63.6,140000,0,Очаково-Матвеевское,Очаковское шоссе,5к1,Очаково
21,ID 6766492,realtor,https://www.cian.ru/rent/flat/307636020/,Москва,rent,flat,14,24,2,54.0,120000,0,Очаково-Матвеевское, Малая Очаковская,4Ак2,Очаково
22,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307625252/,Москва,rent,flat,26,33,2,40.0,90000,0,Очаково-Матвеевское, Малая Очаковская,4Ак2,Очаково
23,ID 119256697,homeowner,https://www.cian.ru/rent/flat/307614273/,Москва,rent,flat,32,33,2,32.0,120000,0,Очаково-Матвеевское,Очаковское шоссе,5к1,Очаково
24,ID 72773896,homeowner,https://www.cian.ru/rent/flat/307609511/,Москва,rent,flat,5,21,2,41.0,120000,0,Очаково-Матвеевское,Очаковское шоссе,9А,Очаково
25,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307605510/,Москва,rent,flat,20,22,2,60.0,90000,0,Очаково-Матвеевское,Большая Очаковская ,44,Очаково
26,Светлана Ларина,realtor,https://www.cian.ru/rent/flat/307567729/,Москва,rent,flat,33,33,2,50.0,110000,0,Очаково-Матвеевское, Малая Очаковская,4Ак2,Очаково
27,Тимур Ярыш,realtor,https://www.cian.ru/rent/flat/307559388/,Москва,rent,flat,8,22,2,39.2,120000,0,Очаково-Матвеевское,Очаковское шоссе,5к1,Очаково
