,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Юлия Колчеева,realtor,https://www.cian.ru/rent/flat/307748026/,Москва,rent,flat,15,24,1,63.0,90000,0,Сокол, Алабяна,13к1,Панфиловская
1,ID 44699056,unknown,https://www.cian.ru/rent/flat/307741293/,Москва,rent,flat,4,5,1,33.0,45000,0,Хорошево-Мневники,бульвар Генерала Карбышева,24К1,Панфиловская
2,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307721252/,Москва,rent,flat,1,9,1,11.0,45000,0,Сокол, Зорге,28,Панфиловская
3,ID 20604,real_estate_agent,https://www.cian.ru/rent/flat/307697652/,Москва,rent,flat,9,9,1,33.0,55000,0,Щукино, Расплетина,3К2,Панфиловская
4,SKY REALTY,real_estate_agent,https://www.cian.ru/rent/flat/307677332/,Москва,rent,flat,2,6,1,25.0,75000,0,Сокол,3-я Песчаная ,3,Панфиловская
5,Николай Истрашкин,realtor,https://www.cian.ru/rent/flat/307675728/,Москва,rent,flat,4,5,1,33.0,65000,0,Щукино, Максимова,10,Панфиловская
6,ID 16085679,realtor,https://www.cian.ru/rent/flat/307672899/,Москва,rent,flat,1,9,1,20.0,55000,0,Щукино, Расплетина,3К2,Панфиловская
7,Александр Митряев,realtor,https://www.cian.ru/rent/flat/307651914/,Москва,rent,flat,3,12,1,39.0,75000,0,Хорошевский, Острякова,9,Панфиловская
8,Оксана Гимишян,realtor,https://www.cian.ru/rent/flat/307611388/,Москва,rent,flat,8,25,1,40.0,85000,0,Щукино, Берзарина,32,Панфиловская
9,Елена Казиханова,realtor,https://www.cian.ru/rent/flat/307604345/,Москва,rent,flat,2,4,1,31.0,90000,0,Хорошевский, Куусинена,21,Панфиловская
10,Людмила Юрку,realtor,https://www.cian.ru/rent/flat/307562482/,Москва,rent,flat,5,9,1,36.0,60000,0,Сокол,Ленинградский проспект,77К1,Панфиловская
11,BDC,real_estate_agent,https://www.cian.ru/rent/flat/307555990/,Москва,rent,flat,13,25,1,41.0,89900,0,Щукино, Берзарина,32,Панфиловская
12,АНПЛАНЕТА,real_estate_agent,https://www.cian.ru/rent/flat/307508827/,Москва,rent,flat,6,25,1,35.0,80000,0,Щукино, Берзарина,32,Панфиловская
13,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307484892/,Москва,rent,flat,1,25,1,39.0,65000,0,Хорошево-Мневники, Берзарина,21,Панфиловская
14,Парус,real_estate_agent,https://www.cian.ru/rent/flat/307459021/,Москва,rent,flat,10,23,1,28.0,80000,0,Щукино, Берзарина,30Б,Панфиловская
15,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307446616/,Москва,rent,flat,6,8,1,35.0,80000,0,Сокол,Малый Песчаный переулок,2,Панфиловская
16,ID 12965146,unknown,https://www.cian.ru/rent/flat/307435463/,Москва,rent,flat,4,9,1,32.3,70000,0,Сокол,Песчаный переулок,14К4,Панфиловская
17,СМАРЕНТ,real_estate_agent,https://www.cian.ru/rent/flat/307412043/,Москва,rent,flat,13,25,1,41.0,89900,0,Щукино, Берзарина,32,Панфиловская
18,MaxRent Апрелевка,real_estate_agent,https://www.cian.ru/rent/flat/307410795/,Москва,rent,flat,15,20,1,40.0,65000,0,Хорошево-Мневники, Маршала Тухачевского,37/21,Панфиловская
19,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307362967/,Москва,rent,flat,10,23,1,28.0,80000,0,Щукино, Берзарина,30Б,Панфиловская
20,ID 105075932,homeowner,https://www.cian.ru/rent/flat/307277755/,Москва,rent,flat,12,20,1,40.4,85000,0,Хорошево-Мневники, Маршала Тухачевского,37/21,Панфиловская
21,ID 12431,realtor,https://www.cian.ru/rent/flat/306962637/,Москва,rent,flat,1,8,1,37.6,58000,0,Сокол,2-я Песчаная ,6к2,Панфиловская
22,ID 35837331,homeowner,https://www.cian.ru/rent/flat/306946919/,Москва,rent,flat,2,4,1,31.0,90000,0,Хорошевский, Куусинена,21,Панфиловская
23,ID 106985975,homeowner,https://www.cian.ru/rent/flat/306863750/,Москва,rent,flat,1,9,1,22.0,50000,0,Щукино, Расплетина,3К2,Панфиловская
24,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306510251/,Москва,rent,flat,6,20,1,44.0,150000,0,Хорошево-Мневники, Паршина,10,Панфиловская
25,ID 46367375,homeowner,https://www.cian.ru/rent/flat/305883396/,Москва,rent,flat,2,25,1,41.2,83000,0,Щукино, Берзарина,32,Панфиловская
26,ID 100200688,homeowner,https://www.cian.ru/rent/flat/305836573/,Москва,rent,flat,21,25,1,35.5,100000,0,Щукино, Берзарина,30Б,Панфиловская
27,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/305687174/,Москва,rent,flat,3,6,1,40.0,150000,0,Щукино, Берзарина,12,Панфиловская
