,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307723417/,Москва,rent,flat,4,12,2,50.0,170000,0,Дорогомилово,площадь Победы,2К1,Парк Победы
1,СТОЛИЦА Департамент недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307714174/,Москва,rent,flat,7,10,2,64.0,180000,0,Дорогомилово, 1812 года,2,Парк Победы
2,Century 21 Premium Property,real_estate_agent,https://www.cian.ru/rent/flat/307699460/,Москва,rent,flat,13,32,2,50.0,250000,0,Дорогомилово,Поклонная ,9,Парк Победы
3,Century 21 Premium Property,real_estate_agent,https://www.cian.ru/rent/flat/307682257/,Москва,rent,flat,14,32,2,50.0,250000,0,Дорогомилово,Поклонная ,9,Парк Победы
4,Stapler Estate,real_estate_agent,https://www.cian.ru/rent/flat/307671066/,Москва,rent,flat,13,34,2,52.0,300000,0,Дорогомилово,Поклонная ,9,Парк Победы
5,ID 52224614,unknown,https://www.cian.ru/rent/flat/307665019/,Москва,rent,flat,10,34,2,52.0,300000,0,Дорогомилово,Поклонная ,9,Парк Победы
6,Life Style,real_estate_agent,https://www.cian.ru/rent/flat/307654708/,Москва,rent,flat,3,9,2,43.0,80000,0,Дорогомилово,Поклонная ,12,Парк Победы
7,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307636544/,Москва,rent,flat,15,32,2,63.0,257000,0,Дорогомилово,Поклонная ,9,Парк Победы
8,Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/307612917/,Москва,rent,flat,7,20,2,55.0,300000,0,Дорогомилово,Поклонная ,9,Парк Победы
9,Олег Кочнев,realtor,https://www.cian.ru/rent/flat/307603245/,Москва,rent,flat,2,8,2,55.0,110000,0,Дорогомилово,площадь Победы,1кД,Парк Победы
10,ДОМ.РФ Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307587094/,Москва,rent,flat,24,28,2,61.0,161900,0,Филевский парк, Василисы Кожиной,13,Парк Победы
11,ID 99704473,realtor,https://www.cian.ru/rent/flat/307584139/,Москва,rent,flat,11,34,2,55.0,300000,0,Дорогомилово,Поклонная ,9,Парк Победы
12,Татьяна Россова,realtor,https://www.cian.ru/rent/flat/307554396/,Москва,rent,flat,18,32,2,53.0,269000,0,Дорогомилово,Поклонная ,9,Парк Победы
13,ID 21132,realtor,https://www.cian.ru/rent/flat/307553461/,Москва,rent,flat,16,22,2,70.0,150000,0,Филевский парк,2-я Филевская ,6,Парк Победы
14,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307549797/,Москва,rent,flat,8,9,2,40.0,92000,0,Филевский парк,Кастанаевская ,11,Парк Победы
15,Chase R.E.S.,real_estate_agent,https://www.cian.ru/rent/flat/307547997/,Москва,rent,flat,21,32,2,63.0,350000,0,Дорогомилово,Поклонная ,9,Парк Победы
16,Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/307545784/,Москва,rent,flat,16,42,2,72.0,170000,0,Филевский парк,Багратионовский проезд,5Ак1,Парк Победы
17,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307538909/,Москва,rent,flat,15,32,2,63.0,280000,0,Дорогомилово,Поклонная ,9,Парк Победы
18,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307526303/,Москва,rent,flat,11,34,2,55.0,300000,0,Дорогомилово,Поклонная ,9,Парк Победы
19,Moscow Estate,real_estate_agent,https://www.cian.ru/rent/flat/307434760/,Москва,rent,flat,11,34,2,55.0,300000,0,Дорогомилово,Поклонная ,9,Парк Победы
20,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307410814/,Москва,rent,flat,9,32,2,55.0,300000,0,Дорогомилово,Поклонная ,9,Парк Победы
21,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307407333/,Москва,rent,flat,11,32,2,55.0,300000,0,Дорогомилово,Поклонная ,9,Парк Победы
22,ID 121613929,homeowner,https://www.cian.ru/rent/flat/307402269/,Москва,rent,flat,9,34,2,55.0,300000,0,Дорогомилово,Поклонная ,9,Парк Победы
23,Delight Realty,real_estate_agent,https://www.cian.ru/rent/flat/307395300/,Москва,rent,flat,21,32,2,65.0,350000,0,Дорогомилово,Поклонная ,9,Парк Победы
24,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307391775/,Москва,rent,flat,9,34,2,55.0,300000,0,Дорогомилово,Поклонная ,9,Парк Победы
25,ID 43559537,homeowner,https://www.cian.ru/rent/flat/307391556/,Москва,rent,flat,11,34,2,55.0,300000,0,Дорогомилово,Поклонная ,9,Парк Победы
26,Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/307308150/,Москва,rent,flat,14,34,2,60.7,205000,0,Дорогомилово,Поклонная ,9,Парк Победы
27,ID 94509767,unknown,https://www.cian.ru/rent/flat/307247841/,Москва,rent,flat,15,32,2,51.0,295000,0,Дорогомилово,Поклонная ,9,Парк Победы
