,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Михаил Мальцев,realtor,https://krasnogorsk.cian.ru/rent/flat/307781833/,Москва,rent,flat,3,17,1,38.0,55000,0,,бульвар Ильинский,2,Пенягино
1,ID 33136713,homeowner,https://krasnogorsk.cian.ru/rent/flat/307760212/,Москва,rent,flat,7,29,1,30.0,60000,0,, Большая Воскресенская,1,Пенягино
2,ОХОТНЫЙ РЯД офис Тверская,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307755880/,Москва,rent,flat,9,14,1,45.0,60000,0,,Дачная ,11,Пенягино
3,ID 105927269,homeowner,https://krasnogorsk.cian.ru/rent/flat/307708321/,Москва,rent,flat,8,9,1,34.0,54000,0,пос. Ильинское-Усово, Заповедная,13,
4,Анжелика Николаевна Мерзликина,realtor,https://krasnogorsk.cian.ru/rent/flat/307706291/,Москва,rent,flat,3,17,1,42.0,49000,0,,бульвар Подмосковный,6,Пенягино
5,ID 82796878,homeowner,https://krasnogorsk.cian.ru/rent/flat/307705382/,Москва,rent,flat,19,22,1,49.3,70000,0,,бульвар Красногорский,17,Пенягино
6,ID 90471668,homeowner,https://krasnogorsk.cian.ru/rent/flat/307704043/,Москва,rent,flat,24,26,1,38.0,75000,0,,бульвар Красногорский,26,Пенягино
7,ПОЙМА24 РУ,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307693779/,Москва,rent,flat,3,3,1,15.0,31000,0,,бульвар Павшинский,41,Пенягино
8,ID 75909460,realtor,https://krasnogorsk.cian.ru/rent/flat/307688568/,Москва,rent,flat,28,46,1,38.1,65000,0,, Авангардная,4,Пенягино
9,ID 135892,realtor,https://krasnogorsk.cian.ru/rent/flat/307678658/,Москва,rent,flat,6,9,1,33.7,45000,0,пос. Ильинское-Усово, Заповедная,13,
10,ID 13352358,realtor,https://krasnogorsk.cian.ru/rent/flat/307678602/,Москва,rent,flat,9,16,1,43.0,60000,0,, Спасская,4,Пенягино
