,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 20000,realtor,https://www.cian.ru/rent/flat/307742819/,Москва,rent,flat,11,16,1,40.0,45000,0,Измайлово,7-я Парковая ,15К2,Первомайская
1,Паскаль,real_estate_agent,https://www.cian.ru/rent/flat/307736350/,Москва,rent,flat,5,14,1,35.0,80000,0,Измайлово,6-я Парковая ,13,Первомайская
2,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307725203/,Москва,rent,flat,5,14,1,35.0,80000,0,Измайлово,6-я Парковая ,13,Первомайская
3,Комфорт,real_estate_agent,https://www.cian.ru/rent/flat/307725124/,Москва,rent,flat,10,17,1,41.0,40000,0,Восточное Измайлово,Средняя Первомайская ,17,Первомайская
4,Татьяна Кучеровская,realtor,https://www.cian.ru/rent/flat/307724026/,Москва,rent,flat,9,20,1,39.5,55000,0,Северное Измайлово,5-я Парковая ,62Б,Первомайская
5,ID 84210886,homeowner,https://www.cian.ru/rent/flat/307721361/,Москва,rent,flat,5,16,1,34.0,70000,0,Ивановское, Чечулина,16,Первомайская
6,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307718373/,Москва,rent,flat,9,12,1,40.0,55000,0,Гольяново,Уральская ,1,Первомайская
7,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307711659/,Москва,rent,flat,7,9,1,32.0,55000,0,Северное Измайлово,3-я Парковая ,46К4,Первомайская
8,ПАРТНЕР,real_estate_agent,https://balashikha.cian.ru/rent/flat/307705218/,Москва,rent,flat,17,19,1,42.0,35000,0,, Дмитриева,12,Первомайская
9,МИРА,real_estate_agent,https://balashikha.cian.ru/rent/flat/307701015/,Москва,rent,flat,12,25,1,23.0,32000,0,, Яганова,5,Первомайская
10,ID 118839271,homeowner,https://balashikha.cian.ru/rent/flat/307700870/,Москва,rent,flat,18,21,1,35.0,45000,0,,,4К1,Первомайская
11,ID 120799603,realtor,https://balashikha.cian.ru/rent/flat/307696400/,Москва,rent,flat,16,17,1,42.3,40000,0,, Свердлова,46,Первомайская
12,ID 221229,realtor,https://www.cian.ru/rent/flat/307684427/,Москва,rent,flat,2,9,1,33.0,40000,0,Гольяново,Хабаровская ,22К2,Первомайская
13,Циан х ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307682812/,Москва,rent,flat,4,9,1,35.4,52600,0,Гольяново,Красноярская ,9,Первомайская
14,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307679360/,Москва,rent,flat,3,6,1,35.0,81000,0,Восточное Измайлово,Нижняя Первомайская ,64,Первомайская
15,Алексей Иваньков,realtor,https://www.cian.ru/rent/flat/307677819/,Москва,rent,flat,3,5,1,38.0,33000,0,,,,
16,ID 27796,realtor,https://www.cian.ru/rent/flat/307673943/,Москва,rent,flat,3,5,1,46.0,50000,0,Измайлово,Первомайская ,35/18,Первомайская
17,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307670503/,Москва,rent,flat,11,14,1,35.0,45000,0,Гольяново,Уральская ,6К8,Первомайская
18,Ирина Вьюговская,realtor,https://www.cian.ru/rent/flat/307661875/,Москва,rent,flat,10,16,1,38.0,40000,0,Гольяново,Уссурийская ,1К5,Первомайская
