,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,BARSANDKEY,real_estate_agent,https://www.cian.ru/rent/flat/307820138/,Москва,rent,flat,14,22,3,78.0,75000,0,Ново-Переделкино, Скульптора Мухиной,2,Переделкино
1,Любовь Петренко,realtor,https://www.cian.ru/rent/flat/307480964/,Москва,rent,flat,16,25,3,80.0,85000,0,Ново-Переделкино,Лукинская ,10,Переделкино
2,ID 24414112,homeowner,https://www.cian.ru/rent/flat/307449505/,Москва,rent,flat,19,24,3,80.0,210000,0,Ново-Переделкино,Чоботовская ,2к1,Переделкино
3,ID 13403800,unknown,https://www.cian.ru/rent/flat/307346878/,Москва,rent,flat,7,17,3,75.0,90000,0,Ново-Переделкино,Лукинская ,8,Переделкино
4,ID 46989435,realtor,https://www.cian.ru/rent/flat/307687938/,Москва,rent,flat,4,22,2,78.0,55000,0,Солнцево,Производственная ,4к2,Солнцево
5,ID 17030796,realtor,https://www.cian.ru/rent/flat/307724913/,Москва,rent,flat,16,22,2,62.8,62000,0,, Анны Ахматовой,22,Рассказовка
6,ID 92569743,homeowner,https://www.cian.ru/rent/flat/307585469/,Москва,rent,flat,6,13,2,60.0,65000,0,, Летчика Грицевца,,Пыхтино
7,ЛендЛар,real_estate_agent,https://www.cian.ru/rent/flat/307686342/,Москва,rent,flat,6,9,3,86.0,100000,0,,бульвар Андрея Тарковского,,Рассказовка
8,ID 10481092,realtor,https://www.cian.ru/rent/flat/270887111/,Москва,rent,flat,12,17,1,32.0,55000,0,Ново-Переделкино,Чоботовская ,2к1,Переделкино
9,ID 15391555,unknown,https://www.cian.ru/rent/flat/306903913/,Москва,rent,flat,10,25,2,75.0,100000,0,Проспект Вернадского, Удальцова,46,Мичуринский проспект
10,Марина Пескова,realtor,https://www.cian.ru/rent/flat/307500038/,Москва,rent,flat,5,17,1,40.0,44000,0,Ново-Переделкино,Боровское шоссе,30,Новопеределкино
11,Андрей Кривец,realtor,https://www.cian.ru/rent/flat/307432924/,Москва,rent,flat,17,17,3,75.8,80000,0,Ново-Переделкино,Лукинская ,7,Переделкино
12,ID 12578403,homeowner,https://www.cian.ru/rent/flat/307397391/,Москва,rent,flat,1,15,2,51.0,70000,0,, Татьянин Парк,14к1,Говорово
13,ID 116849936,homeowner,https://www.cian.ru/rent/flat/306106985/,Москва,rent,flat,3,31,3,100.0,40000,0,Можайский, Петра Алексеева,14,Давыдково
14,Самолет Плюс,real_estate_agent,https://www.cian.ru/rent/flat/279246528/,Москва,rent,flat,8,25,3,78.0,85000,0,, Авиаконструктора Петлякова,27,Пыхтино
15,Руслан Горовиков,realtor,https://www.cian.ru/rent/flat/307409799/,Москва,rent,flat,11,17,3,81.0,80000,0,Солнцево, Богданова,14К1,Солнцево
16,ID 89604410,realtor,https://www.cian.ru/rent/flat/307632932/,Москва,rent,flat,6,19,2,64.0,80000,0,, Бориса Пастернака,29к1,Рассказовка
17,Олег Шестаков,realtor,https://www.cian.ru/rent/flat/294494955/,Москва,rent,flat,8,11,2,47.0,75000,0,,бульвар Андрея Тарковского,9,Рассказовка
18,ID 16254,realtor,https://www.cian.ru/rent/flat/307413721/,Москва,rent,flat,17,17,3,78.0,120000,0,Теплый Стан,Ленинский проспект,127,Тропарёво
19,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307703126/,Москва,rent,flat,8,16,3,75.0,94999,0,Тропарево-Никулино,улица Мичуринский проспект Олимпийская деревня,14,Озёрная
20,Ирина Беленькая,realtor,https://www.cian.ru/rent/flat/307079959/,Москва,rent,flat,10,17,3,73.3,90000,0,Тропарево-Никулино,Никулинская ,15К2,Озёрная
21,Инна Клименко,realtor,https://www.cian.ru/rent/flat/307649368/,Москва,rent,flat,16,17,2,60.0,75000,0,Ново-Переделкино,Новопеределкинская ,10К1,Переделкино
