,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307824734/,Москва,rent,flat,11,17,3,84.0,85000,0,Люблино,Люблинская ,76к2,Перерва
1,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307804802/,Москва,rent,flat,6,25,3,54.0,80000,0,Люблино,Люблинская ,76к2,Перерва
2,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307772711/,Москва,rent,flat,9,9,3,90.0,140000,0,Люблино,Цимлянская ,3к2,Перерва
3,Замоскворечье,real_estate_agent,https://www.cian.ru/rent/flat/307771100/,Москва,rent,flat,5,20,3,74.0,85000,0,Марьино,Новочеркасский бульвар,20К2,Перерва
4,Замоскворечье,real_estate_agent,https://www.cian.ru/rent/flat/307754365/,Москва,rent,flat,1,17,3,75.0,80000,0,Марьино, Перерва,31,Перерва
5,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307630912/,Москва,rent,flat,1,17,3,80.0,90000,0,Марьино, Перерва,31,Перерва
6,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307618546/,Москва,rent,flat,4,25,3,79.0,105000,0,Люблино,Люблинская ,80к5,Перерва
7,Виталий Куртов,realtor,https://www.cian.ru/rent/flat/307601008/,Москва,rent,flat,19,25,3,57.0,90000,0,Люблино,Люблинская ,78к3,Перерва
8,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307571007/,Москва,rent,flat,5,14,3,82.0,100000,0,Марьино,Новочеркасский бульвар,49,Перерва
9,Ольга Тормышова,realtor,https://www.cian.ru/rent/flat/307534372/,Москва,rent,flat,12,32,3,59.1,80000,0,Марьино,Донецкая ,30к1,Перерва
10,Самолет Плюс Москва,real_estate_agent,https://www.cian.ru/rent/flat/307432828/,Москва,rent,flat,3,9,3,62.0,90000,0,Марьино,Батайский проезд,27,Перерва
11,ID 327829,realtor,https://www.cian.ru/rent/flat/307304098/,Москва,rent,flat,5,14,3,82.0,100000,0,Марьино,Новочеркасский бульвар,49,Перерва
12,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307130086/,Москва,rent,flat,9,22,3,69.0,100000,0,Люблино,Люблинская ,78к3,Перерва
13,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306881538/,Москва,rent,flat,10,17,3,75.0,105000,0,Марьино, Перерва,33,Перерва
14,Людмила Иванова,realtor,https://www.cian.ru/rent/flat/306878689/,Москва,rent,flat,7,9,3,59.2,80000,0,Марьино,Новочеркасский бульвар,26,Перерва
15,Ярослав Бибиков,realtor,https://www.cian.ru/rent/flat/286082516/,Москва,rent,flat,8,22,3,70.0,80000,0,Марьино,Новочеркасский бульвар,5,Перерва
16,Игорь Лизун,realtor,https://www.cian.ru/rent/flat/283408688/,Москва,rent,flat,5,16,3,75.0,70000,0,Марьино, Маршала Голованова,14,Перерва
17,ID 1325,realtor,https://www.cian.ru/rent/flat/279806941/,Москва,rent,flat,19,25,3,56.0,85000,0,Люблино,Люблинская ,78к2,Перерва
18,Елена Стометова,realtor,https://www.cian.ru/rent/flat/307561705/,Москва,rent,flat,3,9,2,45.0,60000,0,Марьино,Новочеркасский бульвар,9,Перерва
19,Ренат Шейдаев,realtor,https://www.cian.ru/rent/flat/295041425/,Москва,rent,flat,2,8,4,106.0,100000,0,Ломоносовский, Марии Ульяновой,16,Проспект Вернадского
20,ID 395633,realtor,https://www.cian.ru/rent/flat/307725592/,Москва,rent,flat,14,17,2,50.0,80000,0,Марьино,Братиславская ,19К1,Братиславская
21,Владимир  Сафронов,realtor,https://www.cian.ru/rent/flat/307371964/,Москва,rent,flat,24,25,4,86.0,100000,0,Чертаново Южное,Варшавское шоссе,141к9,Аннино
22,MDco,real_estate_agent,https://www.cian.ru/rent/flat/307429622/,Москва,rent,flat,1,9,3,76.0,65000,0,Зябликово,Шипиловская ,41К1,Шипиловская
23,Магазин квартир,real_estate_agent,https://www.cian.ru/rent/flat/307561673/,Москва,rent,flat,12,12,2,50.0,60000,0,Люблино,Белореченская ,21,Люблино
24,ID 102748459,homeowner,https://www.cian.ru/rent/flat/295059770/,Москва,rent,flat,13,17,2,55.0,75000,0,Марьино,Люблинская ,118,Марьино
