,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Александр Фефелов,realtor,https://www.cian.ru/rent/flat/307707575/,Москва,rent,flat,11,12,1,35.3,50000,0,Перово, Аносова,3К1,Перово
1,ID 113405620,unknown,https://www.cian.ru/rent/flat/307641584/,Москва,rent,flat,1,5,1,26.0,48000,0,Перово, Лазо,8К2,Перово
2,ID 60305268,realtor,https://www.cian.ru/rent/flat/307515517/,Москва,rent,flat,5,12,1,39.0,42000,0,Новогиреево,Кусковская ,17К1,Перово
3,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307132768/,Москва,rent,flat,3,5,1,32.0,40000,0,Новогиреево,Кусковская ,25К1,Перово
4,Маргарита Рудакова,realtor,https://www.cian.ru/rent/flat/300227159/,Москва,rent,flat,7,16,1,40.0,85000,0,Перово, Плющева,17К1,Перово
5,Андрей Тавлинцев,realtor,https://www.cian.ru/rent/flat/292819266/,Москва,rent,flat,10,12,1,34.0,50000,0,Перово, Аносова,3К1,Перово
6,МИЭЛЬ,real_estate_agent,https://www.cian.ru/rent/flat/307653819/,Москва,rent,flat,3,5,1,30.0,45000,0,Кузьминки,Волгоградский проспект,147/5К1,Кузьминки
7,MARNIS-GROUP,real_estate_agent,https://www.cian.ru/rent/flat/290909514/,Москва,rent,flat,6,9,1,32.0,42000,0,Свиблово,проезд Русанова,35,Свиблово
8,Леонид Васильев,realtor,https://www.cian.ru/rent/flat/307662317/,Москва,rent,flat,3,14,1,38.0,40000,0,Марьино,Братиславская ,6К1,Братиславская
9,ID 88463561,realtor,https://www.cian.ru/rent/flat/307369755/,Москва,rent,flat,1,5,1,32.0,45000,0,Рязанский, Федора Полетаева,5К2,Окская
10,Антон Осмелкин,realtor,https://www.cian.ru/rent/flat/307553502/,Москва,rent,flat,2,14,1,42.4,45000,0,Гольяново,Байкальская ,23,Щёлковская
11,Елизавета Гибова,realtor,https://www.cian.ru/rent/flat/298669566/,Москва,rent,flat,5,9,2,45.0,45000,0,Богородское,Просторная ,11,Бульвар Рокоссовского
12,Диалог Риэлт,real_estate_agent,https://www.cian.ru/rent/flat/299429592/,Москва,rent,flat,17,21,1,37.0,40000,0,Некрасовка,Рождественская ,29,Некрасовка
13,ID 84553139,unknown,https://www.cian.ru/rent/flat/307149929/,Москва,rent,flat,3,5,1,32.0,41000,0,Рязанский,Яснополянская ,3К1,Окская
14,ID 79753856,homeowner,https://www.cian.ru/rent/flat/307452933/,Москва,rent,flat,3,5,1,31.0,40000,0,Богородское,Бойцовая ,10К9,Бульвар Рокоссовского
15,ЕГСН Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307489051/,Москва,rent,flat,4,9,1,35.0,40000,0,Кузьминки, Федора Полетаева,32К5,Кузьминки
16,Алена Семина,realtor,https://www.cian.ru/rent/flat/297873410/,Москва,rent,flat,1,5,2,42.0,50000,0,Восточное Измайлово,9-я Парковая ,4,Первомайская
17,i-deal,real_estate_agent,https://www.cian.ru/rent/flat/307636594/,Москва,rent,flat,4,12,2,45.0,54000,0,Новогиреево,Союзный проспект,9К2,Новогиреево
18,ID 118024453,homeowner,https://www.cian.ru/rent/flat/307640512/,Москва,rent,flat,2,16,2,54.0,43000,0,Ивановское,Малый Купавенский проезд,3,Новогиреево
19,Юлия Рубан,realtor,https://www.cian.ru/rent/flat/161853191/,Москва,rent,flat,3,5,1,36.0,43000,0,Нижегородский,Подъемная ,3,Калитники
20,Замоскворечье,real_estate_agent,https://www.cian.ru/rent/flat/307630611/,Москва,rent,flat,2,5,1,18.0,35000,0,Северное Измайлово,9-я Парковая ,66К1,Щёлковская
21,Гранд Сервис Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307591653/,Москва,rent,flat,5,9,1,32.0,38000,0,Северное Измайлово,Сиреневый бульвар,73К1,Щёлковская
22,Homeprice,real_estate_agent,https://www.cian.ru/rent/flat/289519111/,Москва,rent,flat,1,9,1,32.0,38000,0,Вешняки,Вешняковская ,6К5,Новогиреево
23,Эльмира Гуряева,realtor,https://www.cian.ru/rent/flat/304321348/,Москва,rent,flat,3,5,1,23.4,32000,0,Перово,Зеленый проспект,25К3,Перово
24,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307428761/,Москва,rent,flat,16,25,1,36.0,55000,0,Соколиная гора,Вольная ,28/4к1,Соколиная гора
