,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Элина  Мурадян,realtor,https://www.cian.ru/rent/flat/306459262/,Москва,rent,flat,5,36,1,28.0,110000,0,Беговой,Ленинградский проспект,34А,Петровский Парк
1,ID 75196384,unknown,https://www.cian.ru/rent/flat/306424323/,Москва,rent,flat,4,18,1,33.2,110000,0,Беговой,Ленинградский проспект,29к3,Петровский Парк
2,ID 79639282,homeowner,https://www.cian.ru/rent/flat/306346358/,Москва,rent,flat,7,36,1,28.5,130000,0,Беговой,Ленинградский проспект,34А,Петровский Парк
3,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306299915/,Москва,rent,flat,11,15,1,33.0,94950,0,Хорошевский,Ходынский бульвар,2,Петровский Парк
4,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/306283488/,Москва,rent,flat,5,40,1,40.1,165000,0,Хорошевский,Ленинградский проспект,37К5,Петровский Парк
5,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/306282783/,Москва,rent,flat,14,15,1,48.0,180000,0,Аэропорт,Ленинградский проспект,36с39,Петровский Парк
6,Денис Баблоян,realtor,https://www.cian.ru/rent/flat/303375753/,Москва,rent,flat,9,42,1,40.5,170000,0,Хорошевский,Ленинградский проспект,37/3,Петровский Парк
7,HOTEL GOOD,real_estate_agent,https://www.cian.ru/rent/flat/297643581/,Москва,rent,flat,2,5,1,32.0,77000,0,Савеловский,Петровско-Разумовский проезд,8,Петровский Парк
8,ID 1051,realtor,https://www.cian.ru/rent/flat/289133656/,Москва,rent,flat,6,6,1,41.0,70000,0,Аэропорт, Константина Симонова,8К1,Петровский Парк
9,Антон Хлопков,realtor,https://www.cian.ru/rent/flat/280735795/,Москва,rent,flat,2,5,1,38.0,70000,0,Савеловский, Мишина,28,Петровский Парк
10,Евгений Дворянов,realtor,https://www.cian.ru/rent/flat/273396500/,Москва,rent,flat,7,40,1,40.1,170000,0,Хорошевский,Ленинградский проспект,37/4,Петровский Парк
11,ID 3368638,homeowner,https://www.cian.ru/rent/flat/254963531/,Москва,rent,flat,12,18,1,43.0,140000,0,Беговой,Ленинградский проспект,29к1,Петровский Парк
12,ID 59539,realtor,https://www.cian.ru/rent/flat/240074630/,Москва,rent,flat,1,12,1,38.0,80000,0,Беговой,Беговой проезд,9,Петровский Парк
13,Tverskaya Street,real_estate_agent,https://www.cian.ru/rent/flat/233282809/,Москва,rent,flat,12,12,1,31.0,162000,0,Аэропорт,Ленинградский проспект,36с36,Петровский Парк
14,ID 11078369,realtor,https://www.cian.ru/rent/flat/228576417/,Москва,rent,flat,4,5,1,40.0,85000,0,Савеловский, Верхняя Масловка,6,Петровский Парк
15,ID 7288871,realtor,https://www.cian.ru/rent/flat/154692267/,Москва,rent,flat,11,12,1,36.0,60000,0,Беговой,Ленинградский проспект,33А,Петровский Парк
16,Александра Мирошниченко,realtor,https://www.cian.ru/rent/flat/305944367/,Москва,rent,flat,9,14,1,20.0,60000,0,Сокол,Балтийская ,15,Сокол
17,Моя Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/304860154/,Москва,rent,flat,7,8,1,34.0,67000,0,Хорошевский, Куусинена,17к1,Зорге
18,Вертикаль,real_estate_agent,https://www.cian.ru/rent/flat/307656261/,Москва,rent,flat,2,8,2,40.0,90000,0,Пресненский,Большой Кондратьевский переулок,6,Белорусская
19,Елена Кульпина,realtor,https://www.cian.ru/rent/flat/306856276/,Москва,rent,flat,7,17,1,40.0,75000,0,Хорошевский, Полины Осипенко,22К2,Полежаевская
20,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307590913/,Москва,rent,flat,7,9,1,41.0,65000,0,Хорошевский,Ленинградский проспект,43К1,Аэропорт
21,ID 13701623,realtor,https://www.cian.ru/rent/flat/197142033/,Москва,rent,flat,8,15,1,36.0,90000,0,Хорошевский,Ходынский бульвар,20А,ЦСКА
22,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/306082100/,Москва,rent,flat,10,22,2,34.0,96000,0,Хорошевский,1-я Магистральная ,25,Хорошёвская
23,ID 21526,realtor,https://www.cian.ru/rent/flat/289467468/,Москва,rent,flat,3,8,1,35.0,65000,0,Аэропорт, Усиевича,1,Аэропорт
24,АВИА-АПАРТ,real_estate_agent,https://www.cian.ru/rent/flat/288753502/,Москва,rent,flat,3,15,2,58.0,141900,0,Хорошевский,Ходынский бульвар,2,Петровский Парк
