,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307706361/,Москва,rent,flat,3,12,1,40.0,65000,0,Печатники,Шоссейная ,5,Печатники
1,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307686070/,Москва,rent,flat,12,17,1,46.0,55000,0,Печатники, Гурьянова,2К1,Печатники
2,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307651926/,Москва,rent,flat,3,7,1,20.0,55000,0,Печатники,Волгоградский проспект,45,Печатники
3,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306654650/,Москва,rent,flat,3,7,1,17.0,55000,0,Печатники,Волгоградский проспект,45,Печатники
4,ID 83840361,homeowner,https://www.cian.ru/rent/flat/292431460/,Москва,rent,flat,9,9,1,35.0,70000,0,Печатники, Полбина,12,Печатники
5,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307581343/,Москва,rent,flat,1,5,1,24.0,50000,0,Таганский, Талалихина,39,Волгоградский проспект
6,ЕГСН Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307489051/,Москва,rent,flat,4,9,1,35.0,40000,0,Кузьминки, Федора Полетаева,32К5,Кузьминки
7,ID 111202318,homeowner,https://www.cian.ru/rent/flat/307643098/,Москва,rent,flat,2,14,2,87.0,70000,0,Таганский,Сосинская ,6,Пролетарская
8,ID 36464867,homeowner,https://www.cian.ru/rent/flat/306696784/,Москва,rent,flat,10,17,1,38.5,55000,0,Бескудниковский,Бескудниковский бульвар,6К3,Верхние Лихоборы
9,Юлия Гуртина,realtor,https://www.cian.ru/rent/flat/296061852/,Москва,rent,flat,2,5,1,30.4,45000,0,Кузьминки, Юных Ленинцев,40К1,Кузьминки
10,ID 25800399,homeowner,https://www.cian.ru/rent/flat/205302830/,Москва,rent,flat,5,12,1,40.0,55000,0,Нагатинский затон,Нагатинская набережная,60К2,Коломенская
11,ID 55045676,unknown,https://www.cian.ru/rent/flat/307614424/,Москва,rent,flat,7,22,1,40.0,45000,0,Орехово-Борисово Северное,Борисовский проезд,16,Шипиловская
12,ID 17267044,homeowner,https://www.cian.ru/rent/flat/232711796/,Москва,rent,flat,5,9,2,45.0,60000,0,Зябликово,Кустанайская ,6К3,Шипиловская
13,Татьяна  Шарыгина,realtor,https://www.cian.ru/rent/flat/307600741/,Москва,rent,flat,2,9,1,31.0,60000,0,Нагатинский затон,Затонная ,7К1,Кленовый бульвар
14,Ирина Манукян,realtor,https://www.cian.ru/rent/flat/307604336/,Москва,rent,flat,3,9,1,33.0,45000,0,Нагатинский затон,Якорная ,9,Кленовый бульвар
15,ГОРОБМЕН,real_estate_agent,https://www.cian.ru/rent/flat/307415348/,Москва,rent,flat,5,9,1,30.0,45000,0,Марьино,Батайский проезд,9,Курьяново
16,Елизавета Романова,realtor,https://www.cian.ru/rent/flat/307633480/,Москва,rent,flat,1,6,1,14.7,45000,0,Вешняки,аллея Первой Маевки,15с3,Вешняки
17,Моя Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/266816134/,Москва,rent,flat,8,12,1,37.0,54000,0,Текстильщики,Волжский бульвар,20А,Текстильщики
18,ID 253390,realtor,https://www.cian.ru/rent/flat/307572210/,Москва,rent,flat,1,4,1,40.0,60000,0,Марьино,Люблинская ,161К1,Марьино
19,ID 52726,unknown,https://www.cian.ru/rent/flat/307649967/,Москва,rent,flat,15,17,1,39.0,45000,0,Рязанский,Мещерский переулок,6К2,Окская
20,Александр Гайдуков,realtor,https://www.cian.ru/rent/flat/307659205/,Москва,rent,flat,2,8,1,38.0,50000,0,Южнопортовый, Петра Романова,2,Дубровка
21,Мария Майорова,realtor,https://www.cian.ru/rent/flat/307234748/,Москва,rent,flat,5,12,1,35.0,50000,0,Текстильщики,Грайвороновская ,16К1,Текстильщики
22,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307657226/,Москва,rent,flat,4,9,1,30.0,64000,0,Нагатинский затон,проспект Андропова,33К2,Коломенская
23,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307633937/,Москва,rent,flat,2,12,1,40.0,60000,0,Орехово-Борисово Северное,Каширское шоссе,106,Домодедовская
24,На Петровке,real_estate_agent,https://www.cian.ru/rent/flat/307418535/,Москва,rent,flat,21,22,1,40.0,58000,0,Марьино,Мячковский бульвар,11,Братиславская
