,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Ирина Шакула,realtor,https://www.cian.ru/rent/flat/307739692/,Москва,rent,flat,1,9,3,70.0,145000,0,Гагаринский, Косыгина,13,Площадь Гагарина
1,ID 16329762,realtor,https://www.cian.ru/rent/flat/307657735/,Москва,rent,flat,2,9,3,70.0,175000,0,Гагаринский,Ленинский проспект,34/1,Площадь Гагарина
2,Юлия Паниотова,realtor,https://www.cian.ru/rent/flat/307629702/,Москва,rent,flat,5,16,3,82.0,110000,0,Академический,проспект 60-летия Октября,19,Площадь Гагарина
3,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307608199/,Москва,rent,flat,5,5,3,51.0,150000,0,Даниловский,Духовской переулок,20кА,Площадь Гагарина
4,Елена Иванова,realtor,https://www.cian.ru/rent/flat/307552748/,Москва,rent,flat,3,12,3,67.5,120000,0,Академический, Ивана Бабушкина,4К1,Площадь Гагарина
5,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307472861/,Москва,rent,flat,8,8,3,95.0,250000,0,Донской,Ленинский проспект,18,Площадь Гагарина
6,ID 76949128,unknown,https://www.cian.ru/rent/flat/307110348/,Москва,rent,flat,2,5,3,75.0,120000,0,Академический, Вавилова,43,Площадь Гагарина
7,Chase R.E.S.,real_estate_agent,https://www.cian.ru/rent/flat/306836584/,Москва,rent,flat,5,6,3,87.0,200000,0,Донской,Ленинский проспект,21,Площадь Гагарина
8,МЕЗОН,real_estate_agent,https://www.cian.ru/rent/flat/306338216/,Москва,rent,flat,3,6,3,120.0,270000,0,Гагаринский,Андреевская набережная,1К1,Площадь Гагарина
9,ID 39842791,homeowner,https://www.cian.ru/rent/flat/303127925/,Москва,rent,flat,5,6,3,263.8,448000,0,Гагаринский,Андреевская набережная,1К1,Площадь Гагарина
10,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/298265831/,Москва,rent,flat,2,8,3,66.0,80000,0,Гагаринский,Ленинский проспект,34/1,Площадь Гагарина
11,ID 20435,realtor,https://www.cian.ru/rent/flat/285884524/,Москва,rent,flat,3,9,3,72.0,185000,0,Гагаринский,Ленинский проспект,32,Площадь Гагарина
12,Светлана Кудрова,realtor,https://www.cian.ru/rent/flat/271647671/,Москва,rent,flat,3,8,3,70.0,110000,0,Академический, Вавилова,17,Площадь Гагарина
13,Проперти фо пипл,real_estate_agent,https://www.cian.ru/rent/flat/307430864/,Москва,rent,flat,4,10,4,96.0,110000,0,Даниловский,Люсиновская ,53,Серпуховская
14,ID 21239956,realtor,https://www.cian.ru/rent/flat/307570941/,Москва,rent,flat,20,41,4,100.0,100000,0,Раменки,1-й Сетуньский проезд,8,Кутузовская
15,Ренат Шейдаев,realtor,https://www.cian.ru/rent/flat/295041425/,Москва,rent,flat,2,8,4,106.0,100000,0,Ломоносовский, Марии Ульяновой,16,Проспект Вернадского
16,Классика,real_estate_agent,https://www.cian.ru/rent/flat/307497094/,Москва,rent,flat,1,8,2,53.0,90000,0,Гагаринский,Молодежная ,3,Университет
17,ID 322714,realtor,https://www.cian.ru/rent/flat/287399373/,Москва,rent,flat,10,14,2,75.0,100000,0,Черемушки, Гарибальди,36,Новые Черёмушки
18,Инна Соломонова,realtor,https://www.cian.ru/rent/flat/307398003/,Москва,rent,flat,5,8,3,84.0,99000,0,Хамовники, Хамовнический Вал,24,Спортивная
19,ID 270373,realtor,https://www.cian.ru/rent/flat/307577056/,Москва,rent,flat,3,7,2,54.0,85000,0,Гагаринский,Молодежная ,6,Университет
20,ID 101776928,homeowner,https://www.cian.ru/rent/flat/296048389/,Москва,rent,flat,4,9,2,50.0,90000,0,Гагаринский,Ленинский проспект,32,Площадь Гагарина
21,Анастасия Морозова,realtor,https://www.cian.ru/rent/flat/307610214/,Москва,rent,flat,6,8,4,100.0,150000,0,Хамовники,Комсомольский проспект,38/16,Фрунзенская
22,ID 15391555,unknown,https://www.cian.ru/rent/flat/306903913/,Москва,rent,flat,10,25,2,75.0,100000,0,Проспект Вернадского, Удальцова,46,Мичуринский проспект
23,Мой Дом - отделение Добрынинское,real_estate_agent,https://www.cian.ru/rent/flat/307401554/,Москва,rent,flat,3,5,3,74.0,85000,0,Хамовники, Усачева,29К8,Спортивная
24,ID 99241024,homeowner,https://www.cian.ru/rent/flat/297445018/,Москва,rent,flat,6,18,3,92.4,170000,0,Академический, Дмитрия Ульянова,6к1,Академическая
