,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Людмила Гордиенко,realtor,https://www.cian.ru/rent/flat/307726150/,Москва,rent,flat,5,14,3,0.0,180000,0,Мещанский,Протопоповский переулок,8,Площадь трёх вокзалов
1,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307590670/,Москва,rent,flat,15,16,3,55.0,120000,0,Мещанский,Большая Переяславская ,5К1,Площадь трёх вокзалов
2,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307302493/,Москва,rent,flat,14,19,3,90.0,290000,0,Красносельский,переулок Докучаев,2с3,Площадь трёх вокзалов
3,Premium Realty,real_estate_agent,https://www.cian.ru/rent/flat/306228538/,Москва,rent,flat,12,22,3,122.0,230000,0,Красносельский,Грохольский переулок,28,Площадь трёх вокзалов
4,Balmonte,real_estate_agent,https://www.cian.ru/rent/flat/293491795/,Москва,rent,flat,2,3,3,70.0,150000,0,Мещанский,Протопоповский переулок,20,Площадь трёх вокзалов
5,ID 15671900,homeowner,https://www.cian.ru/rent/flat/236686286/,Москва,rent,flat,6,22,3,119.0,250000,0,Красносельский,Грохольский переулок,28,Площадь трёх вокзалов
6,Александр Мызенков,realtor,https://www.cian.ru/rent/flat/228056179/,Москва,rent,flat,21,22,3,250.0,280000,0,Красносельский,Грохольский переулок,28,Площадь трёх вокзалов
7,Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307521524/,Москва,rent,flat,14,16,3,88.0,200000,0,Хамовники,Малый Власьевский переулок,3к1,Кропоткинская
8,Easy Estate,real_estate_agent,https://www.cian.ru/rent/flat/307387142/,Москва,rent,flat,4,5,3,150.0,200000,0,Хамовники,Лопухинский переулок,1АС2,Кропоткинская
9,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307494381/,Москва,rent,flat,3,12,4,163.0,230000,0,Пресненский,Большой Тишинский переулок,38С1,Улица 1905 года
10,ИП Исмаилов А. А.,real_estate_agent,https://www.cian.ru/rent/flat/307589179/,Москва,rent,flat,4,8,3,60.0,160000,0,Басманный,Потаповский переулок,9,Чистые пруды
11,Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307671202/,Москва,rent,flat,7,10,3,121.0,250000,0,Якиманка, Серафимовича,2,Боровицкая
12,ID 99623,homeowner,https://www.cian.ru/rent/flat/307592111/,Москва,rent,flat,2,7,3,120.0,150000,0,Тверской,Старопименовский переулок,14,Пушкинская
13,Елена Кобзон,realtor,https://www.cian.ru/rent/flat/307244199/,Москва,rent,flat,2,15,4,110.0,180000,0,Мещанский, Гиляровского,7,Сухаревская
14,ID 87484330,homeowner,https://www.cian.ru/rent/flat/293720088/,Москва,rent,flat,3,3,3,77.0,187000,0,Басманный, Покровка,14/2С1,Чистые пруды
15,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307344850/,Москва,rent,flat,3,3,3,62.0,143000,0,Мещанский,переулок Пушкарев,20/17,Сухаревская
16,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/304131642/,Москва,rent,flat,4,4,5,190.0,220000,0,Басманный,переулок Лялин,7/2С1,Курская
17,ID 12319223,unknown,https://www.cian.ru/rent/flat/307630873/,Москва,rent,flat,19,21,3,109.0,200000,0,Сокольники, Сокольнический Вал,3,Рижская
18,Алла Кривова,realtor,https://www.cian.ru/rent/flat/307476421/,Москва,rent,flat,7,9,3,78.0,200000,0,Пресненский,Малый Патриарший переулок,5С1,Маяковская
19,MosDomEstate,real_estate_agent,https://www.cian.ru/rent/flat/271401566/,Москва,rent,flat,3,5,2,62.0,150000,0,Басманный, Чаплыгина,15С5,Курская
20,Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307724438/,Москва,rent,flat,7,12,3,125.0,250000,0,Якиманка, Серафимовича,2,Боровицкая
21,ID 99704473,realtor,https://www.cian.ru/rent/flat/306122988/,Москва,rent,flat,6,8,2,94.8,160000,0,Тверской,Тверская ,4,Охотный ряд
22,ID 16276255,unknown,https://www.cian.ru/rent/flat/209990040/,Москва,rent,flat,3,4,3,80.0,188000,0,Басманный,Старосадский переулок,10С1,Китай-город
23,Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/307278457/,Москва,rent,flat,4,7,3,78.0,190000,0,Тверской,Старопименовский переулок,4С1,Маяковская
24,Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307649499/,Москва,rent,flat,4,8,3,109.0,300000,0,Басманный,Потаповский переулок,10,Чистые пруды
