,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,МИЭЛЬ,real_estate_agent,https://khimki.cian.ru/rent/flat/307720502/,Москва,rent,flat,7,9,1,34.2,38000,0,, Новозаводская,6,Подрезково
1,Надежда Владова,realtor,https://khimki.cian.ru/rent/flat/307717620/,Москва,rent,flat,8,19,1,38.0,45000,0,,переулок 2-й Чапаевский,10,Подрезково
2,Светлана Муравьева,realtor,https://www.cian.ru/rent/flat/307716524/,Москва,rent,flat,23,25,1,36.9,35000,0,Молжаниновский,Синявинская ,11к2,Подрезково
3,Яндекс Аренда,real_estate_agent,https://solnechnogorsk.cian.ru/rent/flat/307680414/,Москва,rent,flat,1,5,1,31.6,23500,0,,,,
4,ID 29595389,homeowner,https://khimki.cian.ru/rent/flat/307631351/,Москва,rent,flat,10,17,1,42.0,50000,0,,,9,Подрезково
5,ФЛЭТ Зеленоград,real_estate_agent,https://khimki.cian.ru/rent/flat/307381994/,Москва,rent,flat,17,17,1,39.0,42000,0,,Железнодорожная ,33к1,Подрезково
6,Александр Артамонов,realtor,https://khimki.cian.ru/rent/flat/305365768/,Москва,rent,flat,4,8,1,32.0,39000,0,,Овражная ,24к9,Подрезково
7,ID 75315066,homeowner,https://khimki.cian.ru/rent/flat/301708849/,Москва,rent,flat,10,18,1,36.9,45000,0,,Железнодорожная ,33к1,Подрезково
8,Валентина Алексеева,realtor,https://khimki.cian.ru/rent/flat/293836492/,Москва,rent,flat,6,9,1,30.2,45000,0,,Овражная ,24к12,Подрезково
9,Надежда Владова,realtor,https://khimki.cian.ru/rent/flat/158192581/,Москва,rent,flat,4,5,1,25.0,40000,0,, Мичурина,33,Подрезково
10,Егор Колмогоров,realtor,https://khimki.cian.ru/rent/flat/288261546/,Москва,rent,flat,5,5,1,30.0,45000,0,, Энгельса,16,Химки
11,Павел Черкашин,realtor,https://khimki.cian.ru/rent/flat/307627441/,Москва,rent,flat,3,9,2,45.0,48000,0,,Юбилейный проспект,40,Химки
12,ID 122026980,homeowner,https://khimki.cian.ru/rent/flat/307596093/,Москва,rent,flat,23,23,1,43.0,42000,0,, Горшина,6к2,Химки
13,Антон Садаев,realtor,https://khimki.cian.ru/rent/flat/207088119/,Москва,rent,flat,9,16,1,40.0,45000,0,,Юбилейный проспект,9/1,Химки
14,ID 90316750,homeowner,https://khimki.cian.ru/rent/flat/307659643/,Москва,rent,flat,6,25,1,42.0,47000,0,,Юбилейный проспект,66д,Химки
15,ID 289286,official_representative,https://khimki.cian.ru/rent/flat/307567461/,Москва,rent,flat,1,17,1,22.0,40000,0,,9 Мая ,4Ак2,Химки
16,МИЭЛЬ,real_estate_agent,https://khimki.cian.ru/rent/flat/307103520/,Москва,rent,flat,4,15,1,42.0,48000,0,, Академика Грушина,10,Химки
17,ID 434904,realtor,https://khimki.cian.ru/rent/flat/303313494/,Москва,rent,flat,7,21,1,24.0,44228,0,, Имени К.И. Вороницына,18к1,Химки
18,ДОМОФОН,real_estate_agent,https://khimki.cian.ru/rent/flat/307655491/,Москва,rent,flat,2,3,1,40.0,30000,0,,Горная ,25А,Сходня
19,Парус,real_estate_agent,https://khimki.cian.ru/rent/flat/307385182/,Москва,rent,flat,9,17,1,45.0,45000,0,, Ленина,33,Сходня
20,Дмитрий Левин,realtor,https://khimki.cian.ru/rent/flat/307631148/,Москва,rent,flat,14,25,1,40.0,40000,0,,Молодежная ,52,Молжаниново
21,Евгений Мартынов,realtor,https://khimki.cian.ru/rent/flat/307625332/,Москва,rent,flat,3,12,2,61.0,47000,0,, Жаринова,15,Подрезково
22,ID 119968385,homeowner,https://khimki.cian.ru/rent/flat/305533224/,Москва,rent,flat,3,26,1,37.0,49900,0,,Совхозная ,16к2,Левобережная
23,ID 13893490,realtor,https://khimki.cian.ru/rent/flat/299202583/,Москва,rent,flat,8,9,1,41.0,42000,0,, Кирова,26,Химки
24,ID 6431,realtor,https://khimki.cian.ru/rent/flat/303992554/,Москва,rent,flat,8,12,2,46.0,45000,0,,Парковая ,12,Молжаниново
