,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Марина Казакова,realtor,https://www.cian.ru/rent/flat/307725036/,Москва,rent,flat,4,5,1,35.0,40000,0,Хорошево-Мневники,проспект Маршала Жукова,25К1,Полежаевская
1,Парус,real_estate_agent,https://www.cian.ru/rent/flat/307717742/,Москва,rent,flat,5,62,1,33.0,125000,0,Хорошево-Мневники, Народного Ополчения,15К2,Полежаевская
2,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307715412/,Москва,rent,flat,21,21,1,43.0,130000,0,Хорошево-Мневники, Народного Ополчения,13,Полежаевская
3,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307712615/,Москва,rent,flat,16,25,1,40.0,115000,0,Хорошевский, Маргелова,3к4,Полежаевская
4,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307711658/,Москва,rent,flat,2,7,1,55.0,115000,0,Хорошевский,Ходынский бульвар,9,Полежаевская
5,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307708896/,Москва,rent,flat,3,4,1,40.0,78000,0,Хорошево-Мневники,проспект Маршала Жукова,12К2,Полежаевская
6,ID 173846,unknown,https://www.cian.ru/rent/flat/307707188/,Москва,rent,flat,1,5,1,30.0,60000,0,Хорошево-Мневники, Демьяна Бедного,3К6,Полежаевская
7,ГОРОБМЕН,real_estate_agent,https://www.cian.ru/rent/flat/307706252/,Москва,rent,flat,13,24,1,45.0,110000,0,Хорошевский,Хорошевское шоссе,25Ак3,Полежаевская
8,Рита Сулейманова,realtor,https://www.cian.ru/rent/flat/307704610/,Москва,rent,flat,2,25,1,42.0,100000,0,Хорошевский, Маргелова,3к3,Полежаевская
9,ID 20268,realtor,https://www.cian.ru/rent/flat/307669834/,Москва,rent,flat,20,25,1,38.0,95000,0,Хорошевский, Полины Осипенко,2к1,Полежаевская
10,Артем Косяков,realtor,https://www.cian.ru/rent/flat/307661071/,Москва,rent,flat,5,17,1,35.7,60000,0,Хорошевский, Полины Осипенко,18К2,Полежаевская
11,ID 415151,unknown,https://www.cian.ru/rent/flat/307656205/,Москва,rent,flat,4,8,1,40.2,60000,0,Хорошевский, Зорге,18К1,Полежаевская
12,ID 12721,realtor,https://www.cian.ru/rent/flat/307638452/,Москва,rent,flat,2,5,1,30.0,76000,0,Хорошевский,Хорошевское шоссе,70К3,Полежаевская
13,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307634985/,Москва,rent,flat,5,62,1,38.0,120000,0,Хорошево-Мневники, Народного Ополчения,15К2,Полежаевская
