,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,МГЦН - Многофункциональный Городской Центр Недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307722906/,Москва,rent,flat,5,9,2,44.9,55000,0,Чертаново Центральное,Днепропетровская ,5К2,Пражская
1,Марина Комарова,realtor,https://www.cian.ru/rent/flat/307706746/,Москва,rent,flat,11,16,2,59.0,70000,0,Чертаново Центральное,Варшавское шоссе,142К1,Пражская
2,ID 109801425,realtor,https://www.cian.ru/rent/flat/307695954/,Москва,rent,flat,10,12,2,52.4,70000,0,Чертаново Северное,Кировоградская ,4К1,Пражская
3,ID 82493089,unknown,https://www.cian.ru/rent/flat/307694210/,Москва,rent,flat,3,9,2,45.0,40000,0,Чертаново Центральное,Днепропетровская ,3К4,Пражская
4,ID 48019121,realtor,https://www.cian.ru/rent/flat/307685558/,Москва,rent,flat,8,14,2,52.3,75000,0,Чертаново Центральное,Чертановская ,45К1,Пражская
5,ID 313808,unknown,https://www.cian.ru/rent/flat/307681477/,Москва,rent,flat,4,12,2,45.0,54000,0,Бирюлево Западное,Медынская ,5К1,Пражская
6,ID 80171119,unknown,https://www.cian.ru/rent/flat/307655894/,Москва,rent,flat,20,22,2,62.0,75000,0,Чертаново Северное,Чертановская ,9К3,Пражская
7,ID 9231280,homeowner,https://www.cian.ru/rent/flat/307641331/,Москва,rent,flat,20,25,2,86.0,80000,0,Чертаново Центральное, Красного Маяка,22к3,Пражская
8,ID 74592860,homeowner,https://www.cian.ru/rent/flat/307639362/,Москва,rent,flat,2,16,2,52.0,65000,0,Бирюлево Восточное,Михневский проезд,10,Пражская
9,Алексей Павлюков,realtor,https://www.cian.ru/rent/flat/307625300/,Москва,rent,flat,4,12,2,45.8,60000,0,Чертаново Южное,3-й Дорожный проезд,7К2,Пражская
10,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307611087/,Москва,rent,flat,8,9,2,45.0,80000,0,Бирюлево Западное,Медынская ,14К1,Пражская
11,Кристина Жигулина,realtor,https://www.cian.ru/rent/flat/307607182/,Москва,rent,flat,5,50,2,60.0,70000,0,Бирюлево Восточное,Михневская ,8,Пражская
12,Виктория Зубкова,realtor,https://www.cian.ru/rent/flat/307604594/,Москва,rent,flat,10,16,2,55.8,70000,0,Чертаново Центральное,Кировоградская ,19К1,Пражская
13,RainbowEstate,real_estate_agent,https://www.cian.ru/rent/flat/307588134/,Москва,rent,flat,3,9,2,56.0,60000,0,Чертаново Центральное,Днепропетровская ,5К2,Пражская
14,Виктория Иванова,realtor,https://www.cian.ru/rent/flat/307556089/,Москва,rent,flat,9,14,2,40.0,45000,0,Бирюлево Восточное,Элеваторная ,6К1,Пражская
15,ID 24690,realtor,https://www.cian.ru/rent/flat/307541584/,Москва,rent,flat,6,9,2,45.0,48000,0,Бирюлево Восточное,Бирюлевская ,52К1,Пражская
16,ID 121944706,homeowner,https://www.cian.ru/rent/flat/307508989/,Москва,rent,flat,11,12,2,46.1,57000,0,Бирюлево Западное,Медынская ,5К2,Пражская
17,ID 70161865,unknown,https://www.cian.ru/rent/flat/307463607/,Москва,rent,flat,7,9,2,44.5,70000,0,Чертаново Центральное,Днепропетровская ,5К2,Пражская
18,ID 121890453,homeowner,https://www.cian.ru/rent/flat/307457757/,Москва,rent,flat,7,14,2,52.0,60000,0,Бирюлево Западное,Востряковский проезд,15К2,Пражская
19,ID 63321,realtor,https://www.cian.ru/rent/flat/307379475/,Москва,rent,flat,3,12,2,45.0,62000,0,Чертаново Южное,Кировоградская ,44К2,Пражская
