,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/307779311/,Москва,rent,flat,32,33,3,58.0,90000,0,Метрогородок,Открытое шоссе,18Ак4,Преображенская площадь
1,GardenGoldRealty,real_estate_agent,https://www.cian.ru/rent/flat/307762972/,Москва,rent,flat,6,9,3,58.7,80000,0,Богородское,бульвар Маршала Рокоссовского,42,Преображенская площадь
2,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307725449/,Москва,rent,flat,22,33,3,65.0,100000,0,Метрогородок,Открытое шоссе,18Ак3,Преображенская площадь
3,ID 52272549,realtor,https://www.cian.ru/rent/flat/307716208/,Москва,rent,flat,5,9,3,58.0,65000,0,Богородское,3-я Гражданская ,2,Преображенская площадь
4,ID 475159,realtor,https://www.cian.ru/rent/flat/307697244/,Москва,rent,flat,4,9,3,60.0,90000,0,Преображенское,Большая Черкизовская ,5К1,Преображенская площадь
5,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307676690/,Москва,rent,flat,6,9,3,59.0,80000,0,Богородское,бульвар Маршала Рокоссовского,42,Преображенская площадь
6,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307666681/,Москва,rent,flat,6,9,3,60.0,80000,0,Богородское,бульвар Маршала Рокоссовского,42,Преображенская площадь
7,Столичный Проспект,real_estate_agent,https://www.cian.ru/rent/flat/307664991/,Москва,rent,flat,3,14,3,60.0,70000,0,Богородское,3-я Гражданская ,3,Преображенская площадь
8,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307647262/,Москва,rent,flat,6,9,3,65.0,80000,0,Богородское,бульвар Маршала Рокоссовского,42,Преображенская площадь
9,Людмила Ракова,realtor,https://www.cian.ru/rent/flat/307630672/,Москва,rent,flat,9,9,3,60.0,85000,0,Богородское,Просторная ,5,Преображенская площадь
10,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307573663/,Москва,rent,flat,5,33,3,85.0,130000,0,Метрогородок,Открытое шоссе,18Ак1,Преображенская площадь
11,Alfa Forum Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307552102/,Москва,rent,flat,16,23,3,90.0,150000,0,Богородское,Наримановская ,8,Преображенская площадь
12,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307483963/,Москва,rent,flat,12,18,3,78.0,125000,0,Богородское,Детская ,19,Преображенская площадь
13,Парус,real_estate_agent,https://www.cian.ru/rent/flat/307454832/,Москва,rent,flat,12,18,3,76.0,130000,0,Богородское,Детская ,19,Преображенская площадь
14,ID 121816890,homeowner,https://www.cian.ru/rent/flat/307369493/,Москва,rent,flat,24,29,3,55.0,145000,0,Богородское,Открытое шоссе,14Д,Преображенская площадь
15,ID 106468566,homeowner,https://www.cian.ru/rent/flat/307362120/,Москва,rent,flat,14,25,3,74.1,128000,0,Богородское,Погонный проезд,14,Преображенская площадь
16,ОХОТНЫЙ РЯД офис Тверская,real_estate_agent,https://www.cian.ru/rent/flat/307341468/,Москва,rent,flat,32,33,3,58.0,90000,0,Метрогородок,Открытое шоссе,18Ак4,Преображенская площадь
17,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307066685/,Москва,rent,flat,14,25,3,80.0,130000,0,Богородское,Погонный проезд,14,Преображенская площадь
18,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307043194/,Москва,rent,flat,12,18,3,76.0,125000,0,Богородское,Детская ,19,Преображенская площадь
19,ID 54835952,homeowner,https://www.cian.ru/rent/flat/307042168/,Москва,rent,flat,12,18,3,76.0,125000,0,Богородское,Детская ,19,Преображенская площадь
20,Яна  Петрова,realtor,https://www.cian.ru/rent/flat/306651538/,Москва,rent,flat,9,16,3,70.0,73000,0,Преображенское,2-я Пугачевская ,14К1,Преображенская площадь
21,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/306392506/,Москва,rent,flat,24,30,3,75.0,150000,0,Богородское,Погонный проезд,3А,Преображенская площадь
22,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306085855/,Москва,rent,flat,16,17,3,103.0,151500,0,Преображенское, Алымова,3,Преображенская площадь
23,ID 19583248,realtor,https://www.cian.ru/rent/flat/304674888/,Москва,rent,flat,2,9,3,51.0,75000,0,Богородское,3-я Гражданская ,2,Преображенская площадь
24,UNIVERSE-REALTY GROUP,real_estate_agent,https://www.cian.ru/rent/flat/299806879/,Москва,rent,flat,9,14,3,76.0,90000,0,Богородское,переулок Алымов,4,Преображенская площадь
25,Светлана Топер,realtor,https://www.cian.ru/rent/flat/298345221/,Москва,rent,flat,16,17,3,115.1,135000,0,Преображенское,Малая Черкизовская ,22,Преображенская площадь
26,Денис Мастяев,realtor,https://www.cian.ru/rent/flat/307391852/,Москва,rent,flat,1,5,3,60.0,60000,0,Северное Измайлово,Щелковское шоссе,42,Щёлковская
27,ID 76442518,unknown,https://www.cian.ru/rent/flat/279449684/,Москва,rent,flat,6,14,2,47.0,70000,0,Преображенское,Халтуринская ,4К2,Преображенская площадь
28,КОНСИНГО,real_estate_agent,https://www.cian.ru/rent/flat/307539344/,Москва,rent,flat,5,9,2,45.0,60000,0,Преображенское,2-я Пугачевская ,10К1,Преображенская площадь
