,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 13415045,homeowner,https://www.cian.ru/rent/flat/307737951/,Москва,rent,flat,26,33,1,51.0,90000,0,Тропарево-Никулино,проспект Вернадского,105к4,Проспект Вернадского
1,ID 103950683,homeowner,https://www.cian.ru/rent/flat/307725716/,Москва,rent,flat,11,23,1,37.0,60000,0,Проспект Вернадского,проспект Вернадского,54,Проспект Вернадского
2,EuroDoma,real_estate_agent,https://www.cian.ru/rent/flat/307725025/,Москва,rent,flat,14,14,1,36.0,120000,0,Проспект Вернадского, Лобачевского,8,Проспект Вернадского
3,ID 79394214,unknown,https://www.cian.ru/rent/flat/307721391/,Москва,rent,flat,5,21,1,50.0,80000,0,Тропарево-Никулино, Академика Анохина,2К2,Проспект Вернадского
4,ОЛИМПИК СТАР,real_estate_agent,https://www.cian.ru/rent/flat/307682521/,Москва,rent,flat,19,27,1,42.0,72000,0,Проспект Вернадского, Лобачевского,92К3,Проспект Вернадского
5,GardenGoldRealty,real_estate_agent,https://www.cian.ru/rent/flat/307657256/,Москва,rent,flat,19,25,1,42.6,72000,0,Проспект Вернадского, Лобачевского,92К3,Проспект Вернадского
6,ID 81784885,homeowner,https://www.cian.ru/rent/flat/307635268/,Москва,rent,flat,9,9,1,34.1,50000,0,Проспект Вернадского, Лобачевского,44А,Проспект Вернадского
7,Оксана Новикова,realtor,https://www.cian.ru/rent/flat/307632968/,Москва,rent,flat,13,13,1,41.2,65000,0,Раменки,проспект Вернадского,10к1,Проспект Вернадского
8,МДМ-квартира,real_estate_agent,https://www.cian.ru/rent/flat/307627626/,Москва,rent,flat,10,17,1,38.5,60000,0,Тропарево-Никулино, Академика Анохина,5К3,Проспект Вернадского
9,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307626636/,Москва,rent,flat,19,27,1,49.0,80000,0,Проспект Вернадского, Лобачевского,92К3,Проспект Вернадского
10,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307625047/,Москва,rent,flat,19,27,1,50.0,80000,0,Проспект Вернадского, Лобачевского,92К3,Проспект Вернадского
11,ID 16882061,homeowner,https://www.cian.ru/rent/flat/307508920/,Москва,rent,flat,2,5,1,32.3,65000,0,Проспект Вернадского, Лобачевского,78,Проспект Вернадского
12,Наталья Соколова,realtor,https://www.cian.ru/rent/flat/307342469/,Москва,rent,flat,5,22,1,36.0,80000,0,Проспект Вернадского,проспект Вернадского,58,Проспект Вернадского
13,Самолет плюс Москва,real_estate_agent,https://www.cian.ru/rent/flat/307295990/,Москва,rent,flat,14,16,1,42.0,80000,0,Проспект Вернадского,проспект Вернадского,70А,Проспект Вернадского
14,ID 70161865,unknown,https://www.cian.ru/rent/flat/307110056/,Москва,rent,flat,16,16,1,35.9,60000,0,Тропарево-Никулино,проспект Вернадского,95К3,Проспект Вернадского
15,Этажи Москва,real_estate_agent,https://www.cian.ru/rent/flat/306940154/,Москва,rent,flat,8,9,1,32.3,57000,0,Проспект Вернадского, Лобачевского,16,Проспект Вернадского
16,Владимир Касьянов,realtor,https://www.cian.ru/rent/flat/306722247/,Москва,rent,flat,14,22,1,35.0,80000,0,Проспект Вернадского,проспект Вернадского,58,Проспект Вернадского
17,Лана,real_estate_agent,https://www.cian.ru/rent/flat/306663417/,Москва,rent,flat,4,17,1,36.0,65000,0,Тропарево-Никулино,проспект Вернадского,101К8,Проспект Вернадского
18,Эдуард Егиазарян,realtor,https://www.cian.ru/rent/flat/305899123/,Москва,rent,flat,8,17,1,36.5,82000,0,Проспект Вернадского, Лобачевского,8,Проспект Вернадского
19,ID 50908073,homeowner,https://www.cian.ru/rent/flat/229965363/,Москва,rent,flat,5,5,1,34.0,60000,0,Проспект Вернадского, Удальцова,43,Проспект Вернадского
20,ID 1313,realtor,https://www.cian.ru/rent/flat/307553526/,Москва,rent,flat,7,17,2,57.7,60000,0,Раменки, Раменки,7К1,Раменки
21,Виктория Шмакова,realtor,https://www.cian.ru/rent/flat/307605586/,Москва,rent,flat,7,9,1,33.0,58000,0,Черемушки, Архитектора Власова,19К4,Новые Черёмушки
22,Андрей Вокин,realtor,https://www.cian.ru/rent/flat/307647164/,Москва,rent,flat,7,8,1,35.0,65000,0,Хамовники,Новодевичий проезд,4,Спортивная
23,ID 121878819,homeowner,https://www.cian.ru/rent/flat/307438232/,Москва,rent,flat,2,5,2,45.0,60000,0,Проспект Вернадского, Лобачевского,26,Проспект Вернадского
24,ID 161274,real_estate_agent,https://www.cian.ru/rent/flat/307502571/,Москва,rent,flat,1,14,1,40.0,40000,0,Раменки,проспект Генерала Дорохова,39к1,Минская
