,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 332295,realtor,https://www.cian.ru/rent/flat/307762955/,Москва,rent,flat,2,4,3,75.0,160000,0,Мещанский,Мещанская ,1/17С1,Проспект Мира
1,Людмила Гордиенко,realtor,https://www.cian.ru/rent/flat/307726150/,Москва,rent,flat,5,14,3,0.0,180000,0,Мещанский,Протопоповский переулок,8,Проспект Мира
2,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307590670/,Москва,rent,flat,15,16,3,55.0,120000,0,Мещанский,Большая Переяславская ,5К1,Проспект Мира
3,ID 56002361,unknown,https://www.cian.ru/rent/flat/307102462/,Москва,rent,flat,5,5,3,75.0,198000,0,Мещанский,Банный переулок,8,Проспект Мира
4,ID 40333439,realtor,https://www.cian.ru/rent/flat/306654132/,Москва,rent,flat,12,17,3,200.0,400000,0,Мещанский,Слесарный переулок,3,Проспект Мира
5,Premium Realty,real_estate_agent,https://www.cian.ru/rent/flat/306228538/,Москва,rent,flat,12,22,3,122.0,230000,0,Красносельский,Грохольский переулок,28,Проспект Мира
6,Ольга Долинская,realtor,https://www.cian.ru/rent/flat/305640230/,Москва,rent,flat,5,9,3,55.5,97000,0,Мещанский,проспект Мира,58,Проспект Мира
7,Vmestate,real_estate_agent,https://www.cian.ru/rent/flat/305535990/,Москва,rent,flat,12,16,3,140.0,280000,0,Мещанский,Слесарный переулок,3,Проспект Мира
8,Ярослав Бибиков,realtor,https://www.cian.ru/rent/flat/304487842/,Москва,rent,flat,2,6,3,80.0,149990,0,Мещанский,проспект Мира,56С2,Проспект Мира
9,Balmonte,real_estate_agent,https://www.cian.ru/rent/flat/293491795/,Москва,rent,flat,2,3,3,70.0,150000,0,Мещанский,Протопоповский переулок,20,Проспект Мира
10,ID 15671900,homeowner,https://www.cian.ru/rent/flat/236686286/,Москва,rent,flat,6,22,3,119.0,300000,0,Красносельский,Грохольский переулок,28,Проспект Мира
11,Александр Мызенков,realtor,https://www.cian.ru/rent/flat/228056179/,Москва,rent,flat,21,22,3,250.0,280000,0,Красносельский,Грохольский переулок,28,Проспект Мира
12,ДОММОЙ,real_estate_agent,https://www.cian.ru/rent/flat/158444588/,Москва,rent,flat,5,9,3,60.0,90000,0,Мещанский,Большая Переяславская ,5К2,Проспект Мира
13,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/303632194/,Москва,rent,flat,5,5,3,65.2,130000,0,Замоскворечье,Пятницкая ,28,Третьяковская
14,Maroom,real_estate_agent,https://www.cian.ru/rent/flat/305653509/,Москва,rent,flat,5,5,4,136.9,194000,0,Арбат,Гоголевский бульвар,23,Кропоткинская
15,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307399457/,Москва,rent,flat,3,11,4,164.0,230000,0,Пресненский,Большой Тишинский переулок,38С1,Улица 1905 года
16,Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307435339/,Москва,rent,flat,8,18,2,70.0,240000,0,Красносельский,Басманный переулок,5,Комсомольская
17,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307287657/,Москва,rent,flat,1,12,3,63.0,117500,0,Пресненский, Малая Грузинская,33,Белорусская
18,ID 99623,homeowner,https://www.cian.ru/rent/flat/307592111/,Москва,rent,flat,2,7,3,120.0,150000,0,Тверской,Старопименовский переулок,14,Пушкинская
19,ID 36706777,real_estate_agent,https://www.cian.ru/rent/flat/307041346/,Москва,rent,flat,2,8,3,75.0,120000,0,Басманный, Земляной Вал,24/32,Курская
20,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307344850/,Москва,rent,flat,3,3,3,62.0,143000,0,Мещанский,переулок Пушкарев,20/17,Сухаревская
21,Елена Кобзон,realtor,https://www.cian.ru/rent/flat/307244199/,Москва,rent,flat,2,15,4,110.0,180000,0,Мещанский, Гиляровского,7,Проспект Мира
22,Татьяна Антипова,realtor,https://www.cian.ru/rent/flat/302155046/,Москва,rent,flat,2,13,3,62.0,130000,0,Замоскворечье,Новокузнецкая ,13С1,Новокузнецкая
23,Татьяна Колобенко,realtor,https://www.cian.ru/rent/flat/305806954/,Москва,rent,flat,3,8,3,56.0,100000,0,Тверской, Чаянова,18А,Новослободская
24,Александр Арно,realtor,https://www.cian.ru/rent/flat/306607880/,Москва,rent,flat,3,11,4,97.8,119000,0,Басманный,Семеновская набережная,3/1К7,Электрозаводская
