,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307745603/,Москва,rent,flat,11,14,2,47.0,78000,0,Обручевский, Гарибальди,24К3,Профсоюзная
1,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307745599/,Москва,rent,flat,18,27,2,68.0,125000,0,Академический,Нахимовский проспект,56,Профсоюзная
2,ID 8618,realtor,https://www.cian.ru/rent/flat/307735148/,Москва,rent,flat,18,27,2,68.0,125000,0,Академический,Нахимовский проспект,56,Профсоюзная
3,ID 86395375,unknown,https://www.cian.ru/rent/flat/307728407/,Москва,rent,flat,14,18,2,55.0,120000,0,Академический,Новочеремушкинская ,35,Профсоюзная
4,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307725702/,Москва,rent,flat,3,8,2,45.0,120000,0,Гагаринский, Вавилова,46,Профсоюзная
5,ID 98855841,unknown,https://www.cian.ru/rent/flat/307724888/,Москва,rent,flat,3,8,2,45.0,120000,0,Гагаринский, Вавилова,46,Профсоюзная
6,Квадраты Москвы,real_estate_agent,https://www.cian.ru/rent/flat/307707300/,Москва,rent,flat,2,5,2,46.0,70000,0,Ломоносовский, Панферова,16К4,Профсоюзная
7,LaRichesse,real_estate_agent,https://www.cian.ru/rent/flat/307681010/,Москва,rent,flat,16,20,2,55.0,100000,0,Академический, Дмитрия Ульянова,27к1,Профсоюзная
8,Илья Соловьев,realtor,https://www.cian.ru/rent/flat/307672796/,Москва,rent,flat,18,20,2,44.4,110000,0,Черемушки,Нахимовский проспект,31к3,Профсоюзная
9,GardenGoldRealty,real_estate_agent,https://www.cian.ru/rent/flat/307657264/,Москва,rent,flat,10,24,2,50.0,135000,0,Черемушки,Нахимовский проспект,31к3,Профсоюзная
10,ID 15075,realtor,https://www.cian.ru/rent/flat/307646999/,Москва,rent,flat,8,15,2,55.0,65000,0,Котловка,Нахимовский проспект,22,Профсоюзная
11,Мария  Тимина,realtor,https://www.cian.ru/rent/flat/307644127/,Москва,rent,flat,2,5,2,44.0,65000,0,Черемушки,Профсоюзная ,29К3,Профсоюзная
12,Олеся Шевченко,realtor,https://www.cian.ru/rent/flat/307636625/,Москва,rent,flat,5,8,2,60.0,90000,0,Академический,Профсоюзная ,19,Профсоюзная
13,Светлана Райкова,realtor,https://www.cian.ru/rent/flat/307634001/,Москва,rent,flat,7,19,2,95.0,180000,0,Ломоносовский, Гарибальди,7,Профсоюзная
14,ID 12212213,realtor,https://www.cian.ru/rent/flat/307631620/,Москва,rent,flat,2,9,2,45.0,68000,0,Черемушки, Цюрупы,11К3,Профсоюзная
15,Оксана Серикова,realtor,https://www.cian.ru/rent/flat/307628936/,Москва,rent,flat,8,13,2,56.8,100000,0,Черемушки,Новочеремушкинская ,56/3,Профсоюзная
16,ID 49842840,realtor,https://www.cian.ru/rent/flat/307607772/,Москва,rent,flat,2,9,2,38.0,75000,0,Черемушки,Нахимовский проспект,37К2,Профсоюзная
17,Perfect Manager House,real_estate_agent,https://www.cian.ru/rent/flat/307590234/,Москва,rent,flat,13,22,2,69.0,160000,0,Ломоносовский, Вавилова,69А,Профсоюзная
18,KAIF,real_estate_agent,https://www.cian.ru/rent/flat/307587667/,Москва,rent,flat,13,22,2,70.0,160000,0,Ломоносовский, Вавилова,69А,Профсоюзная
19,WHITE BROKER Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307587312/,Москва,rent,flat,13,20,2,69.0,160000,0,Ломоносовский, Вавилова,69А,Профсоюзная
20,Артем Селивановский,realtor,https://www.cian.ru/rent/flat/307586407/,Москва,rent,flat,11,17,2,51.4,75000,0,Черемушки,Нахимовский проспект,33/2,Профсоюзная
21,Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/307567066/,Москва,rent,flat,7,20,2,50.0,80000,0,Черемушки,Нахимовский проспект,31к3,Профсоюзная
22,Максим Белоусов,realtor,https://www.cian.ru/rent/flat/307554211/,Москва,rent,flat,5,5,2,45.0,80000,0,Котловка,Севастопольский проспект,47,Профсоюзная
23,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307547705/,Москва,rent,flat,12,12,2,67.0,130500,0,Академический, Ивана Бабушкина,9,Профсоюзная
24,Наталья Кудрявцева,realtor,https://www.cian.ru/rent/flat/307498982/,Москва,rent,flat,2,9,2,40.0,70000,0,Черемушки,Новочеремушкинская ,53К3,Профсоюзная
25,Виктория Мясникова,realtor,https://www.cian.ru/rent/flat/307497359/,Москва,rent,flat,3,8,2,59.0,95000,0,Ломоносовский,Ленинский проспект,81/2,Профсоюзная
26,Chase R.E.S.,real_estate_agent,https://www.cian.ru/rent/flat/307493085/,Москва,rent,flat,3,22,2,60.0,120000,0,Черемушки,Новочеремушкинская ,60,Профсоюзная
27,Елена Лукьянова,realtor,https://www.cian.ru/rent/flat/307491785/,Москва,rent,flat,1,5,2,44.0,60000,0,Ломоносовский, Панферова,16К3,Профсоюзная
