,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307773158/,Москва,rent,flat,3,17,3,80.0,75000,0,Митино,Митинская ,44,Пятницкое шоссе
1,My Hoyse,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307721778/,Москва,rent,flat,2,4,3,115.0,150000,0,,,41,
2,Парус,real_estate_agent,https://www.cian.ru/rent/flat/307718281/,Москва,rent,flat,9,17,3,80.0,120000,0,Митино, Барышиха,44,Пятницкое шоссе
3,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307715406/,Москва,rent,flat,3,17,3,76.0,75000,0,Митино,Митинская ,44,Пятницкое шоссе
4,EMPIRE HOME,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307709563/,Москва,rent,flat,2,17,3,78.0,90000,0,д. Путилково, Садовая,19,
5,My Hoyse,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307707277/,Москва,rent,flat,5,5,3,120.0,110000,0,д. Аристово, Светлая,2,
6,Домклик Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307678545/,Москва,rent,flat,17,17,3,72.7,77000,0,Митино,переулок Ангелов,2,Пятницкое шоссе
7,ЕВРОНЕДВИЖИМОСТЬ,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307645385/,Москва,rent,flat,2,7,3,84.0,70000,0,Левел Лесной ЖК, Кленовая,3,
8,ID 64290214,homeowner,https://krasnogorsk.cian.ru/rent/flat/307633948/,Москва,rent,flat,22,25,3,51.2,80000,0,д. Путилково, Просторная,13,
9,Елена Теплова,realtor,https://krasnogorsk.cian.ru/rent/flat/307616912/,Москва,rent,flat,2,3,3,55.0,70000,0,д. Гаврилково, 27-й Квартал,22,
10,ВЫСОТКА,real_estate_agent,https://www.cian.ru/rent/flat/307608064/,Москва,rent,flat,8,12,3,80.0,105000,0,Митино,Митинская ,21К1,Пятницкое шоссе
11,EMPIRE HOME,real_estate_agent,https://khimki.cian.ru/rent/flat/307579546/,Москва,rent,flat,1,3,3,77.0,55000,0,,,71,
12,ID 12816099,unknown,https://krasnogorsk.cian.ru/rent/flat/307517700/,Москва,rent,flat,23,26,3,60.0,110000,0,д. Путилково, Просторная,16,
13,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307499835/,Москва,rent,flat,14,17,3,74.0,90000,0,Митино, Барышиха,20,Пятницкое шоссе
14,ID 112384653,homeowner,https://krasnogorsk.cian.ru/rent/flat/307474585/,Москва,rent,flat,2,3,3,127.0,170000,0,,,81,
15,ID 738190,homeowner,https://www.cian.ru/rent/flat/307461964/,Москва,rent,flat,9,17,3,80.0,120000,0,Митино, Барышиха,44,Пятницкое шоссе
16,ЦЗН ПРОСПЕКТ МИРА,real_estate_agent,https://www.cian.ru/rent/flat/307460022/,Москва,rent,flat,2,16,3,80.0,80000,0,Митино,Пятницкое шоссе,36,Пятницкое шоссе
17,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307416831/,Москва,rent,flat,9,17,3,80.0,126000,0,Митино, Барышиха,44,Пятницкое шоссе
18,ПРЕЗИДЕНТ РИЭЛТИ,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307387261/,Москва,rent,flat,5,5,3,82.0,85000,0,,,5,
19,ID 75954707,homeowner,https://www.cian.ru/rent/flat/307367484/,Москва,rent,flat,14,17,3,84.0,100000,0,Митино,Митинская ,52,Пятницкое шоссе
20,ПАРТНЕР,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307344687/,Москва,rent,flat,3,6,3,65.0,70000,0,д. Аристово, Северная,3,
21,ГОРОБМЕН,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307259649/,Москва,rent,flat,5,7,3,67.0,75000,0,Левел Лесной ЖК, Кленовая,3,
22,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307135364/,Москва,rent,flat,9,17,3,80.0,120000,0,Митино, Барышиха,44,Пятницкое шоссе
23,ID 115842435,homeowner,https://www.cian.ru/rent/flat/307029691/,Москва,rent,flat,13,17,3,75.0,75000,0,Митино,Дубравная ,38,Пятницкое шоссе
24,Парус,real_estate_agent,https://www.cian.ru/rent/flat/306897140/,Москва,rent,flat,2,3,3,105.0,180000,0,Митино,2-я Муравская ,21С1,Пятницкое шоссе
25,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306891222/,Москва,rent,flat,2,3,3,105.0,160000,0,Митино,2-я Муравская ,21С1,Пятницкое шоссе
26,ID 459693,homeowner,https://www.cian.ru/rent/flat/306838417/,Москва,rent,flat,2,3,3,105.0,160000,0,Митино,2-я Муравская ,21С1,Пятницкое шоссе
27,Инна Краузе,realtor,https://krasnogorsk.cian.ru/rent/flat/306777090/,Москва,rent,flat,12,20,3,90.0,80000,0,д. Путилково, Братцевская,8,
