,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Наталья Кривенко,realtor,https://www.cian.ru/rent/flat/307780841/,Москва,rent,flat,3,22,2,40.2,115000,0,Кунцево, Академика Павлова,56к1,Рабочий посёлок
1,Юлия Игнатьева,realtor,https://www.cian.ru/rent/flat/307780423/,Москва,rent,flat,23,25,2,54.2,70000,0,Кунцево, Ивана Франко,20к1,Рабочий посёлок
2,Любовь Петренко,realtor,https://www.cian.ru/rent/flat/307773745/,Москва,rent,flat,6,12,2,40.0,59000,0,Можайский,Сколковское шоссе,16,Рабочий посёлок
3,CENTURY 21 RnB Estate,real_estate_agent,https://www.cian.ru/rent/flat/307770938/,Москва,rent,flat,4,33,2,69.2,150000,0,Кунцево, Академика Павлова,56к1,Рабочий посёлок
4,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307766032/,Москва,rent,flat,7,9,2,45.0,110000,0,Кунцево,Рублевское шоссе,111,Рабочий посёлок
5,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307745598/,Москва,rent,flat,6,23,2,61.0,110000,0,Можайский,Рябиновая ,3к4,Рабочий посёлок
6,ГОРОДСКОЙ КВАРТАЛ,real_estate_agent,https://www.cian.ru/rent/flat/307744236/,Москва,rent,flat,19,30,2,70.0,150000,0,Кунцево,Ярцевская ,32,Рабочий посёлок
7,ID 116293402,realtor,https://www.cian.ru/rent/flat/307743001/,Москва,rent,flat,22,22,2,42.5,109000,0,Кунцево, Академика Павлова,28,Рабочий посёлок
8,ID 86266694,unknown,https://www.cian.ru/rent/flat/307740922/,Москва,rent,flat,2,5,2,45.0,60000,0,Кунцево, Академика Павлова,8к1,Рабочий посёлок
9,Ирина Юркив,realtor,https://www.cian.ru/rent/flat/307738555/,Москва,rent,flat,15,15,2,47.0,100000,0,Кунцево,Ярцевская ,24К1,Рабочий посёлок
10,Юрий Репич,realtor,https://www.cian.ru/rent/flat/307738295/,Москва,rent,flat,4,33,2,69.2,150000,0,Кунцево, Академика Павлова,56к1,Рабочий посёлок
11,ID 12235630,unknown,https://odintsovo.cian.ru/rent/flat/307725593/,Москва,rent,flat,2,2,2,60.0,75000,0,с. Немчиновка,проспект Революции,18,
12,Яна Федорова,realtor,https://www.cian.ru/rent/flat/307721211/,Москва,rent,flat,4,9,2,50.0,61000,0,Можайский, Маршала Неделина,6,Рабочий посёлок
13,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307720118/,Москва,rent,flat,2,12,2,37.0,70000,0,Можайский,Сколковское шоссе,16,Рабочий посёлок
14,ID 11592,realtor,https://www.cian.ru/rent/flat/307717860/,Москва,rent,flat,4,5,2,48.0,60000,0,Кунцево,Бобруйская ,18К3,Рабочий посёлок
15,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307714877/,Москва,rent,flat,5,12,2,52.0,87000,0,Кунцево, Ивана Франко,40К1,Рабочий посёлок
16,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307705248/,Москва,rent,flat,6,10,2,62.0,120000,0,Можайский,Рябиновая ,3к3,Рабочий посёлок
17,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307704866/,Москва,rent,flat,13,28,2,60.0,140000,0,Кунцево, Академика Павлова,28,Рабочий посёлок
18,Vershina Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307699710/,Москва,rent,flat,2,31,2,52.0,120000,0,Можайский, Петра Алексеева,14,Рабочий посёлок
