,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307753622/,Москва,rent,flat,5,17,2,52.0,75000,0,Раменки, Раменки,8К1,Раменки
1,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307748701/,Москва,rent,flat,13,15,2,46.0,160000,0,Раменки,Винницкая ,8к4,Раменки
2,Злата Гончарова,realtor,https://www.cian.ru/rent/flat/307702502/,Москва,rent,flat,17,17,2,54.0,88000,0,Раменки, Раменки,7К1,Раменки
3,Perfect Manager House,real_estate_agent,https://www.cian.ru/rent/flat/307673499/,Москва,rent,flat,13,17,2,55.0,120000,0,Раменки, Раменки,11К3,Раменки
4,Premium Realty,real_estate_agent,https://www.cian.ru/rent/flat/307664526/,Москва,rent,flat,10,13,2,74.6,220000,0,Раменки,Винницкая ,8к1,Раменки
5,Татьяна Перова,realtor,https://www.cian.ru/rent/flat/307661444/,Москва,rent,flat,5,16,2,54.0,105000,0,Раменки,проспект Вернадского,10к2,Раменки
6,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307657049/,Москва,rent,flat,13,17,2,60.0,120000,0,Раменки, Раменки,11К3,Раменки
7,Perfect Manager House,real_estate_agent,https://www.cian.ru/rent/flat/307655698/,Москва,rent,flat,13,17,2,55.0,120000,0,Раменки, Раменки,11К3,Раменки
8,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307655477/,Москва,rent,flat,13,17,2,58.0,120000,0,Раменки, Раменки,11К3,Раменки
9,ID 71830,homeowner,https://www.cian.ru/rent/flat/307650159/,Москва,rent,flat,13,17,2,55.0,120000,0,Раменки, Раменки,11К3,Раменки
10,ID 94905965,realtor,https://www.cian.ru/rent/flat/307612090/,Москва,rent,flat,7,21,2,84.0,220000,0,Раменки,Мосфильмовская ,88к4с1,Раменки
11,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307611680/,Москва,rent,flat,5,9,2,50.0,120000,0,Раменки,Винницкая ,3,Раменки
12,ID 94841750,unknown,https://www.cian.ru/rent/flat/307591905/,Москва,rent,flat,10,22,2,70.0,210000,0,Раменки,Ломоносовский проспект,25к2,Раменки
13,ID 1313,realtor,https://www.cian.ru/rent/flat/307553526/,Москва,rent,flat,7,17,2,57.7,60000,0,Раменки, Раменки,7К1,Раменки
14,Этажи Москва,real_estate_agent,https://www.cian.ru/rent/flat/307544757/,Москва,rent,flat,4,28,2,81.6,250000,0,Раменки,Винницкая ,8к2,Раменки
15,Этажи Москва,real_estate_agent,https://www.cian.ru/rent/flat/307541354/,Москва,rent,flat,4,17,2,50.2,85000,0,Раменки, Раменки,9К4,Раменки
16,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307539918/,Москва,rent,flat,17,21,2,84.0,300000,0,Раменки,Мосфильмовская ,88к4с2,Раменки
17,WHITE BROKER Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307537188/,Москва,rent,flat,22,25,2,84.0,150000,0,Раменки,Мичуринский проспект,26,Раменки
18,Денис Ложкин,realtor,https://www.cian.ru/rent/flat/307534724/,Москва,rent,flat,22,25,2,84.0,150000,0,Раменки,Мичуринский проспект,26,Раменки
19,Оксана Сурова,realtor,https://www.cian.ru/rent/flat/307530571/,Москва,rent,flat,15,21,2,52.0,140000,0,Раменки,Мосфильмовская ,88к7,Раменки
20,КОНСИНГО,real_estate_agent,https://www.cian.ru/rent/flat/307530418/,Москва,rent,flat,22,23,2,54.0,90000,0,Раменки,Мичуринский проспект,13к3,Раменки
21,Татьяна Иванкова,realtor,https://www.cian.ru/rent/flat/307499912/,Москва,rent,flat,3,12,2,46.0,70000,0,Раменки,Мичуринский проспект,38,Раменки
22,ID 90018376,unknown,https://www.cian.ru/rent/flat/307475901/,Москва,rent,flat,14,23,2,83.0,140000,0,Раменки,Мичуринский проспект,34,Раменки
23,Парус,real_estate_agent,https://www.cian.ru/rent/flat/307459882/,Москва,rent,flat,11,17,2,75.0,180000,0,Раменки,Мичуринский проспект,7,Раменки
24,PARTNER-ESTATE,real_estate_agent,https://www.cian.ru/rent/flat/307452869/,Москва,rent,flat,3,17,2,75.0,130000,0,Раменки,Мичуринский проспект,7,Раменки
25,Light House Estate,real_estate_agent,https://www.cian.ru/rent/flat/307436066/,Москва,rent,flat,3,16,2,75.0,130000,0,Раменки,Мичуринский проспект,7К1,Раменки
26,Славянка,real_estate_agent,https://www.cian.ru/rent/flat/307403467/,Москва,rent,flat,7,12,2,80.0,150000,0,Раменки,Мичуринский проспект,7К1,Раменки
27,ID 15387404,homeowner,https://www.cian.ru/rent/flat/307398313/,Москва,rent,flat,3,12,2,72.8,140000,0,Раменки, Столетова,7к1,Раменки
